Title,Price,Description,Image URL,Link,Type,Brand
【2PCS】PURIFYING PACKAGE - Bio Beauty Lab 10ml Luxurious Facial Oil Serum + 150ml Blemish & Pore Clearing Toner,Rp304.000,"Bundling ini terdiri dari 2 varian :

1pcs 150ml Blemish and Pore Clearing Toner 150ml
1pcs 10ml Luxurious Facial Oil Serum

- Blemish and Pore Clearing Toner ( NA 18231204334 )

Toner dengan kandungan utama Bio-Succinic Acid dan PrimalHyal 300 yang dapat membantu menjaga skin barrier tetap sehat, mencegah bakteri penyebab jerawat, membersihkan pori-pori, menyeimbangkan kadar minyak berlebih pada wajah.

-Luxurious Facial Oil Serum ( NA 18200105048 )

Luxurious Facial Oil Serum adalah face oil yg menggunakan ingredients utama Squalane oil yg bisa menyerap ke kulit lebih cepat sehingga tidak membuat greasy / berminyak, dapat membantu menghidrasi kulit yg kering dan bisa digunakan berbarengan dengan Gua Sha / Roller.
keduanya bisa di gunakan dengan metode scrambled oil yang membuat kulit wajah terhidrasi dan skincare minimalist.",https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/ce1fff6496d84ce5aee28aba4d8702b1~.jpeg.webp?ect=4g,https://www.tokopedia.com/biobeautylab/2pcs-purifying-package-bio-beauty-lab-10ml-luxurious-facial-oil-serum-150ml-blemish-pore-clearing-toner-1729637976008198470?extParam=src%3Dshop%26whid%3D9108676&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Paket Perawatan Wajah']",bio beauty lab
"Bio Beauty Lab Double Glow Perfection | Luxurious Soft Moisturizer Facial Cream Moisturizer Mengurangi Dark Spot & Phyto Power Essence Pre Serum - Full Size, Phyto 50ml",Rp377.010,"Double Glow Perfection
Kulit sehat, cerah, dan terhidrasi kini lebih mudah dengan kombinasi terbaik dari Phyto Power Essence dan Luxurious Soft Moisturizer!


Phyto Power Essence:
Langkah pertama setelah mencuci wajah, essence pre-serum ini mempersiapkan kulit Anda untuk menyerap skincare dengan lebih maksimal. Kaya dengan 75% bahan aktif seperti Phytoliquid Ginseng, Niacinamide, dan Centella Asiatica, membantu:


- Melembapkan kulit
- Mencerahkan wajah
- Menenangkan kulit sensitif
- Memberikan energi segar pada kulit


Luxurious Soft Moisturizer:
Pelembap premium dengan Synoxyl AZ, AstaMacadamia, dan Madecassoside untuk:
- Meredakan kemerahan akibat sinar UV
- Mengunci kelembapan untuk hidrasi tahan lama
- Menjaga elastisitas & memperkuat skin barrier


Duo ini dirancang untuk saling melengkapi, menjadikan kulit Anda lebih sehat, glowing, dan terasa lembut setiap hari.",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/fe7d2eb8cc9c4e55bd0fd40a480c6d65~.jpeg.webp?ect=4g,https://www.tokopedia.com/biobeautylab/bio-beauty-lab-double-glow-perfection-luxurious-soft-moisturizer-facial-cream-moisturizer-mengurangi-dark-spot-phyto-power-essence-pre-serum-1731629524287718726?extParam=src%3Dshop%26whid%3D9108676&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Paket Perawatan Wajah']",bio beauty lab
Bio Beauty Lab Mini Skincare Set - Extra Brightening,Rp260.500,"Bio Beauty Lab Mini Skincare Set
Terdiri dari 5 varian dengan produk utama yakni Glycolic Cleanser, yang memiliki kandungan utama

Glycolic : dapat mencerahkan kulit, memudarkan noda hitam pada wajah dan mengangkat sel-sel kulit mati dengan halus.
D-Panthenol : merawat kekencangan kulit, membuat kulit lebih terasa lembap, halus dan kenyal.
Allantoin : Menenangkan kkulit yang ter-iritasi ringan dan melembapkan kulit.

1. Extra Brightening
Glycolic Cleanser 100ml + Potent-C Serum: Dibuat khusus untuk Bio Bestie yang memiliki keluhan kulit kusam. Potent C diperkaya dengan kandungan THD Ascorbate yang kemampuannya 50x lebih kuat penyerapan di kulit daripada jenis Vitamin C pada umumnya

2.Double Hydration
Glycolic Cleanser 100ml + Blemish and Pore Clearing Toner: Dibuat Khusus untuk Bio Bestie yang memiliki keluhan Kulit kering. Toner dengan kandungan utama Bio-Succinic Acid dan PrimalHyal 300 yang dapat membantu menjaga skin barrier tetap sehat, mencegah bakteri penyebab jerawat, membersihkan pori-pori, menyeimbangkan kadar minyak berlebih pada wajah.

3.Extra Glowing
Glycolic Cleanser 100ml + Luxurious face oil 10ml: Dibuat khusus untuk Bio Bestie yang memiliki kebutuhan untuk merawat kulit agar lebih bersinar. Luxurious oil serum memiliki ingredients utama Squalane oil yg bisa menyerap ke kulit lebih cepat sehingga tidak membuat greasy / berminyak, dapat membantu menghidrasi kulit yg kering.

4.Acne repair
Glycolic Cleanser 100ml + Acne Facial Oil 10ml: Dibuat khusus untuk Bio Bestie yang memiliki keluhan kulit berjerawat. Bundle ini dapat menjadi solusi untuk perawatan harian, karena Acne Oil diperkaya dengan Tamanu Oil, Neem Oil, dan Teatree Oil yg dapat membantu melawan bakteri penyebab jerawat & merawat kulit berjerawat.

5.Barrier Bundle
Glycolic Cleanser 100ml + Bio Beauty Lab Phyto Power Essence 25ml: Dibuat khusus untuk Bio Bestie yang memiliki keluhan kulit yang sedang meradang.

6.Flawless Bundle
Glycolic Cleanser 100ml + Gentle Retinol & Peptide Active Serum 15ml: Dibuat Khusus untuk Bio Bestie yang berkebutuhan membuat kulit lebih kenyal sehat & menjaganya dari jerawat serta tanda-tanda penuaan dini.",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/65b45176cc534ce39f7dbc67ef4355b7~.jpeg.webp?ect=4g,https://www.tokopedia.com/biobeautylab/bio-beauty-lab-mini-skincare-set-1729558157975127366?extParam=src%3Dshop%26whid%3D9108676&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Paket Perawatan Wajah']",bio beauty lab
Bio Beauty Lab The Grand Banquet Big Size | Phyto Power Essence & Gentle Retinol Peptide & Potent-c Power Serum,Rp623.500,"Bio Beauty Lab The Grand Banquet Package terdiri dari :


1 Phyto Power Essence 50ml + 1 Potent-C Power Serum 30ml + 1 Gentle Retinol & Peptide 30ml



- Phyto Power Essence ( NA 18210100087 )



Phyto Power Essence Adalah Essence yang merangkap Pre-Serum untuk memaksimalkan kinerja perawatan wajah setelahnya (serum / ampoule / moisturizer).

Di formulasikan dengan 75% Active Ingredients sebagai berikut :

Phytoliquid ginseng, Galactomyces, Centella asiaticac extract, niacinamide, camellia leaf extract, cotton seed Extract, Yeast ferment extract, Garlic bulb Extract, Allantion.

Kandungannya yang bermanfaat untuk melembapkan wajah, mencerahkan, menenangkan kulit serta memberi energi kesegaran pada kulit



- Potent-C Power Serum ( NA18211902534 )



Potent-C Power Serum Adalah Serum Vitamin C dengan kandungan THD Ascorbate yang kemampuannya 50x lebih kuat penyerapan di kulit daripada jenis Vitamin C pada umumnya. Diformulasikan dengan Ferulic Acid, Hyaluronic acid dan bahan berkualitas lainnya yang menjadikan formulanya tidak mengiritasi kulit jadi bisa digunakan oleh semua jenis kulit.



- Gentle Retinol & Peptide ( NA18222000090 )



Gentle Retinol & Peptide adalah active serum yang mengandung REVISOME Retinol Moist membantu mencegah tanda-tanda penuaan dini yang disebabkan karena efek buruk paparan sinar matahari,merawat keremajaan dan kekencangan kulit sehingga kulit nampak lebih muda,halus dan lembut.



Cara pakai Gentle retinol & Peptide

Dipakai 2-3 pump atau secukupnya, Untuk permulaan bisa gunakan 2-3 hari sekali dahulu hanya pada malam hari, lalu setelah 1 minggu bisa gunakan secara bertahap 2 hari sekali atau menjadi 1 hari sekali.



Note : Gentle retinol hanya di pakai pada malam hari

Jika ada pemakaian Potent-C, pagi potent c dan malam retinol, jika malamnya memakai retinol pada pagi/siang hari nya wajib memakai sunscreen.",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/1/16/3cef5303-fe91-4771-88b2-a62a8c932450.png.webp?ect=4g,https://www.tokopedia.com/biobeautylab/bio-beauty-lab-the-grand-banquet-big-size-phyto-power-essence-gentle-retinol-peptide-potent-c-power-serum-1731181760364512582?extParam=src%3Dshop%26whid%3D9108676&aff_unique_id=&channel=others&chain_key=,"['Home', 'Film & Musik', 'Musik', 'CD & DVD Musik']",bio beauty lab
"Bio Beauty Lab Glass Skin Kit | Slow down aging package - Luxurious Soft Moisturizer & Oil Brightening Dark Spot - Full Size, 20ml",Rp409.600,"Glass Skin Kit

Nikmati perawatan kulit mewah dengan Slowdown Aging Bundle dari Bio Beauty Lab, perpaduan dua produk unggulan yang dirancang untuk menjaga keindahan kulit Anda sekaligus memperlambat tanda-tanda penuaan.

Luxurious Soft Moisturizer
- Diformulasikan dengan bahan-bahan premium seperti Synoxyl AZ, AstaMacadamia, dan Madecassoside, pelembap ini:
- Menenangkan kulit dari efek sinar UV dan mengembalikan keseimbangan alami.
- Memberikan hidrasi mendalam yang tahan lama, menjaga kulit tetap lembap sepanjang hari.
- Memperkuat lapisan pelindung kulit untuk hasil yang sehat, kenyal, dan bercahaya.

Luxurious Facial Oil Serum
Menggunakan bahan utama Squalane Oil, serum ini memberikan hidrasi ringan tanpa rasa berminyak, menjadikan kulit tampak lebih halus dan terawat. Ideal untuk dipadukan dengan gua sha atau roller, produk ini sempurna untuk meningkatkan sirkulasi dan elastisitas kulit.

Keunggulan Utama:
Meningkatkan hidrasi dan menjaga keseimbangan kulit.
Memperkuat elastisitas sekaligus memperhalus tekstur kulit.
Cocok untuk semua jenis kulit, termasuk kulit sensitif.",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/bdac250e6b3145d081ce787096cc43e6~.jpeg.webp?ect=4g,https://www.tokopedia.com/biobeautylab/bio-beauty-lab-glass-skin-kit-slow-down-aging-package-luxurious-soft-moisturizer-oil-brightening-dark-spot-1731599151652701510?extParam=src%3Dshop%26whid%3D9108676&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Paket Perawatan Wajah']",bio beauty lab
【EXCLUSIVE】Bundle Bio Beauty Lab for Acne prone skin | Blemish and Pore Clearing Phyto Power Essence | Potent-cPower Serum | Facial Acne Treatment,Rp551.000,"Mini Size Bundling For Acne Prone Skin
travel friendly !

1 Acne Treatment Facial Oil Serum5ml
1 Blemish Pore & Clearing Toner 150ml
1 Potent-C Power Serum 15ml
1 Phyto Power Essence 25ml

Cocok banget untuk kalian yg ingin kasih gift ataupun mau cobain dulu varian Bio Beauty Lab Bundling ini ya ka~

-Blemish and Pore Clearing Toner ( NA 18231204334 )

Toner dengan kandungan utama Bio-Succinic Acid dan PrimalHyal 300 yang dapat membantu menjaga skin barrier tetap sehat, mencegah bakteri penyebab jerawat, membersihkan pori-pori, menyeimbangkan kadar minyak berlebih pada wajah.

- Phyto Power Essence ( NA : 18210100087 )

Essence yang merangkap Pre-Serum untuk memaksimalkan kinerja perawatan wajah setelahnya (serum / ampoule / moisturizer).
Di formulasikan dengan 75% Active Ingredients sebagai berikut :
Phytoliquid ginseng, Galactomyces, Centella asiaticac extract, niacinamide, camellia leaf extract, cotton seed Extract, Yeast ferment extract, Garlic bulb Extract, Allantion. bermanfaat untuk melembapkan wajah, mencerahkan, menenangkan kulit serta memberi energi kesegaran pada kulit

- Potent-C Power Serum ( NA18211902534 )

Potent-C Power SerumAdalah Serum Vitamin C dengan kandungan THD Ascorbate yang kemampuannya 50x lebih kuat penyerapan di kulit daripada jenis Vitamin C pada umumnya. Diformulasikan dengan Ferulic Acid, Hyaluronic acid dan bahan berkualitas lainnya yang menjadikan formulanya tidak mengiritasi kulit jadi bisa digunakan oleh semua jenis kulit.

- Acne Treatment Facial Oil Serum ( NA18200105049 )

Mampu melawan bakteri penyebab jerawat dengan efektif, mengandung Teatree Oil sebagai pembunuh kuman & bakteri penyebab jerawat. Tamanu oil dan Neem oil untuk membantu proses penyembuhan jerawat dan membersihkan pori-pori serta menyeimbangkan kadar minyak di wajah.

urutan step skincare :
AM/PM : Blemish Pore & Clearing Toner - Phyto Power Essence - Potent-C Power Serum - Acne Treatment Facial Oil Serum.",https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/8bdbdd5ed30e4664871d58e9831d9db1~.jpeg.webp?ect=4g,https://www.tokopedia.com/biobeautylab/exclusive-bundle-bio-beauty-lab-for-acne-prone-skin-blemish-and-pore-clearing-phyto-power-essence-potent-cpower-serum-facial-acne-treatment-1729693837522798918?extParam=src%3Dshop%26whid%3D9108676&aff_unique_id=&channel=others&chain_key=,"['Home', 'Perawatan Tubuh', 'Perawatan Kulit', 'Penghilang Bekas Jerawat']",bio beauty lab
The Comfort Blanket Mini Size,Rp256.000,"Bundling The Comfort Blanket Package Terdiri dari varian :


Gentle Retinol & Peptide 15ml & Acne Treatment Facial Oil Serum 10ml



- Gentle Retinol & Peptide ( NA18222000090 )

adalah active serum yang mengandung REVISOME Retinol Moist membantu mencegah tanda-tanda penuaan dini yang disebabkan karena efek buruk paparan sinar matahari,merawat keremajaan dan kekencangan kulit sehingga kulit nampak lebih muda,halus dan lembut.



Cara pakai Gentle retinol & Peptide

Dipakai 2-3 pump atau secukupnya, Untuk permulaan bisa gunakan 2-3 hari sekali dahulu hanya pada malam hari, lalu setelah 1 minggu bisa gunakan secara bertahap 2 hari sekali atau menjadi 1 hari sekali.



Note : Gentle retinol hanya di pakai pada malam hari

Jika ada pemakaian Potent-C, pagi potent c dan malam retinol, jika malamnya memakai retinol pada pagi/siang hari nya wajib memakai sunscreen



- Acne Treatment Facial Oil Serum ( NA18200105049 )



Acne Treatment Facial Oil Serum Adalah Facial oil yang ingredients utamanya Tamanu Oil, Neem Oil, dan Teatree Oil yg dapat membantu melawan bakteri penyebab jerawat & merawat kulit berjerawat. dapat di gunakan pagi / malam hari.



Step Skincare :

Step 1: Gentle Retinol & Peptide

Step 2: Acne Treatment Facial Oil Serum",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/1/16/74f29799-5fba-4db6-9a0a-ee0df69e5106.jpg.webp?ect=4g,https://www.tokopedia.com/biobeautylab/the-comfort-blanket-mini-size?extParam=src%3Dshop%26whid%3D9108676&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Serum Mata']",bio beauty lab
[Gift] Bio Beauty Lab Pouch Pink,Rp999.000,,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/ebe468e242dc49a5a12b80d10780346d~.jpeg.webp?ect=4g,https://www.tokopedia.com/biobeautylab/gift-bio-beauty-lab-pouch-pink?extParam=src%3Dshop%26whid%3D9108676&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Make up Tools', 'Tas Kosmetik']",bio beauty lab
Paket Reseller 6 Pcs ( 20ml Luxurious ) + 6 Pcs ( 20ml Acne Treatment,Rp3.840.000,"Paket Reseller

# 6 Pcs 20ml Luxurious
# 6 Pcs 20ml Acne Treatment

kini kita sudah tersedia paket reseller dengan harga lebih hemat.

Luxurious facial oil serum
BPOM : NA18200105048


Luxurious Facial Oil Serum
* Soothing
* Hydrating
* Brightening
* Antioxidant
* Anti-Microbial
* Anti-Aging
* Skin Conditioning
* Skin Smoothness
* Reduce Acne Scar / Dark Spot

Suitable for :
- All Skin Type
- Sensitive Skin

Natural & Organic Ingredients
Fragrance Free
Paraben Free
Cruelty Free

Acne Treatment Facial Oil Serum
BPOM : NA18200105049


Acne Treatment Facial Oil Serum
* Treat Acne
* Anti-Bacterial
* Reduce Acne Scar
* Repair Skin Barrier
* Hydrating
* Soothing
* Antioxidant

Suitable for :
- Acne Prone Skin
- Sensitive Skin

Natural & Organic Ingredients
Fragrance Free
Paraben Free
Cruelty Free",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/1/18/107eccc3-a287-4d37-9092-bb745bb1f478.png.webp?ect=4g,https://www.tokopedia.com/biobeautylab/paket-reseller-6-pcs-20ml-luxurious-6-pcs-20ml-acne-treatment?extParam=src%3Dshop%26whid%3D9108676&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Serum Wajah']",bio beauty lab
Bio Beauty Lab Acne Series Treatment Facial Foam | Moisturizer | Facial oil Perawatan Berjerawat,Rp348.000,"Bio Beauty Lab Acne Series Moisturizer | Facial oil""

Produk lokal pertama yang menggabungkan kekuatan Relipidium untuk merawat kulit berjerawat dan menjaga kesehatan skin barrier. Paket ini dirancang khusus untuk Anda yang memiliki kulit acne-prone dan sensitif, memberikan solusi lengkap mulai dari pembersihan hingga hidrasi dan perawatan intensif.

Kandungan Utama Acne Calming Foam Cleanser:

- Relipidium: Menstimulasi produksi ceramide, memperbaiki skin barrier, dan menjaga bakteri baik pada kulit.
- SalSphere Even Skin: Targeted release untuk meredakan jerawat lebih cepat.
- Curecex-Lacto(L): Mencerahkan, melembapkan, dan meredakan peradangan kulit.

Manfaat:
- Merawat kulit berjerawat.
- Melawan bakteri penyebab jerawat.
- Menyejukkan kulit yang teriritasi.
- Menghidrasi kulit.

Kandungan utama Acne Barrier Moisturizer Hydro

- Relipidium: Menstimulasi produksi ceramide, memperbaiki skin barrier, dan menjaga bakteri baik pada kulit.
- Biome Oléoactif: Membantu memperbaiki tekstur kulit dan mengurangi garis halus.
- AnnonaSense CLR: Diekstrak dari buah cherimoya, meredakan inflamasi dan kemerahan pada kulit.

Manfaat:
Meningkatkan produksi ceramide.
Memperbaiki dan menjaga skin barrier.
Meredakan kulit kemerahan.
Merawat kulit berjerawat.
Memberikan hidrasi tahan lama.
Menjaga kesehatan kulit.

Step pemakaian varian Biobeautylab :
1.Acne Calming Cleanser
2. Blemish & Pore Clearing Toner
3. Gentle Retinol & Peptide Active Serum
5. Acne Barrier Moisturizer Hydro
6. Acne Treatment Facial oil serum",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/4eba5ca14d8c4dfc95f4fedfec72cff3~.jpeg.webp?ect=4g,https://www.tokopedia.com/biobeautylab/bio-beauty-lab-acne-series-moisturizer-facial-oil?extParam=src%3Dshop%26whid%3D9108676&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Face Oil']",bio beauty lab
