Title,Price,Description,Image URL,Link,Type,Brand
"Azarine Intense Hydration Duo Moisturizer Kulit Kering (Intense Luminous + Advanced Youth) - INTENSE LUMINOUS, ADVANCED YOUTH",Rp139.000,"Get Ready for Skin Transformation with this Incredible Texture!
NEW! Barrier Moisturizer Series

Using Power Ingredient MossCellTec with Smart adaptation technology yang mampu memperbaiki dan memperkuat skin barrier dalam kondisi cuaca/lingkungan apapun.
#InstantMoist

Tersedia dalam 3 varian sesuai dengan permasalahan kulit kamu!
1. Intense Luminous Barrier Moisturizer 30g
Pelembab pagi dan malam untuk mencerahkan kulit kusam, meratakan warna kulit, dan memberikan efek glowing.

Cocok untuk:
- Normal to Dry Skin
- Combination Skin

2. Pure Radiance Barrier Moisturizer 30g
Pelembab pagi dan malam untuk memudarkan bekas jerawat, merapatkan pori-pori, dan mengontrol minyak.

Cocok untuk:
- Normal to Oily
- Acne Prone Skin",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/50871a032dbb4aa09b7b15daeb3428eb~.jpeg.webp?ect=4g,https://www.tokopedia.com/azarinecosmetics/azarine-intense-hydration-duo-moisturizer-kulit-kering-intense-luminous-advanced-youth-1730351540315129752?extParam=src%3Dshop%26whid%3D5943564&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Krim Wajah']",azarine
Azarine Toner 90 ml All Skin Type - BEGINNER EXFO,Rp55.000,"TONER UNTUK SEMUA MASALAH KULIT
#TonerSejutaUmat #SaveTheSkin #FeelThePower

1. MULTI ACIDS GLOWING TONER ( Strong Glowing Bright Skin)
- Untuk semua jenis kulit terutama kulit kusam
- Fokus untuk mencerahkan, glowing, anti aging ( garis halus) & moisturising
- Bisa untuk bumil, busui dan kulit sensitif

2. MILD PURIFYING TONER
- Untuk combination, oily/ berminyak & acne prone skin
- Fokus untuk kontrol minyak/ sebum, masalah jerawat, bersihkan komedo & kecilkan pori
- Bisa untuk bumil, busui dan kulit sensitif

3. MOISTURE RICH HYDRATING TONER (Radiant Healthy Dewy Skin)
- Untuk semua jenis kulit terutama kulit kering dan kusam
- Fokus untuk melembabkan, menenangkan kulit & melindungi dari paparan blue light serta polusi
- Bisa untuk bumil, busui dan kulit sensitif

4. DAILY BEGINNER EXFOLIATING TONER ( Smooth Flawless Clear Skin)
- Untuk semua jenis kulit terutama tekstur tidak rata dan bekas jerawat
- Fokus untuk memudarkan bekas jerawat/ flek, meratakan kulit ( bruntusan / bopeng), kecilkan pori
- Bisa untuk bumil, busui dan kulit sensitif

5. Azarine Polypeptide Fresh Vitality Toner 90ml
Toner wajah yang diformulasikan dengan bahan-bahan seperti Polypeptides, Vitasource, Kombucha, dan HPR {Hydroxypinacolone Retinoate} denpan fungsi utama yaitu untuk menghambat tanda penuaan sepertl flek hitam, garis halus, kulit kusam, dan juga membantu meremajakan kullt dan tetap terjaga kelembapannya. Toner ini bisa dipakai untuk semua jenis kulit dan dapat digunakan pada malam hari.

Cara Pakai:
Tekan toner dengan menggunakan kapas dan aplikasikan toner pada seluruh wajah setelah mencuci muka. Gabung dengan penggunaan Retlnol Smooth Glowing Serum agar hasil lebih maksimal.

Formulasi Tanpa:
- Alcohol
- Fragrance
- Oil
- Parabens",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/79ebf70993684936b91a767628cc09f2~.jpeg.webp?ect=4g,https://www.tokopedia.com/azarinecosmetics/azarine-toner-90-ml-all-skin-type-beginner-exfo-ff289?extParam=src%3Dshop%26whid%3D5943564&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Toner Wajah']",azarine
[GIFT] AZARINE KIDS POUCH YELLOW Special Launching Hairtopia,Rp999.999,"🎁 AZARINE KIDS [GIFT] POUCH YELLOW Special Launching Hairtopia
Hadiah Spesial: Ini adalah merchandise eksklusif yang hanya untuk hadiah. Tidak dapat dijual. 💛
Detail Produk:
Warna: Pouch berwarna kuning.
Acara: Khusus peluncuran Hairtopia.
Syarat: Wajib melakukan klaim sebelum checkout.
Penting:
Pastikan Anda melakukan klaim sebelum melakukan checkout. Informasi ini penting untuk menghindari kesalahan dalam pembelian. 📝
Catatan:
Produk ini tidak tersedia untuk dijual. Hanya sebagai hadiah khusus. Terima kasih. 🌟",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/81163191efca4a41aca76620c664ed78~.jpeg.webp?ect=4g,https://www.tokopedia.com/azarinecosmetics/gift-azarine-kids-pouch-yellow-special-launching-hairtopia-1731558371922839448?extParam=src%3Dshop%26whid%3D5943564&aff_unique_id=&channel=others&chain_key=,"['Home', 'Perawatan Tubuh', 'Perawatan Rambut', 'Masker Rambut']",azarine
[GIFT] Azarine Sample Size Ceramoist Botanical Micellar Water,Rp999.999,"GIFT - NOT FOR SALE!
Azarine Sample Size Ceramoist Botanical Micellar Water",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/bf8616d6ba1047df99e07df9bbbfd396~.jpeg.webp?ect=4g,https://www.tokopedia.com/azarinecosmetics/gift-azarine-sample-size-ceramoist-botanical-micellar-water-1731750187479238552?extParam=src%3Dshop%26whid%3D5943564&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Krim Wajah']",azarine
"[BELI 1 DAPAT 2] Azarine Blush On Mango Tango Free Eyeliner Brown Powder Blush Eyeliner Pen - 02 MANGO TANGO, 02 EYEFOGATTO",Rp64.999,"Azarine Chic to Cheek Blush On [5.2 gr]

Perona pipi dengan partikel lembut dan halus, tekstur yang ringan dan mudah diatur intensitasnya. Membantu riasan tampak lebih merona untuk tampilan wajah yang segar dan hasil yang matte.

shades 
02. Mango Tango

Key Ingredients:
1. Vitamin E: menjaga kulit tetap lembab

Keunggulan:
1. Smooth particles
2. Blendable & buildable intensity
3. Enriched with vitamin E
4. Easy to apply

Cara Pemakaian: Aplikasikan blush dengan medium brush yang halus pada apple cheeks (puncak tulang pipi)

Netto: 5.2 gr
BPOM NA11231200621, NA11231200622


AZARINE Oh! So Fine Liner Eyeliner by Azarine

Eyeliner tahan air & tahan lama dengan ujung pena yang kecil yang menghasilkan garis hitam presisi sehingga mudah digunakan oleh pemula untuk aksentuasi area mata jadi lebih memukau. Liquid eyeliner dengan ujung spidol tipis yang dapat menciptakan garis presisi untuk mempertajam riasan mata. Dengan aplikator spidol, membuat eyeliner ini mudah digunakan untuk pemula. Memiliki formula yang waterproof dan warna yang intens, sehingga riasan mata menjadi makin menawan.

SHADES:
02 Eyefogatto (BROWN)

Keunggulan Eyeliner Azarine:
1. Super intense color
2. Waterproof & smudgeproof formula
3. Sharp tip for fine & precise application
4. Beginner Friendly with sponge applicator
5. Matte finish & quick dry formula

Cara Pemakaian: Aplikasikan produk perlahan dari arah dalam ke luar garis mata dengan satu tarikan garis untuk hasil sempurna.



Full Ingredients:
Water, Propylene Glycol, Styrene/Acrylates Copolymer, Ammonium Acrylates Copolymer, Acrylates Copolymer, Butylene Glycol, Phenoxyethanol, Caprylyl Glycol, Sodium Laureth-12 Sulfate, Sodium Lauryl Sulfate, Disodium Laureth Sulfosuccinate, C11-15 Pareth-7, Potassium Sorbate, Sodium Polyacrylate, Ceteareth-25",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/9ddad2c3ce624620b09aae672ab0cedb~.jpeg.webp?ect=4g,https://www.tokopedia.com/azarinecosmetics/beli-1-dapat-2-azarine-blush-on-mango-tango-free-eyeliner-brown-powder-blush-eyeliner-pen-1729726064605824920?extParam=src%3Dshop%26whid%3D5943564&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Make up Wajah', 'Blush On']",azarine
Azarine Velvety Lippie Cream Lightweight Lip Velvet Lip Matte 3.2 ml (Lip Velvet) Bibir Lipstick Cherry - 04. S. popsicle,Rp50.000,"Azarine Velvety Lippie Cream Lightweight Lip Velvet Lip Matte 3.2 ml

Lip velvet yang memiliki warna intens, lembut & ringan, dengan kandungan Hyaluronic Acid, Niacinamide & Vitamin E untuk mencerahkan dan melembapkan bibir.
Dengan tekstur velvet yang lembut, Velvety Lippie Cream terasa nyaman saat diaplikasikan pada bibir. Kandungan Hyaluronic Acid dan Vitamin E membuat bibir lebih lembap, dan kandungan Niacinamide yang tidak membuat bibir tampak gelap

#1 Creme Brule
#2 Rosy Cone
#3 Plum Sorbet
#4 Strawberry Popsicle
#5 Watermelon Slushie
#6 Peach Froyo
#7 Choco Sundae
#8 Cherry Punch

Key Ingrediants
- Hyaluronic Acid
- Vitamin E
- Niacinamide

Transferproof
Non- Sticky Formula
High Coverage Technology
Lightweight",https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/64b92c673ce0484ba7b6d05a60360406~.jpeg.webp?ect=4g,https://www.tokopedia.com/azarinecosmetics/azarine-velvety-lippie-cream-lightweight-lip-velvet-lip-matte-3-2-ml-lip-velvet-bibir-lipstick-cherry-1729665737920711576?extParam=src%3Dshop%26whid%3D5943564&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Lip Color & Lip Care', 'Lip Cream']",azarine
[GIFT] Azarine Micellar Water Xpress Oil 90ml,Rp50.000,[GIFT] Azarine Micellar Water Xpress Oil 90ml,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/23d9bed4adff4a28b718009c43a8aa52~.jpeg.webp?ect=4g,https://www.tokopedia.com/azarinecosmetics/gift-azarine-micellar-water-xpress-oil-90-ml-1730817284544365854?extParam=src%3Dshop%26whid%3D5943564&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Pembersih Make Up', 'Micellar Water']",azarine
"AZARINE OIL FREE BRIGHTENING DAILY MOISTURIZER Berjerawat Pelembab Muka Wajah Niacinamide Facial Mencerahkan - OIL FREE MOISTURIZER, OIL FREE MOISTURIZER",Rp58.500,"Moisturizer atau pelembab bisa digunakan sebagai day cream dan night cream untuk kulit berminyak, berjerawat dan acne prone skin
Dengan bahan aktif alami CENTELLA ASIATICA (control sebum dan anti iritasi), ROYAL JELLY (regenerasi dan memperbaiki kulit rusak) dan ARBUTIN (untuk menghilangkan bekas jerawat)
Key ingredients:
1. Cica: soothing, anti iritasi (mengatasi kemerahan, mengatasi problem PIH, PIE ), merapatkan pori
2. Cinnamon bark: oil control & anti bacteria, merapatkan pori
3. Arbutin: whitening untuk mengatasi bekas jerawat
4. Resveratrol: whitening untuk memudarkan bekas jerawat, anti-oksidan dan perlindungan sinar UV
5. Royal jelly: melembabkan, memperbaiki kulit yang rusak ( bopeng/ kerut/bekas luka)",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/d305c8d8cca2430489e70bdeb19a5d45~.jpeg.webp?ect=4g,https://www.tokopedia.com/azarinecosmetics/azarine-oil-free-brightening-daily-moisturizer-berjerawat-pelembab-muka-wajah-niacinamide-facial-mencerahkan-1729382330975881112?extParam=whid%3D5943564%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Face Mist']",azarine
Azarine Glow Revolution Series - Glow Revolution,Rp259.000,"Launch Your Glow Now with Azarine Glow Revolution Series
PAKET LENGKAP PERAWATAN KULIT UNTUK MENCERAHKAN DAN KULIT GLOWING MAKSIMAL!


Step 1: Cleansing
Brightening Glow Facial Cleanser 60 ml
Pembersih wajah dengan formula lembut yang membersihkan kulit secara menyeluruh tanpa menyebabkan kulit terasa kering atau iritasi, cocok untuk semua jenis kulit. Membantu mencerahkan, melembabkan dan menutrisi kulit.
Cocok uktuk: Semua Jenis Kulit
Cara Pemakaian:
- Tuangkan sedikit Azarine Brightening Glow Facial Cleanser ke tangan Anda dan buat busa.
- Oleskan busa tersebut ke wajah yang basah dan pijat dengan lembut dalam gerakan melingkar selama 1-2 menit.
- Bilas hingga bersih dengan air.
- Gunakan dua kali sehari, pagi dan malam, untuk hasil optimal.
BPOM No: NA18241206873


Step 2: Rejuve
MULTI ACIDS GLOWING TONER ( Strong Glowing Bright Skin)
- Untuk semua jenis kulit terutama kulit kusam
- Fokus untuk mencerahkan, glowing, anti aging ( garis halus) & moisturising
- Bisa untuk bumil, busui dan kulit sensitif
BPOM NA 18211206237


Step 3: Enhancing
BRIGHTENING SERUM for Hyperpigmentation with Vitamin C!
Serum wajah dengan kandungan tinggi vitamin C dan antioksidan untuk merawat kulit serta menangkal radikal bebas. Kandungan Tranexamic Acid, vitamin C dan Ferulic Acid bekerja secara sinergis untuk memudarkan noda hitam/ hiperpigmentasi. Di formulasikan dengan teknologi oxymoist agar kulit selalu segar, lembab dan kenyal.
Manfaat:
1. Mencerahkan & memudarkan flek hitam/ bekas jerawat
2. Meratakan warna kulit agar glowing
3. Mengurangi garis halus & kerut
BPOM NA 18211902286


Step 4: Brighten
Supreme Glow Brightening Moisturizer 30 ml
Pelembab pagi dan malam yang membantu mencerahkan kulit kusam, menyamarkan noda gelap (black spot) dan noda bekas jerawat serta melembabkan kulit sepanjang hari dengan Cooling Sensation untuk merilekskan kulit wajah.
Cocok untuk: Kulit Normal atau Kering
BPOM No: NA18241206873


Step 5: Protect
HYDRAMAX C SUNSCREEN SPF50 PA++++
Tabir surya dalam bentuk cream gel untuk melembabkan dan melindungi kulit dari pengaruh buruk sinar matahari, sinar bluelight dan polusi. Di formulasikan dengan 11 ukuran Hyaluronic Acid untuk melembabkan agar kulit kenyal. Kandungan vit C & E sebagai antioksidan.
Manfaat:
1. High protection SPF 50 PA++++ with no whitecast
2. Dengan Blue light protection & anti polusi
3. Dewy Glow Finish
4. Ringan, cepat meresap & tidak lengket
5. Dermatologically tested
BPOM NA 18211701919",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/9ec69770f2df426d9bf621d3ff36104a~.jpeg.webp?ect=4g,https://www.tokopedia.com/azarinecosmetics/azarine-glow-revolution-series-1730630203342882712?extParam=src%3Dshop%26whid%3D5943564&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Paket Perawatan Wajah']",azarine
[GIFT] Azarine Active Bright Brightening Creamy Facial Foam,Rp50.000,"NOT FOR SALE

Dapatkan free Active Bright Brigtening Creamy Facial Foam dalam pembelian produk-produk tertentu!
Selama persediaan masih ada",https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/cdc5bfa8b7234b419289cd7194413cb6~.jpeg.webp?ect=4g,https://www.tokopedia.com/azarinecosmetics/gift-azarine-active-bright-brightening-creamy-facial-foam-1729605123827796888?extParam=whid%3D5943564%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Cleanser Wajah']",azarine
