Title,Price,Description,Image URL,Link,Type,Brand
"Emina Watercolor Lip Serum - Tinted Serum Bibir Mencerahkan, Glossy Lip Look - 02 Mist",Rp38.000,"[PRE-ORDER] Variant 01 Dawn

About Watercolor Lip Serum:
Holy grail lip care product yang bisa bikin bibir jadi lebih cerah, lembab, dengan warna natural yang super cantik! Your all time favorite holy grail lip care series for whatever lip makeup you are
What You’ll Love:
Produk hybrid makeup x skincare benefit
Dapat mencerahkan bibir
Warna natural
Specially Made With:
Vitamin C
Membuat bibir tampak lebih cerah
Wild Apple Oil
Memberikan kelembapan ekstra pada bibir
Kandungan sunscreennya dapat melindungi bibir besties dari sinar UV
How to Use :
1. Bersihkan bibir dengan pembersih, gunakan juga lip scrub untuk eksfoliasi.
2. Aplikasikan lip serum pada bibir.
Suitable for: All skin types!
Netto: 2 g",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/7509d99267a64045ad9cede6ae32658e~.jpeg.webp?ect=4g,https://www.tokopedia.com/emina-official/emina-watercolor-lip-serum-serum-bibir-mencerahkan-dalam-7-hari-02-mist?extParam=src%3Dshop%26whid%3D6350156&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Masker Kecantikan', 'Masker Bibir']",emina
Emina Bright Stuff for Acne Prone Skin Moisturizing Cream 20 mL - Pelembab Mencerahkan Wajah dan Untuk Kulit Mudah Berjerawat - 20 ml,Rp24.552,"Emina Bright Stuff for Acne Prone Skin Moisturizing Cream adalah pelembap yang mampu membuat wajah tampak lebih cerah dan diformulasikan khusus untuk acne prone; non- comedogenik dan non-acnegenic.



- Mengandung extract summer plum dan double brightening power (niacinamide & licorice extract) yang membuat wajah cerah natural dan glowing.
- Mengandung Extract cinnamon bark yang mampu mengontrol sebum dan menenangkan jerawat.
- Kandungan SPF15 serta UVA&UVB yang mampu melindungi kulit dari paparan sinar matahari.



How to Use :
Aplikasikan Emina Bright Stuff for Acne Prone Skin Moisturizing Cream setiap hari sebelum menggunakan riasan wajah di pagi hari



Ingredients :
Aqua, Ethylhexyl Methoxycinnamate, Polymethyl Methacrylate, Propanediol, 4-Methylbenzylidene Camphor, Butyl Methoxydibenzoylmethane, Niacinamide, Glycerin, Glyceryl Stearate, Cetyl , Titanium Dioxide, Cyclopentasiloxane, Polyacrylamide, Dimethicone, PEG-100 Stearate, Phenoxyethanol, C13-14 Isoparaffin, Chlorphenesin, Caprylic/Capric Triglyceride, Dimethicone Crosspolymer, Laureth 7, Capryloyl Glycine, Allantoin, Hexylene Glycol, Tocopheryl Acetate, Centella asiatica Extract, Hydrogenated Lecithin, Tetrasodium EDTA, Sarcosine, Cholesterol, Triethoxycaprylysilane, Dimethicone/Vinyl Dimethicone Crosspolymer, Aluminum Hydroxide, Butylene Glycol, Fragrance, Cinnamomum Zeylanicum Bark Extract, Dimethiconol, Actinidia Polygama Fruit Extract.",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/eed1a90a6d3f46afa3c264c12709e5bc~.jpeg.webp?ect=4g,https://www.tokopedia.com/emina-official/emina-bright-stuff-for-acne-prone-skin-moisturizing-cream-20-ml-pelembab-mencerahkan-wajah-dan-untuk-kulit-mudah-berjerawat-1729383668708509259?extParam=src%3Dshop%26whid%3D6350156&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Face Mist']",emina
"Emina Brightening Skin Prep Package (Toner, Exfoliating Toner)",Rp68.000,"Paket berisi :
1. Emina Bright Stuff Exfoliating Toner 100 ml
2. Emina Bright Stuff Face Toner 100 ml",https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2024/11/8/c8928f17-d8d4-4614-abe6-25a7d5ac2edf.png.webp?ect=4g,https://www.tokopedia.com/emina-official/emina-brightening-skin-prep-package-toner-exfoliating-toner?extParam=whid%3D6350156%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Toner Wajah']",emina
Emina Squeeze Me Up Browcara 8 g - Brow Mascara Creay Smudgeproof Water Resistant - Ashy,Rp54.000,"About Squeeze Me Up Browcara:
Maskara alis dengan formula smudgeproof & water resistant yang bisa lapisi rambut alismu secara merata untuk kasih tampilan alis yang super cantik natural, tebal, dan rapih! Dilengkapi dengan Beeswax dan Candelila Wax, browcara ini punya tekstur yang creamy sehingga mudah untuk diaplikasikan dan bisa menahan rambut alismu dengan sempurna.


What You’ll Love:
Memberikan volume pada rambut alis sehingga tampak tebal
Good holding power, mampu menahan rambut alis dengan baik
Buildable coverage medium hingga full
Memiliki tekstur yang ringan dan creamy
Smudgeproof
Water resistant


How to Use:
Browcara dapat digunakan setelah penggunaan pensil alis ataupun dapat digunakan langsung tanpa pensil alis.
1. Ambil browcara secukupnya menggunakan aplikator yang disediakan
2. Aplikasikan browcara dari bagian tengah alis. Aplikasikan dengan cara menyisir secara halus rambut alis (jangan ditekan)
3. Sisir secara halus, dari bagian tengah alis hingga ke bagian luar alis
4. Rapihkan alis bagian dalam dengan cara disisir secara halus hingga ketebalannya merata
5. Untuk rambut alis yang tebal, dapat menggunakan Emina Squeeze Me Up Browcara Clear setelahnya


Suitable for: All Skin Types!


Netto: 8 g


BPOM Certified:
Clear - NA18201205008
Woody - NA18201203477
Ashy - NA18201203476",https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/b1f5231dd68245b780f37d9c2740be58~.jpeg.webp?ect=4g,https://www.tokopedia.com/emina-official/emina-squeeze-me-up-browcara-8-g-brow-mascara-water-resistant-ashy?extParam=src%3Dshop%26whid%3D6350156&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Make up Mata', 'Mascara']",emina
[Exclusive Ci Vonvon] Emina Max Airy Protection - Duo Sun Battle Spf 50 Pa++++ (PAKET ISI 2 SUNSCREEN),Rp69.960,"Paket ini berisi :

Sun Battle SPF 50 PA Barrier Hydraburst Sunscreen 30 ml (NEW)

Sun Battle SPF 50 PA Cica Acne Fighter Sunscreen 30 ml (NEW)",https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/92435a871bcb44818e045e7758962f0f~.jpeg.webp?ect=4g,https://www.tokopedia.com/emina-official/emina-max-airy-protection-sun-battle-paket-isi-2-sunscreen?extParam=src%3Dshop%26whid%3D6350156&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Sunblock wajah']",emina
NFS Emina Ms.Pimple Acne Solution Face Wash 15ml,Rp999.999,"Dapatkan Gift NFS Emina Ms.Pimple Acne Solution Face Wash 15ml Nikmati kesempatan untuk mendapatkan NFS Emina Ms.Pimple Acne Solution Face Wash 15ml eksklusif dengan mengikuti mekanisme tertentu. Harap diperhatikan bahwa NFS Emina Ms.Pimple Acne Solution Face Wash 15ml ini tidak tersedia untuk di-checkout secara langsung. Jika kamu menerima pesanan yang tidak sesuai, pastikan untuk merekam video unboxing sebagai bukti komplain. Video ini akan membantu kami menangani masalah ketidaksesuaian dengan cepat dan efisien.",https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2024/9/13/42ffe51d-db14-474b-8785-c0e252bfa327.jpg.webp?ect=4g,https://www.tokopedia.com/emina-official/nfs-emina-ms-pimple-acne-solution-face-wash-15ml?extParam=src%3Dshop%26whid%3D6350156&aff_unique_id=&channel=others&chain_key=,"['Home', 'Perawatan Tubuh', 'Perlengkapan Mandi', 'Sabun Mandi']",emina
NEW! Emina Bright Stuff Face Toner - Toner Wajah Cerah Glowing - 100 ml,Rp25.200,"Emina Bright Stuff Face Toner yang mampu menghidrasi kulit dan menghaluskan kulit. Diformulasikan dengan Oxybiome yang bekerja secara sinergis dengan Niacinamide dan Summer Plum Extract, mampu mencerahkan kulit, mengurangi tampilan pori, dan mengurangi kemerahan pada kulit.
Keunggulan:
1. Formula pH balanced yang dapat menjaga skin barrier kulit, memberikan dan menjaga kelembapan kulit.
2. +23% kelembaban kulit meningkat setelah pemakaian
3. Formula cepat meresap dan membuat kulit terasa segar 4. Mengurangi tampilan pori dan kemerahan serta mencerahkan kulit",https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/ca048f73fa5344d4a5d3de82224bfa1f~.jpeg.webp?ect=4g,https://www.tokopedia.com/emina-official/emina-bright-stuff-face-toner-toner-wajah-cerah-glowing-100-ml?extParam=src%3Dshop%26whid%3D6350156&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Toner Wajah']",emina
Emina Body Mist 10 mL - Parfum Wanita Aroma Menyegarkan - Pixie Dust,Rp26.400,"Body mist dengan aroma yang sempurna untuk menemani segala aktivitasmu.

1. Pixie Dust : campuran aroma orang dan vanilla bean.
2. Ocean Mist : campuran aroma apel dan grapefruit.
3. Rain Forest : campuran aroma buah-buahan dan bunga.
4. Indian Summer : campuran aroma citrus dan rempah

- Formula ringan
- Alcohol free
- pH balanced

How to Use :
Semprotkan body mist pada tubuh secukupnya.

Tips & Trick :
1. Gunakan body mist setelah mandi (ketika badan dalam keadaan kering).
2. Semprotkan body mist pada titik nadi (leher, belakang telinga,
pergelangan tangan).
3. Semprotkan body mist pada jarak
yang tidak terlalu jauh/dekat dari badan (30 cm).

Ingredients :
Alcohol, Aqua, Fragrance, PEG-40 Hydrogenated Castor Oil, Trideceth-9, Benzophenone-2, Polysorbate 20",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/1/18/3b46f77b-7e81-4e87-967a-6fd84a214691.jpg.webp?ect=4g,https://www.tokopedia.com/emina-official/emina-body-mist-10-ml-parfum-wanita-aroma-menyegarkan-pixie-dust?extParam=src%3Dshop%26whid%3D17917758&aff_unique_id=&channel=others&chain_key=,"['Home', 'Perawatan Tubuh', 'Parfum, Cologne, & Fragrance', 'Parfum & Cologne Wanita']",emina
EMINA TRIPLE ACNE PROTECT 3 Sunscreen Sun Battle SPF 50 PA+++ Cica 20 ml,Rp82.000,"Bundle ini terdiri dari :

3 pcs Sun Battle SPF 50 Fun Size 20ml",https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/ffe01c794a7a48a5b52e7dc14c97ae4c~.jpeg.webp?ect=4g,https://www.tokopedia.com/emina-official/emina-triple-acne-protect-3-sunscreen-sun-battle-spf-50-cica-20-ml?extParam=whid%3D6350156%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Sunblock wajah']",emina
[Gift Not For Sale] 2025 Emina Lip Brush Silicon,Rp999.999,"Dapatkan Gift Emina Lip Brush Silicon

Nikmati kesempatan untuk mendapatkan Emina Lip Brush Silicon eksklusif dengan mengikuti mekanisme tertentu. Harap diperhatikan bahwa Emina Lip Brush Silicon ini tidak tersedia untuk di-checkout secara langsung.


Jika kamu menerima pesanan yang tidak sesuai, pastikan untuk merekam video unboxing sebagai bukti komplain. Video ini akan membantu kami menangani masalah ketidaksesuaian dengan cepat dan efisien.",https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/427d97b56a914d01bf987fd560ddc507~.jpeg.webp?ect=4g,https://www.tokopedia.com/emina-official/gift-not-for-sale-2025-emina-lip-brush-silicon-1731555850620798539?extParam=src%3Dshop%26whid%3D6350156&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Mix Palette']",emina
