Title,Price,Description,Image URL,Link,Type,Brand
ERHA Advanced Anti Hair Fall Therapy,Rp2.450.000,"Setiap pembelian E-Voucher treatment ini, sudah include dengan 𝐊𝐨𝐧𝐬𝐮𝐥𝐭𝐚𝐬𝐢 𝐃𝐨𝐤𝐭𝐞𝐫 (Online with Skin Expert).
NOTE : Wajib cantumkan 𝐍𝐚𝐦𝐚 𝐋𝐞𝐧𝐠𝐤𝐚𝐩, 𝐍𝐨 𝐇𝐏, 𝐝𝐚𝐧 𝐄𝐦𝐚𝐢𝐥 pada kolom catatan saat checkout untuk mengirimkan kode voucher. E-Voucher akan diterima maks 1 hari kerja.

Advanced Sayonara Hair Fall adalah solusi klinis mengatasi permasalahan kerontokan rambut baik yang disebabkan oleh hormonal maupun non-hormonal untuk mendukung pertumbuhan rambut yang semakin kuat dan mengurangi kerontokan rambut.

• Jam Operasional Toko Senin - Sabtu : 09.00 - 16.00 WIB, Minggu & Libur Nasional : Toko Libur, pesanan yang masuk diluar jam operasional dan hari libur akan diproses di hari kerja berikutnya.
• Voucher tidak dapat dipindahtangankan.
• Jika ingin memberikan voucher ini sebagai gift, harus mencantumkan data diri penerima.

𝐒𝐲𝐚𝐫𝐚𝐭 & 𝐊𝐞𝐭𝐞𝐧𝐭𝐮𝐚𝐧 :
• Konsultasi dilakukan melalui Online.
• Batas maksimal penggunaan voucher adalah 60 hari dari tanggal pembelian.
• E-Voucher akan otomatis hangus apabila tidak digunakan sampai batas waktu yang telah ditentukan.
• Customer akan menerima kode Voucher maksimal 1 hari kerja sejak pembelian.
• Customer WAJIB melakukan 𝐫𝐞𝐬𝐞𝐫𝐯𝐚𝐬𝐢 sebelum melakukan treatment di Clinic cabang.

Voucher ini tidak dapat digunakan di:
• ERHA Ultimate / ERHA Apothecary:
Istana Plaza Bandung • Pentacity Mall Balikpapan • Galaxy Mall Surabaya • 23 Paskal Bandung
• ERHA Derma Center
BSD • Yogyakarta • Kemanggisan • Kelapa Gading • Pondok Indah • Bandung • Surabaya • Medan
• ERHA Clinic : Semua EC
• ERHA Skin : Karawang • Kopo • Lampung",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/9/1/96d99cfc-97c4-4586-be74-f942f21ec418.jpg.webp?ect=4g,https://www.tokopedia.com/erhaultimateofficial/erha-advanced-anti-hair-fall-therapy-1731524657233953917?extParam=src%3Dshop%26whid%3D8617773&aff_unique_id=&channel=others&chain_key=,"['Home', 'Perawatan Tubuh', 'Perawatan Rambut', 'Vitamin & Serum Rambut']",erha
3x ERHA Hydra Glow Facial,Rp1.560.000,"Setiap pembelian E-Voucher treatment ini, akan dikirimkan berupa E-Voucher digital yang terdiri dari 3x E-Voucher.
NOTE : Wajib cantumkan 𝐍𝐚𝐦𝐚 𝐋𝐞𝐧𝐠𝐤𝐚𝐩, 𝐍𝐨 𝐇𝐏, 𝐝𝐚𝐧 𝐄𝐦𝐚𝐢𝐥 pada kolom catatan saat checkout untuk mengirimkan kode voucher. E-Voucher akan diterima maks 1 hari kerja.

Merupakan perawatan wajah atau facial yang dikombinasikan dengan toning serum pada kulit wajah sehingga hasil akhir kulit terlihat lebih cerah, terhidrasi, halus, kenyal dan lebih sehat yang tentunya sangat cocok untuk jenis kulit normal dan kering.

• Jam Operasional Toko Senin - Sabtu : 09.00 - 16.00 WIB, Minggu & Libur Nasional : Toko Libur, pesanan yang masuk diluar jam operasional dan hari libur akan diproses di hari kerja berikutnya.
• Voucher tidak dapat dipindahtangankan.
• Jika ingin memberikan voucher ini sebagai gift, harus mencantumkan data diri penerima.
• Treatment ini tidak memerlukan konsultasi dokter.

𝐒𝐲𝐚𝐫𝐚𝐭 & 𝐊𝐞𝐭𝐞𝐧𝐭𝐮𝐚𝐧 :
• Batas maksimal penggunaan voucher adalah 365 hari dari tanggal pembelian.
• E-Voucher akan otomatis hangus apabila tidak digunakan sampai batas waktu yang telah ditentukan.
• Customer akan menerima kode Voucher maksimal 1 hari kerja sejak pembelian.
• Customer WAJIB melakukan 𝐫𝐞𝐬𝐞𝐫𝐯𝐚𝐬𝐢 sebelum melakukan treatment di Clinic cabang.

E-Voucher treatment dapat digunakan / di redeem di ERHA semua Cabang kecuali :
1. ERHA Pekanbaru
2. ERHA Cipinang
3. ERHA Tebet Melrose
4. ERHA Karawang
5. ERHA Jamika
6. ERHA Kopo",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2025/5/26/755be1ab-e706-4edf-9ca6-109afa78810c.jpg.webp?ect=4g,https://www.tokopedia.com/erhaultimateofficial/3x-erha-hydra-glow-facial-1731320817623795011?extParam=src%3Dshop%26whid%3D8617773&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Masker Kecantikan', 'Masker Wajah']",erha
ERHA Insta Youthful by Retinol Peeling for Face - + Online Consult,Rp640.000,"NOTE :
• 𝐓𝐫𝐞𝐚𝐭𝐦𝐞𝐧𝐭 𝐢𝐧𝐢 𝐦𝐞𝐦𝐞𝐫𝐥𝐮𝐤𝐚𝐧 𝐤𝐨𝐧𝐬𝐮𝐥𝐭𝐚𝐬𝐢 𝐝𝐨𝐤𝐭𝐞𝐫. 𝐏𝐚𝐬𝐭𝐢𝐤𝐚𝐧 𝐦𝐞𝐦𝐢𝐥𝐢𝐡 𝐯𝐚𝐫𝐢𝐚𝐧𝐭 +Online 𝐂𝐨𝐧𝐬𝐮𝐥𝐭𝐚𝐭𝐢𝐨𝐧 (𝐰𝐢𝐭𝐡 𝐒𝐤𝐢𝐧 𝐄𝐱𝐩𝐞𝐫𝐭) 𝐚𝐩𝐚𝐛𝐢𝐥𝐚 𝐭𝐢𝐝𝐚𝐤 𝐦𝐞𝐦𝐢𝐥𝐢𝐤𝐢 𝐫𝐮𝐣𝐮𝐤𝐤𝐚𝐧 𝐝𝐨𝐤𝐭𝐞𝐫.
• Wajib cantumkan 𝐍𝐚𝐦𝐚 𝐋𝐞𝐧𝐠𝐤𝐚𝐩, 𝐍𝐨 𝐇𝐏, 𝐝𝐚𝐧 𝐄𝐦𝐚𝐢𝐥 pada kolom catatan saat checkout untuk mengirimkan kode voucher. E-Voucher akan diterima maks 1 hari kerja.

Insta Youthful by Retinol Peeling for Face merupakan treatment pada area wajah menggunakan cairan peeling untuk mengangkat sel-sel kulit mati dan mengatasi tanda-tanda penuaan lainnya.
Manfaat :
1. Mengangkat sel-sel kulit mati.
2. Membantu menyamarkan kerutan, garis halus, dan bercak pada kulit.
3. Menghaluskan, mencerahkan, dan melembabkan kulit.
4. Memperbaiki tekstur kulit.

• Jam Operasional Toko Senin - Sabtu : 09.00 - 16.00 WIB, Minggu & Libur Nasional : Toko Libur, pesanan yang masuk diluar jam operasional dan hari libur akan diproses di hari kerja berikutnya.
• Voucher tidak dapat dipindahtangankan.
• Jika ingin memberikan voucher ini sebagai gift, harus mencantumkan data diri penerima.

𝐒𝐲𝐚𝐫𝐚𝐭 & 𝐊𝐞𝐭𝐞𝐧𝐭𝐮𝐚𝐧 :
• Konsultasi dilakukan melalui 𝐎𝐧𝐥𝐢𝐧𝐞.
• Batas maksimal penggunaan voucher adalah 60 hari dari tanggal pembelian.
• E-Voucher akan otomatis hangus apabila tidak digunakan sampai batas waktu yang telah ditentukan.
• Customer akan menerima kode Voucher maksimal 1 hari kerja sejak pembelian.
• Customer WAJIB melakukan 𝐫𝐞𝐬𝐞𝐫𝐯𝐚𝐬𝐢 sebelum melakukan treatment di Clinic cabang.

E-Voucher treatment dapat digunakan / di redeem di ERHA semua Cabang kecuali :
1. ERHA Pekanbaru
2. ERHA Cipinang
3. ERHA Tebet Melrose
4. ERHA Karawang
5. ERHA Jamika
6. ERHA Kopo",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2025/4/30/aeaa3f9a-6524-4b70-b1fd-ba3969aa2a12.jpg.webp?ect=4g,https://www.tokopedia.com/erhaultimateofficial/erha-insta-youthful-by-retinol-peeling-for-face-1731707086046135421?extParam=src%3Dshop%26whid%3D8617773&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Scrub Wajah']",erha
ERHA Hydra Facial - Oil Clarifying,Rp552.500,"Setiap pembelian e-voucher treatment ini, akan dikirimkan berupa E-Voucher digital.
NOTE : Wajib cantumkan 𝐍𝐚𝐦𝐚 𝐋𝐞𝐧𝐠𝐤𝐚𝐩, 𝐍𝐨 𝐇𝐏, 𝐝𝐚𝐧 𝐄𝐦𝐚𝐢𝐥 pada kolom catatan saat checkout untuk mengirimkan kode voucher. E-Voucher akan diterima maks 1 hari kerja.

Hydra Oil Clarifying Facial merupakan treatment perawatan wajah atau facial yang cocok untuk jenis kulit normal dan berminyak. Menggunakan purifying serum berfungsi untuk membantu mengurangi kadar minyak yang berlebih pada wajah dan membantu mengurangi jerawat dan mencegah pertumbuhan jerawat.

• Jam Operasional Toko Senin - Sabtu : 09.00 - 16.00 WIB, Minggu & Libur Nasional : Toko Libur, pesanan yang masuk diluar jam operasional dan hari libur akan diproses di hari kerja berikutnya.
• Voucher tidak dapat dipindahtangankan.
• Jika ingin memberikan voucher ini sebagai gift, harus mencantumkan data diri penerima.
• Treatment ini tidak memerlukan konsultasi dokter.

𝐒𝐲𝐚𝐫𝐚𝐭 & 𝐊𝐞𝐭𝐞𝐧𝐭𝐮𝐚𝐧 :
• Batas maksimal penggunaan voucher adalah 60 hari dari tanggal pembelian.
• E-Voucher akan otomatis hangus apabila tidak digunakan sampai batas waktu yang telah ditentukan.
• Customer akan menerima kode Voucher maksimal 1 hari kerja sejak pembelian.
• Customer WAJIB melakukan 𝐫𝐞𝐬𝐞𝐫𝐯𝐚𝐬𝐢 sebelum melakukan treatment di Clinic cabang.

E-Voucher treatment dapat digunakan / di redeem di ERHA semua Cabang kecuali :
1. ERHA Pekanbaru
2. ERHA Cipinang
3. ERHA Tebet Melrose
4. ERHA Karawang
5. ERHA Jamika
6. ERHA Kopo",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/5/17/8be3118d-d7bd-43e2-9726-cb4afd2fb072.jpg.webp?ect=4g,https://www.tokopedia.com/erhaultimateofficial/erha-hydra-facial-oil-clarifying?extParam=src%3Dshop%26whid%3D8617773&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Face Oil']",erha
ERHA Anti Hair Fall Therapy by Mesotherapy,Rp1.800.000,"Setiap pembelian E-Voucher treatment ini, sudah include dengan 𝐊𝐨𝐧𝐬𝐮𝐥𝐭𝐚𝐬𝐢 𝐃𝐨𝐤𝐭𝐞𝐫 (Online with Skin Expert).
NOTE : Wajib cantumkan 𝐍𝐚𝐦𝐚 𝐋𝐞𝐧𝐠𝐤𝐚𝐩, 𝐍𝐨 𝐇𝐏, 𝐝𝐚𝐧 𝐄𝐦𝐚𝐢𝐥 pada kolom catatan saat checkout untuk mengirimkan kode voucher. E-Voucher akan diterima maks 1 hari kerja.

Anti Hair Fall Therapy by Mesotherapy adalah treatment pemberian serum pada kulit kepala yang bermanfaat untuk menutrisi kulit kepala.

• Jam Operasional Toko Senin - Sabtu : 09.00 - 16.00 WIB, Minggu & Libur Nasional : Toko Libur, pesanan yang masuk diluar jam operasional dan hari libur akan diproses di hari kerja berikutnya.
• Voucher tidak dapat dipindahtangankan.
• Jika ingin memberikan voucher ini sebagai gift, harus mencantumkan data diri penerima.

𝐒𝐲𝐚𝐫𝐚𝐭 & 𝐊𝐞𝐭𝐞𝐧𝐭𝐮𝐚𝐧 :
• Konsultasi dilakukan melalui Online.
• Batas maksimal penggunaan voucher adalah 60 hari dari tanggal pembelian.
• E-Voucher akan otomatis hangus apabila tidak digunakan sampai batas waktu yang telah ditentukan.
• Customer akan menerima kode Voucher maksimal 1 hari kerja sejak pembelian.
• Customer WAJIB melakukan 𝐫𝐞𝐬𝐞𝐫𝐯𝐚𝐬𝐢 sebelum melakukan treatment di Clinic cabang.

Voucher ini tidak dapat digunakan di :
ERHA Ultimate / ERHA Apothecary :
Istana Plaza Bandung • Pentacity Mall Balikpapan • Galaxy Mall Surabaya • 23 Paskal Bandung
ERHA Derma Center :
BSD • Yogyakarta • Kemanggisan • Kelapa Gading • Pondok Indah • Bandung • Surabaya • Medan
ERHA Clinic : Semua EC
ERHA Skin : Karawang • Kopo • Lampung",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/9/1/9cc249cd-add9-4cda-8c51-655aa39b6484.jpg.webp?ect=4g,https://www.tokopedia.com/erhaultimateofficial/erha-anti-hair-fall-therapy-by-mesotherapy-1731524661478261885?extParam=src%3Dshop%26whid%3D8617773&aff_unique_id=&channel=others&chain_key=,"['Home', 'Perawatan Tubuh', 'Perawatan Rambut', 'Masker Rambut']",erha
ERHA Medical Grade Facial - Glow Bright,Rp355.500,"Setiap pembelian treatment ini, akan dikirimkan berupa E-Voucher digital. Wajib cantumkan 𝐍𝐚𝐦𝐚 𝐋𝐞𝐧𝐠𝐤𝐚𝐩, 𝐍𝐨 𝐇𝐏, 𝐝𝐚𝐧 𝐄𝐦𝐚𝐢𝐥 pada kolom catatan saat checkout untuk mengirimkan kode voucher. E-Voucher akan diterima maks 1 hari kerja.

Glow Bright Facial merupakan treatment facial berupa pembersihan kulit wajah secara lebih mendalam dan dikombinasi dengan massage yang bertujuan untuk membersihkan wajah dari kotoran dan komedo, sehingga menghasilkan kulit wajah yang segar, lebih sehat dan bersih, dan relaxing. Durasi treatment yaitu 90 menit.

• Jam Operasional Toko Senin - Sabtu : 09.00 - 16.00 WIB, Minggu & Libur Nasional : Toko Libur, pesanan yang masuk diluar jam operasional dan hari libur akan diproses di hari kerja berikutnya.
• Voucher tidak dapat dipindahtangankan.
• Jika ingin memberikan voucher ini sebagai gift, harus mencantumkan data diri penerima.
• Treatment ini tidak memerlukan konsultasi dokter.

𝐒𝐲𝐚𝐫𝐚𝐭 & 𝐊𝐞𝐭𝐞𝐧𝐭𝐮𝐚𝐧 :
• Batas maksimal penggunaan voucher adalah 60 hari dari tanggal pembelian.
• E-Voucher akan otomatis hangus apabila tidak digunakan sampai batas waktu yang telah ditentukan.
• Customer akan menerima kode Voucher maksimal 1 hari kerja sejak pembelian.
• Customer WAJIB melakukan 𝐫𝐞𝐬𝐞𝐫𝐯𝐚𝐬𝐢 sebelum melakukan treatment di Clinic cabang.

E-Voucher treatment dapat digunakan / di redeem di ERHA semua Cabang kecuali :
1. ERHA Pekanbaru
2. ERHA Cipinang
3. ERHA Tebet Melrose
4. ERHA Karawang
5. ERHA Jamika
6. ERHA Kopo",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/3/21/efa4b2de-801d-4f3f-a7df-85c359f1ff9e.png.webp?ect=4g,https://www.tokopedia.com/erhaultimateofficial/erha-medical-grade-facial-glow-bright?extParam=src%3Dshop%26whid%3D8617773&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Serum Mata']",erha
ERHA Post Acne Dark Spot Fade Away by IPL,Rp720.000,"Setiap pembelian E-Voucher treatment ini, sudah include dengan 𝐊𝐨𝐧𝐬𝐮𝐥𝐭𝐚𝐬𝐢 𝐃𝐨𝐤𝐭𝐞𝐫 (Online with Skin Expert).
NOTE : Wajib cantumkan 𝐍𝐚𝐦𝐚 𝐋𝐞𝐧𝐠𝐤𝐚𝐩, 𝐍𝐨 𝐇𝐏, 𝐝𝐚𝐧 𝐄𝐦𝐚𝐢𝐥 pada kolom catatan saat checkout untuk mengirimkan kode voucher. E-Voucher akan diterima maks 1 hari kerja.

Post Acne Dark Spot by IPL merupakan treatment dengan tekonologi cahaya yang dikombinasikan dengan pengaplikasikan serum yang bermanfaat untuk mengurangi inflamasi, mengurangi dark spot, dan memperbaiki pembuluh darah yang rusak.

• Jam Operasional Toko Senin - Sabtu : 09.00 - 16.00 WIB, Minggu & Libur Nasional : Toko Libur, pesanan yang masuk diluar jam operasional dan hari libur akan diproses di hari kerja berikutnya.
• Voucher tidak dapat dipindahtangankan.
• Jika ingin memberikan voucher ini sebagai gift, harus mencantumkan data diri penerima.

𝐒𝐲𝐚𝐫𝐚𝐭 & 𝐊𝐞𝐭𝐞𝐧𝐭𝐮𝐚𝐧 :
• Konsultasi dilakukan melalui Online.
• Batas maksimal penggunaan voucher adalah 60 hari dari tanggal pembelian.
• E-Voucher akan otomatis hangus apabila tidak digunakan sampai batas waktu yang telah ditentukan.
• Customer akan menerima kode Voucher maksimal 1 hari kerja sejak pembelian.
• Customer WAJIB melakukan 𝐫𝐞𝐬𝐞𝐫𝐯𝐚𝐬𝐢 sebelum melakukan treatment di Clinic cabang.

Voucher ini TIDAK DAPAT digunakan di:
- All EC (Erha Clinic)
- All EDC (Erha Derma Center)
- ES Warbun
- ES Tasikmalaya
- ES Tegal
- ES Samarinda
- ES Jambi
- EU Senayan City
- EA Pacific Place
- EA Grand Indonesia
- EA Kokas
- EA Paskal 23 Bandung
- EA Istana Plaza Bandung
- EA Galaxy Mall Surabaya
- EA Duta Mall Banjarmasin
- Erha Skin : Karawang, Kopo, Lampung",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/9/1/9dcd6266-5478-4fc7-ac88-47cf58d84a7a.jpg.webp?ect=4g,https://www.tokopedia.com/erhaultimateofficial/erha-post-acne-dark-spot-fade-away-by-ipl-1731524661657240701?extParam=src%3Dshop%26whid%3D8617773&aff_unique_id=&channel=others&chain_key=,"['Home', 'Perawatan Tubuh', 'Perawatan Kulit', 'Penghilang Bekas Jerawat']",erha
HISERHA Intense Oil Control Cream 20gr,Rp72.000,"• 𝐄𝐱𝐩𝐢𝐫𝐞𝐝 𝐃𝐚𝐭𝐞 𝐏𝐫𝐨𝐝𝐮𝐤 𝐏𝐫𝐨𝐦𝐨 : Juni 2026
• Apabila kemasan produk yang dikirim berbeda, produk tersebut merupakan produk yang tetap sama namun dengan desain kemasan lama.
• Untuk mendapatkan poin ERHA, silakan cantumkan data diri (𝐍𝐚𝐦𝐚 𝐋𝐞𝐧𝐠𝐤𝐚𝐩, 𝐍𝐨 𝐇𝐏, 𝐝𝐚𝐧 𝐄𝐦𝐚𝐢𝐥) pada catatan pesanan.
• 𝐉𝐚𝐦 𝐎𝐩𝐞𝐫𝐚𝐬𝐢𝐨𝐧𝐚𝐥 𝐓𝐨𝐤𝐨 𝐒𝐞𝐧𝐢𝐧 - 𝐒𝐚𝐛𝐭𝐮 : 𝟎𝟗.𝟎𝟎 - 𝟏𝟔.𝟎𝟎 𝐖𝐈𝐁, 𝐌𝐢𝐧𝐠𝐠𝐮 & 𝐋𝐢𝐛𝐮𝐫 𝐍𝐚𝐬𝐢𝐨𝐧𝐚𝐥 : 𝐓𝐨𝐤𝐨 𝐋𝐢𝐛𝐮𝐫.
• Pesanan yang masuk diluar jam operasional dan hari libur akan diproses di hari kerja berikutnya.

HISERHA INTENSE OIL CONTROL CREAM, merupakan krim pelembap yang diformulasikan khusus pria untuk mengontrol minyak berlebih serta melindungi kulit dari sinar matahari. Diformulasikan dengan bahan aktif seperti Willow Bark Extract dan Zinc Gluconate untuk mengontrol minyak berlebih dan menyamarkan tampilan pori. Moisturizing agents dan antioxidant membuat kulit lembap seharian. Dilengkapi dengan SPF30/PA+++ untuk perlindungan kulit dari efek buruk sinar matahari UV-A dan UV-B serta perlindungan anti polusi.

MANFAAT :
1. Mengontrol minyak berlebih dan mengecilkan tampilan pori.
2. Melembapkan dan menangkal radikal bebas di kulit.
3. Melindungi kulit dari efek buruk sinar matahari dengan proteksi SPF30/PA+++.
4. Meredakan kemerahan dan menenangkan kulit yang teriritasi ringan.

CARA PAKAI :
Gunakan pada kulit wajah yang sudah dibersihkan setiap harii sebelum beraktivitas

KANDUNGAN :
Willow Bark Extract dan Zinc Gluconate, Moisturizing Agent dan Antioxidant, Chemical Sunscreen Agent, Soothing Agent.

PENTING !
Untuk pengajuan komplain wajib melampirkan video unboxing",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2025/5/16/f650477f-7476-4c77-bf8d-6b04c8a6d695.jpg.webp?ect=4g,https://www.tokopedia.com/erhaultimateofficial/hiserha-intense-oil-control-cream-20gr?extParam=src%3Dshop%26whid%3D8617773&aff_unique_id=&channel=others&chain_key=,"['Home', 'Perawatan Tubuh', 'Grooming', 'Hair Wax & Pomade']",erha
ERHA Truwhite Brightening Pore Toner 100ml,Rp88.900,"• 𝐄𝐱𝐩𝐢𝐫𝐞𝐝 𝐃𝐚𝐭𝐞 𝐏𝐫𝐨𝐝𝐮𝐤 𝐏𝐫𝐨𝐦𝐨 : April 2026
• Apabila kemasan produk yang dikirim berbeda, produk tersebut merupakan produk yang tetap sama namun dengan desain kemasan lama.
• Untuk mendapatkan poin ERHA, silakan cantumkan data diri (𝐍𝐚𝐦𝐚 𝐋𝐞𝐧𝐠𝐤𝐚𝐩, 𝐍𝐨 𝐇𝐏, 𝐝𝐚𝐧 𝐄𝐦𝐚𝐢𝐥) pada catatan pesanan.
• 𝐉𝐚𝐦 𝐎𝐩𝐞𝐫𝐚𝐬𝐢𝐨𝐧𝐚𝐥 𝐓𝐨𝐤𝐨 𝐒𝐞𝐧𝐢𝐧 - 𝐒𝐚𝐛𝐭𝐮 : 𝟎𝟗.𝟎𝟎 - 𝟏𝟔.𝟎𝟎 𝐖𝐈𝐁, 𝐌𝐢𝐧𝐠𝐠𝐮 & 𝐋𝐢𝐛𝐮𝐫 𝐍𝐚𝐬𝐢𝐨𝐧𝐚𝐥 : 𝐓𝐨𝐤𝐨 𝐋𝐢𝐛𝐮𝐫.
• Pesanan yang masuk diluar jam operasional dan hari libur akan diproses di hari kerja berikutnya.
• Sameday : Pengiriman untuk pesanan Sameday dilakukan sampai pukul 15.00, pesanan yang masuk diatas waktu tersebut akan dikirimkan pada hari berikutnya (12.00-15.00).
• Instant : Pengiriman untuk pesanan Instant dilakukan sampai pukul 16.00, pesanan yang masuk diatas waktu tersebut akan dikirimkan pada hari berikutnya (12.00-16.00).

Toner yang digunakan untuk mengoptimalkan penyerapan skincare lebih baik.

MANFAAT:
mencerahkan dan memperkecil tampilan pori, mengangkat sel kulit mati, serta menyeimbangkan pH kulit wajah.

CARA PENGUNAAN:
1. Bersihkan wajah, tunggu hingga kering.
2. Aplikasikan toner menggunakan kapas atau tangan pada wajah hingga menyerap.
3. Lanjutkan dengan menggunakan serum dan moisturizer setelahnya.
4. Untuk hasil yang lebih optimal dapat digunakan pada pagi dan malam hari bersama dengan rangkaian ERHA Truwhite lainnya.

KANDUNGAN:
Niacinamide, Tranexamic Acid, dan Zinc Gluconate

PENTING !
Untuk pengajuan komplain wajib melampirkan video unboxing",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/3/25/9c28079a-7309-4591-97e8-03a9b2efb388.jpg.webp?ect=4g,https://www.tokopedia.com/erhaultimateofficial/erha-truwhite-brightening-pore-toner-100ml?extParam=src%3Dshop%26whid%3D8617773&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Toner Wajah']",erha
ERHA Medical Grade Facial - PerfeClean,Rp355.500,"Setiap pembelian treatment ini, akan dikirimkan berupa E-Voucher digital.
Note : Wajib cantumkan 𝐍𝐚𝐦𝐚 𝐋𝐞𝐧𝐠𝐤𝐚𝐩, 𝐍𝐨 𝐇𝐏, 𝐝𝐚𝐧 𝐄𝐦𝐚𝐢𝐥 pada kolom catatan saat checkout untuk mengirimkan kode voucher. E-Voucher akan diterima maks 1 hari kerja.

PerfeClean Facial merupakan treatment facial berupa pembersihan kulit wajah secara lebih mendalam dan dikombinasi dengan massage yang bertujuan untuk membersihkan wajah dari kotoran dan komedo, sehingga menghasilkan kulit wajah yang segar, lebih sehat dan bersih, dan relaxing. Durasi treatment yaitu 90 menit.

• Jam Operasional Toko Senin - Sabtu : 09.00 - 16.00 WIB, Minggu & Libur Nasional : Toko Libur, pesanan yang masuk diluar jam operasional dan hari libur akan diproses di hari kerja berikutnya.
• Voucher tidak dapat dipindahtangankan.
• Jika ingin memberikan voucher ini sebagai gift, harus mencantumkan data diri penerima.
• Treatment ini tidak memerlukan konsultasi dokter.

𝐒𝐲𝐚𝐫𝐚𝐭 & 𝐊𝐞𝐭𝐞𝐧𝐭𝐮𝐚𝐧 :
• Batas maksimal penggunaan voucher adalah 60 hari dari tanggal pembelian.
• E-Voucher akan otomatis hangus apabila tidak digunakan sampai batas waktu yang telah ditentukan.
• Customer akan menerima kode Voucher maksimal 1 hari kerja sejak pembelian.
• Customer WAJIB melakukan 𝐫𝐞𝐬𝐞𝐫𝐯𝐚𝐬𝐢 sebelum melakukan treatment di Clinic cabang.

E-Voucher treatment dapat digunakan / di redeem di ERHA semua Cabang kecuali :
1. ERHA Pekanbaru
2. ERHA Cipinang
3. ERHA Tebet Melrose
4. ERHA Karawang
5. ERHA Jamika
6. ERHA Kopo",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/3/21/8309ceeb-4580-42b3-a7eb-31875b8390f9.png.webp?ect=4g,https://www.tokopedia.com/erhaultimateofficial/erha-medical-grade-facial-perfeclean?extParam=src%3Dshop%26whid%3D8617773&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Serum Mata']",erha
