Title,Price,Description,Image URL,Link,Type,Brand
SOMETHINC ASAP Eyelash & Brow Treatment Serum - Serum Bulu Mata,Rp80.750,"ASAP Eyelash & Brow Treatment Serum - Serum Bulu Mata
Dapatkan bulu mata lentik sempurna dengan 4x Active Lash & Brow Growth Stimulator untuk memanjangkan, menebalkan, menumbuhkan, serta mencegah kerontokan pada bulu mata & alis sampai 3x lebih banyak dalam 15 hari* dengan kandungan Synergrowth, Biotinoyl Tripeptide-1, Lash Fertilizer serta Pea Extract.

Ukuran: 3.5ml
No BPOM: NA18211202333

4 CARA KERJA LASH SERUM SOMETHINC:
Menambahkan panjang & volume bulu mata up to 43% / 3x more volume dalam 15 hari
Menebalkan & menambahkan jumlah lash secara signifikan
Merangsang pertumbuhan rambut baru sebanyak 3x
Mencegah kerontokan & lash breakage akibat penggunaan eyelash extension atau maskara

Hero Ingredients:
Biotinoyl Tripeptide-1: meningkatkan volume bulu mata 3 x lebih banyak setelah 15 hari pemakaian, memperkuat & memperpanjang bulu mata.
Tripeptide: merangsang regenerasi sel, mencegah rambut rontok, mengembalikan vitalitas, densitas/kepadatan rambut setelah 3 bulan pemakaian
Synergrowth: meningkatkan pertumbuhan rambut dalam 7 hari pemakaian, mencegah kerontokan serta menguatkan serta mempertebal rambut bulu mata & alis dengan cepat
Lash Fertilizer: meningkatkan 3x pertumbuhan rambut serta kepadatan & memanjangkan bulu mata maupun alis dalam 4 minggu

Cara Pemakaian
Gunakan pada wajah yang telah di bersihkan & benar-benar kering sebelum mengaplikasikan serum bulu mata.
Celupkan kuas ke dalam botol serum & kurangi cairan jika terlalu banyak.
Oleskan secukupnya serum bulu mata dari akar sampai batang bulu mata, juga boleh oleskan pada alis.
Lakukan secara rutin untuk hasil yang maksimal

Fungal Acne Safe
Dermatology Tested
Non Irritation Formula
Suitable for Teenager (boleh dipakai dari umur 11 tahun keatas)",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/2/15/b551969f-63b0-46cc-b63b-52916c022485.jpg.webp?ect=4g,https://www.tokopedia.com/somethinc/somethinc-asap-eyelash-brow-treatment-serum-serum-bulu-mata?extParam=src%3Dshop%26whid%3D6131772&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Serum Bulu Mata & Alis']",somethinc
[FLASH SALE] SOMETHINC Holyshield! Sunscreen Comfort Corrector Serum SPF 50+ PA++++ - Mineral Sunscreen - 15ml,Rp65.550,"Holyshield! Sunscreen Comfort Corrector Serum SPF 50+ PA++++ - 50ml ED 7/07/2025

CERTIFIED IN VIVO + IN VITRO AUSTRALIA

Holyshield! Sunscreen Comfort Corrector Serum SPF 50+ PA++++

Multitask Sunscreen SPF 50+ PA++++ melindungi kulit dari UVA & UVB, serta berfungsi sebagai color corrector yang menjadikan warna kulit tampak lebih merata & cerah. Bertekstur ringan sehingga cepat menyerap, tidak lengket, & memberikan Satin skin-like finish. Bersifat antioksidan & efektif menyamarkan kemerahan karena dikombinasikan dari bahan alami yang cocok untuk kulit sensitif seperti Natural Alpha-Bisabolol, Multi Vitamin & Horse Chestnut Seed Extracts.

Ukuran: 15ml |50ml
No BPOM: NA18211700878

Jenis kulit: Semua jenis kulit

Kelebihan:
SPF 50+ PA++++ (semakin banyak tanda plus pada PA, semakin tinggi tingkat proteksi kulit dari UVA)
Tidak membuat kulit kusam
Non sticky, non greasy, & non peeling!
Satin skin finish
Vegan-friendly!
Suitable for teenager (boleh dipakai dari umur 11 tahun keatas)

Hero Ingredients:
Natural Alpha-Bisabolol: memiliki kemampuan anti iritasi, antioksidan, efek menenangkan & anti-acne karena bersifat antimikroba.
Multivitamins, kombinasi beberapa vitamin (Vit. A, Vit E, Vit. E5, Vit. F, Vit. B7, dan Myo-Inositol) & Horse Chestnut Extract yang cepat berpenetrasi ke dalam kulit & bersifat antioksidan untuk menangkal radikal bebas pada kulit. Mengandung asam untuk memperkuat skin barrier & memperhalus kulit. Selain itu, mampu mempercepat pembaharuan/renewal sel kulit, menjaga elastisitas kulit, menjaga kelembaban, mengatasi jerawat, mencegah photoaging akibat sinar UVA, & membantu proses detoksifikasi protein yang rusak.

CARA PEMAKAIAN

Gunakan sebagai tahap terakhir perawatan kulit, kocok sebelum penggunaan.
Keluarkan sunscreen sebanyak 2 ruas jari tangan lalu oleskan keseluruh wajah
Dapat digunakan kembali setiap 2 jam untuk melindungi kulit dari sinar UV secara maksimal",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2025/3/24/fdcbf7b3-8c2e-45a5-a691-9ec79ba0914f.jpg.webp?ect=4g,https://www.tokopedia.com/somethinc/flash-sale-somethinc-holyshield-sunscreen-comfort-corrector-serum-spf-50-pa-mineral-sunscreen-15ml-baf8e?extParam=src%3Dshop%26whid%3D6131772&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Sunblock wajah']",somethinc
"SOMETHINC [2 PCS] Combo Exfoliating Glowing - (10% Lactic Peeling Serum, 5% Mandelic Exfoliating Serum) - Peeling",Rp223.520,"SOMETHINC Calm Down! Skinpair R-Cover Cream

[TASYA FARASYA APPROVED]

Pelembab vegan bertekstur ringan yang melindungi barrier kulit dengan menghidrasi secara maksimal sepanjang hari, cocok untuk kulit sensitif. Menghidrasi & menenangkan kulit secara instan dengan CalmDown, Madagascar Centella Asiatica & Encapsulated Ceramide yang meresap hingga ke dalam pori-pori. Diperkaya dengan Muru-Muru Butter & Natural Moisture Magnet untuk memperkuat barrier kulit & meningkatkan kelembapan. Penyelamat kulit agar tampak lebih sehat, lembut, kenyal & segar. Ucapkan selamat tinggal pada kulit sensitif & halo untuk barrier kulit yang kuat!

10% - Lactic + Glycolic Peeling Serum

Serum glowing eksfoliasi dengan 7x glowing effect* yang dapat mendukung regenerasi kulit baru, mencerahkan warna kulit lebih cepat, mengurangi komedo whitehead & blackhead, menyamarkan garis halus, pigmentasi & noda bekas jerawat, tekstur dan pori-pori jadi lebih halus dalam 2minggu. Dilengkapi dengan Mugwort, Calendula & Panthenol untuk menenangkan dan melembabkan kulit. Somethinc 10% Lactic + Glycolic Peeling Serum dapat digunakan di malam hari untuk ibu hamil, menyusui & remaja mulai usia 17 tahun. *Dibandingkan dengan Serum Somethinc AHA BHA Peeling Solution

5% Mandelic Acid Mild Exfoliating Serum

Serum glowing eksfoliasi yang gentle untuk kulit sensitif & berjerawat. Dengan konsentrasi 5% Mandelic Acid untuk mengangkat sel kulit mati dengan potensi iritasi yang sangat minim. Dapat mencerahkan kulit, mendukung regenerasi kulit baru, mengurangi komedo whitehead & blackhead, pori-pori jadi lebih halus dalam 2minggu, mengurangi jerawat, memudarkan bekas jerawat & flek hitam sekaligus menghidrasi kulit.

Somethinc 5% Mandelic Acid Mild Exfloating Serum dapat digunakan di malam hari untuk ibu hamil, menyusui & remaja mulai usia 11 tahun.",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/10/4/0120d060-7857-4d0c-9d0b-94e4f07e3da3.jpg.webp?ect=4g,https://www.tokopedia.com/somethinc/somethinc-2-pcs-combo-exfoliating-glowing-10-lactic-peeling-serum-5-mandelic-exfoliating-serum-peeling-208d0?extParam=whid%3D6131772%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Serum Wajah']",somethinc
SOMETHINC EGGO 3D Contour / Bronzer - Dragon,Rp61.900,"Eggo 3D Contour

BUILDABLE CONTOUR & BRONZER DENGAN SOFT POWDER TEXTURE!

Jadikan wajah lebih tajam dan menawan dengan Shading Efek 3D yang blendable & menyatu dengan kulit. Indikator High Water-Resistant & Sweatproof menjadikannya cocok untuk dipakai beraktifitas seharian tanpa takut luntur. Hasil smooth, minim fall-out, serta pigmentasi yang long-lasting!

Ukuran: 1.5gr
Shade:
Mistress (NA11211200613)
Dragon (NA11211200610)
Eternal (NA11211200612)

Blendable dengan Nano Powder Texture
3D Effect Bronzer & Contour
Pigmentasi tinggi & Buildable
Seamless texture & Mudah digunakan
Sesuai untuk warna kulit Indonesia
Kulit tampak halus & tidak geser seharian
Teruji secara Dermatologi
Bersertifikasi BPOM

Cara Pemakaian:
Ambil produk dengan brush/sponge secukupnya
Aplikasikan pada di bawah tulang pipi, di bawah dagu, rahang, & sisi hidung.
Buat efek bronzer dengan mengaplikasikannya ke pipi, garis rambut, & dagu.
Blend dengan baik untuk mendapatkan effortless beautiful 3D look!

PAO: 6 months

Ingredients:
Mica, Silica, Dimethicone, Polyethylene, Ethylhexyl Palmitate, Boron Nitride, Magnesium Stearate, Methyl Methacrylate Crosspolymer, Nylon-12, Bis-Diglyceryl Polyacyladipate-2, Isononyl Isononanoate, Tridecyl Trimellitate, Methicone, Phenoxyethanol, Triethoxycaprylylsilane, 1,2-Hexanediol, Ethylhexylglycerin

May Contain:
CI 77891, CI 77492, CI 77491, CI 77499",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/4/5/9258a519-3eea-46cd-8cfb-e69512901301.jpg.webp?ect=4g,https://www.tokopedia.com/somethinc/somethinc-eggo-3d-contour-bronzer-dragon?extParam=src%3Dshop%26whid%3D6131772&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Make up Wajah', 'Contour & Bronzer']",somethinc
SOMETHINC Makeup Individual Brush - 010 Blending,Rp38.900,"Made In Germany

010 Tapered Blending Brush : Excellently shaped for blending & applying a transition shade to the crease of eyelid & browbone

011 Crease Brush : Enchange, define & smoothly blend eyeshadow into crease

012 Smudge Brush : Perfectly designed to blend out powder & cream products to smudge color along the lash line. Allows perfect control to create the perfect somkey eye

013 Short Smudge Brush : Perfect shape to expertly smooth in color along the lower lids for a perfect smokey eye

014 Dual Ended Eyebrow Brush : Dual aplicator with brush end to create precise hair like strokes & spoolie end to blend product for a natural looking finish.

020 Powder Brush : Soft & fluffy bristles brush for smooth powder application

030 Angled Contour / Blush Brush : Excellent for a soft application of blush on the cheeks or contour below the cheekbones

040 Highlighter Brush : Designed for precision highlighting on the cheekbones, brow bones, and other face areas to achieve an illuminating glow & subtle radiance",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/12/15/82b2497b-2b4e-4c8c-93a8-b2606a7e558a.jpg.webp?ect=4g,https://www.tokopedia.com/somethinc/somethinc-makeup-individual-brush-010-blending?extParam=src%3Dshop%26whid%3D6131772&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Brush Applicator', 'Make Up Brush']",somethinc
SOMETHINC Bakuchiol R-Cover Firming Body Crème - Body Serum Lotion - Tokopedia - Single,Rp82.500,"ED 9-Mar-25

Bakuchiol R-Cover Firming Body Crème

3-in-1 Body Creme untuk membantu MENYAMARKAN STRETCH MARK dalam 28* hari! Diperkaya dengan kandungan Bakuchiol, Chlorella Extract, & cross-linked Hyaluronic Acid yang menjaga kekencangan sekaligus menghidrasi kulit agar tetap lembab & elastis. Nyaman digunakan sepanjang hari dengan tekstur ringan, mudah menyerap, & tidak lengket.

(*hasil uji in vivo bahan aktif dengan penggunaan rutin 2x sehari)

Ukuran: 100ml
No BPOM: NA18210110239
Jenis kulit: Semua jenis kulit

Manfaat:
Mengencangkan & menyamarkan stretch mark secara signifikan setelah 28 hari
Memberi efek firming untuk kulit kendur & mengurangi munculnya hiperpigmentasi tanpa mengiritasi kulit
Menyamarkan tanda-tanda penuaan, keriput, membantu regenerasi sel kulit
Menjaga kelembaban kulit dan elastisitas kulit

Vegan Friendly
Dermatologist Tested
Non-Irritation Formula
Suitable for teenager (bisa digunakan dari umur 17 tahun keatas)

Ingredients:
Water, Ethylhexyl Stearate, Pentylene Glycol, Polyglyceryl-3 Methylglucose Distearate, Glycerin, Glyceryl Stearate, 1,2-Hexanediol, Propylene Glycol, Stearyl Alcohol, Cetyl Alcohol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Caprylyl Glycol, Carbomer, Tromethamine, Olea Europaea (Olive) Fruit Oil, Hydroxyethylcellulose, Bakuchiol, Camellia Sinensis Leaf Extract, Chlorella Vulgaris Extract, Sorbitan Isostearate, Polysorbate 60, Disodium EDTA, Myristyl Alcohol, Acetyl Glucosamine, Sodium Hyaluronate, Lauryl Alcohol, Hydroxyacetophenone, Sodium Hyaluronate Crosspolymer",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/5/10/2c87373c-12b4-49e8-a11b-746392b1ab34.jpg.webp?ect=4g,https://www.tokopedia.com/somethinc/somethinc-bakuchiol-r-cover-firming-body-cr-me-body-serum-lotion-tokopedia-1731176771133736389?extParam=src%3Dshop%26whid%3D6131772&aff_unique_id=&channel=others&chain_key=,"['Home', 'Perawatan Tubuh', 'Perawatan Kulit', 'Stretchmark Cream']",somethinc
SOMETHINC Alpha Squalaneoxidant Deep Cleansing Oil - 40 ml,Rp71.250,"SOMETHINC Alpha Squalaneoxidant Deep Cleansing Oil

Cleansing oil yang gentle dan mampu membersihkan makeup waterproof, minyak, debu, dan kotoran secara menyeluruh. Menggunakan teknologi Micelle yang mampu mengikat kotoran dan berubah menjadi milky texture saat kontak dengan air, sehingga menjadikan kulit bersih tanpa meninggalkan residu dan non-stripping.

Ukuran: 40ml | 100ml
No BPOM: NA18211202419

Jenis kulit: Semua jenis kulit

Kelebihan:
Meluruhkan seluruh kotoran, sebum berlebih, waterproof makeup & sunscreen
Menggunakan teknologi Micelle yang mampu mengikat kotoran dan berubah menjadi milky texture saat kontak dengan air, sehingga menjadikan kulit bersih tanpa meninggalkan residu
Menggunakan natural oil yang sifatnya less comedogenic dibandingkan mineral oil
Tidak ada efek stripping pada kulit
Pembersih yang lembut tetapi mampu mengangkat kotoran dengan sangat baik

Hero Ingredients:
Squalane: Menjaga kelembaban kulit, tidak membuat kulit tertarik, sebagai antioksidan yang dapat mencegah kerusakan kulit, menjaga kulit tetap kenyal dan awet muda.
Hydrogenated Olea europaea Unsaponifiables: Menutrisi kulit, antioksidan, melembabkan kulit kering dan sensitif
Helianthus Annuus (Sunflower) Seed: Melembabkan kulit, antioksidan kuat yang melindungi kulit dari stress external, membantu memperbaiki skin barrier, membantu proses regenerasi sel kulit, menjaga elastisitas & membantu mencegah pembentukan garis halus.


Cara pemakaian:
Pastikan tangan dalam kondisi bersih dan kering pada saat hendak membersihkan wajah.
Teteskan oil pada tangan, lalu baurkan ke seluruh permukaan kulit wajah.
Basahi tangan dengan air untuk mengubah minyak menjadi milky emulsion, lalu pijat lagi secara perlahan sebelum dibilas dengan air sampai bersih",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/5/8/537d48e7-acd3-4c9b-9427-49c3db341e2b.jpg.webp?ect=4g,https://www.tokopedia.com/somethinc/somethinc-alpha-squalaneoxidant-deep-cleansing-oil-40-ml?extParam=src%3Dshop%26whid%3D6131772&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Pembersih Make Up', 'Make Up Remover Oil']",somethinc
SOMETHINC GAME CHANGER Tripeptide Eye Concentrate Gel,Rp147.250,"Game Changer Tripeptide Eye Concentrate Gel

Gel mata yang mengandung 3 jenis Peptide untuk merawat kontur kulit di sekitar mata seperti lingkaran hitam, kantung mata, garis halus, & kerutan. Berbentuk gel ringan yang mudah menyerap & membuat area mata terasa lembut, lembab, dan kencang. Dilengkapi dengan keramik tip untuk efek dingin & segar pada mata.

Ukuran: 20 ml
No BPOM: NA18222000629

Manfaat:
Menyamarkan kantung mata, keriput, & garis halus
Mencerahkan lingkaran hitam (dalam 3-4 minggu)
Menghidrasi area kulit mata hingga 18 jam
Menghaluskan area kulit mata
Mencegah kerusakan kulit akibat radikal bebas

Hero Ingredients:
1. 3 Powerful Peptides (Acetyl tetrapeptide-5, Dipeptide-2, Oligopeptide-5):
Mengurangi kantong mata dalam 7 hari
Menyamarkan dark circles
Mengurangi tanda penuaan seperti garis halus & kerutan di sekitar mata
Mencerahkan kulit di sekitar mata
Menjaga elastisitas & kekencangan kulit
Melembabkan area di sekitar mata
2. Caffeine:
Merawat kekencangan kulit di sekitar mata
Mengurangi puffy eyes
3. Artichoke extract
Membantu mengurangi kantong mata
Mencerahkan mata panda
Menghaluskan kulit di sekitar mata

Jenis kulit: Semua jenis kulit

Cara Pemakaian
Tekan gel mata sampai seukuran kacang polong
Gunakan ujung keramik lalu balurkan gel dengan gerakan tekan-tekan secara perlahan mulai dari bagian dalam ke arah luar mata, bagian atas dan bawah
Gunakan pada pagi dan malam hari untuk hasil yang maksimal
Dapat digunakan sebelum makeup tanpa menyebabkan patchy!
Simpan di lemari es untuk mendapatkan sensasi dingin",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/4/24/0852ed08-3519-4016-a928-2ed2a96e2d74.jpg.webp?ect=4g,https://www.tokopedia.com/somethinc/somethinc-game-changer-tripeptide-eye-concentrate-gel?extParam=whid%3D6131772%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Krim Mata']",somethinc
"SOMETHINC [2 PCS] Copy Paste Coverblur Powder Foundation 12g | Two Way Cake + Checkmatte Transferproof Lipstick - C00 Cotton, Knight",Rp235.840,"SOMETHINC [2 PCS] Copy Paste Coverblur Powder Foundation 12g | Two Way Cake + Checkmatte Transferproof Lipstick

SOMETHINC Copy Paste COVERBLUR Powder Foundation 12g | Two Way Cake

COVERBLUR dalam 1x swipe. Seamless powder foundation yang tidak terdeteksi di kulit dengan formula zero-cakey, zero-cracky, zero-pores*. Medium-to-full coverage untuk menyamarkan ketidaksempurnaan kulit, tampilan pori & menghaluskan tekstur dengan soft-touch HD finish yang tahan hingga 24 JAM*.
Tersedia dalam 14 stay-true shades yang didesain untuk warna kulit Indonesia.

Cover & Blur, HD Seamless, undetectable flawless complexion*
Zero-cakey, zero-cracky, zero-pores*
Non-comedogenic & non-acnegenic certified
Medium to full coverage
Non-drying, sangat ringan & breathable
Puff dua sisi untuk mengontrol tingkat coverage
Cocok untuk semua jenis kulit

*Consumer test all skin type

Tips Untuk Penggunaan
1. Sebagai base makeup, dipakai langsung setelah pelembab/serum/sunscreen
2. ⁠Sebagai finishing powder, bisa dipakai setelah base complexion lainnya (foundation/cushion/skin tint/tinted sunscreen)
3. Sebagai setting powder untuk dipakai di under eye, fine lines & area lain yang rentan crack/pecah.
It’s buildable! You can layer it to get your desired look.

SOMETHINC Checkmatte Transferproof Lipstick

Checkmatte, like no other matte!

Formulasi transferproof dengan ColorGrip Technology yang menghasilkan pigmentasi tinggi & anti-geser, namun tetap nyaman hingga 16 jam. Di-desain untuk kulit Indonesia dengan 12 pilihan warna yang wearable setiap hari. Somethinc Checkmatte Transferproof Lipstick mampu blur garis & kerutan bibir, super ringan & tidak lengket di bibir. Feels like nothing, looks like everythinc!

LIPSTIK MATTE TRANSFERPROOF SUPER RINGAN

Smooth matte, like no other matte

ColorGrip Technology untuk jaga warna di bibir transferproof, namun tetap nyaman hingga 16 jam
Menyamarkan garis-garis & menghaluskan tekstur bibir
Tidak bikin kering, transferproof & smudgeproof
12 shades untuk kulit Indonesia

Cara Pemakaian:

Aplikasikan Checkmatte transferproof Lipstick langsung pada bibir dan biarkan kering selama 2 menit untuk mengatur warna secara optimal",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/10/2/d663f7f9-5a1f-48dc-99e3-e46c993ccedd.jpg.webp?ect=4g,https://www.tokopedia.com/somethinc/somethinc-2-pcs-copy-paste-coverblur-powder-foundation-12g-two-way-cake-checkmatte-transferproof-lipstick-c00-cotton-knight-30258?extParam=whid%3D6131772%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Make up Wajah', 'Bedak Wajah']",somethinc
SOMETHINC [2 PCS] Basic Skincare Kit,Rp361.680,"SOMETINC Daily Skin Kit (Low pH Cleanser 100 ml amp; Ceramic 50 ml) Isi Bundle - Low pH Gentle Jelly Cleanser 100 ml - Ceramic Skin Saviour Moisturizer Gel 50 ml SOMETHINC Ceramic Skin Saviour Moisturizer Gel Pelembab gel dengan 9 bahan Powerful Clean Supercharged yang terbukti secara klinis mampu menghidrasi, menyegarkan, serta memperkuat kulit. Diperkaya dengan Hydrolyzed Marine Collagen, yang merupakan Kolagen tipe #1 amp; menyerap 1,5x lebih cepat amp; lebih mudah dibandingkan jenis kolagen lainnya. Rasakan sensasi 24 jam kelembaban untuk dapatkan kembali kulit barrier yang sehat amp; awet muda. Cocok untuk semua jenis kulit. Ukuran: 50 ml No BPOM: NA18200108223 Low pH Gentle Jelly Cleanser Pembersih wajah vegan bertekstur jelly dengan kandungan gentle yang diformulasikan dengan Japanese Mugwort, Tea Tree, Centella, dan Peppermint serta teruji secara klinis dapat menyimbangkan pH kulit tanpa membuat kulit kering, tertarik amp; merusak barier kulit. Ukuran: 100 ml No BPOM: NA18211200050",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/9/14/774d53ea-e10d-4591-bd2d-648410a9ef1f.jpg.webp?ect=4g,https://www.tokopedia.com/somethinc/somethinc-2-pcs-basic-skincare-kit?extParam=src%3Dshop%26whid%3D6131772&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Paket Perawatan Wajah']",somethinc
