Title,Price,Description,Image URL,Link,Type,Brand
Scarlett Whitening Extrait De Parfum Banana Fusion 30ml,Rp60.900,"Scarlett Banana Fusion Extrait de Parfum 30ml

Perpaduan aroma Banana, Mandarin, dan Pineapple berpadu dengan jasmine, vanilla, dan musk, menciptakan manis dengan sentuhan fresh yang menghipnotis dan misterius. Sama seperti Banana Fusion, ini meningkatkan kehadiran Anda, membuat Anda terpesona dengan setiap langkah yang Anda ambil

Dengan wangi Floral, Musky, Vanilla yang menjadikan parfum ini mempunyai wangi yang mewah.

Cara Pemakaian:
Semprotkan parfum secukupnya pada area tubuh dan pakaian

BPOM NA18250600952",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/0ed2f531f17e4add8ff41fd3888471d1~.jpeg.webp?ect=4g,https://tk.tokopedia.com/ZSBthvFS4/,"['Home', 'Perawatan Tubuh', 'Parfum, Cologne, & Fragrance', 'Parfum & Cologne Unisex']",scarlett
Scarlett Whitening Body Serum Jolly + Body Cream Jolly Package Melembabkan dan Mencerahkan Tubuh Vitamin - Body Serum + Body Cream,Rp123.000,"Scarlett Whitening Body Serum Jolly
250ml

Mencerahkan, meratakan warna kulit dan mampu menyamarkan hiperpigmentasi
Merawat kekencangan kulit dan keremajaan kulit
BODY SERUM 3x Lebih Mencerahkan dengan bantuan dari Glutathione + Niacinamide + Glycolic Acid
___

Scarlett Whitening Body Cream Jolly
300ml

Memberikan kelembapan ekstra pada area kulit yang kering dan menghaluskan area kasar seperti siku, lutut, kaki, dan tangan
Merawat elastisitas kulit
4x Lebih Melembapkan dengan Bantuan dari Hyaluronic Acid + 5 Phyto Oil + Shea Butter + Aloe Vera Extract
___

Cara Pakai ;
Oleaskan body serum charming terlebih dahulu ke seluruh kulit bagian tangan dan kaki secara merata, kemudian pump body cream charming ke seluruh kulit bagian tangan dan kaki secara merata. Disarankan untuk menggunakan secara rutin agar mendapatkan hasil yang optimal",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/10b3332b56354a93a99589ed76c41051~.jpeg.webp?ect=4g,https://tk.tokopedia.com/ZSBtk2ua5/,"['Home', 'Perawatan Tubuh', 'Perawatan Kulit', 'Body butter']",scarlett
"Scarlett Whitening Acne Night Cream Untuk Kulit Berjerawat Mengobati Kulit Jerawat - putih, Tidak ada",Rp57.000,"Didalam Acne Night Cream terdapat kandungan CM Acnatu, Natural Squalane, Hexapeptide-8, Triceramide, Poreaway, Natural Vit-C dan Aqua Peptide Glow yang dimana bermanfaat sebagai :

1. Membantu sebagai anti bakteri dan anti inflamasi alami yang dapat membantu melawan bakteri penyebab jerawat.
2. Membantu mengurangi kemerahan dan bengkak.
3. Membantu menghilangkan garis halus juga mengencangkan kulit wajah.
4. Membantu memperbaiki tekstur bekas jerawat pada kulit wajah.
5. Membantu mengecilkan pori-pori pada kulit wajah.
6. Membantu memudarkan bekas-bekas jerawat pada kulit wajah.

Cara Pakai : Gunakan Acne Night Cream secara rutin saat maam hari sesudah membersihkan kulit wajah. Diamkan beberapa saat hingga Acne Night Cream meresap ke kulit.

Netto : 20gr
MAKSIMAL 5 PCS",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/e0bf401b2d9942bf888489230d3575fb~.jpeg.webp?ect=4g,https://tk.tokopedia.com/ZSBthvh34/,"['Home', 'Perawatan Tubuh', 'Perawatan Kulit', 'Penghilang Bekas Jerawat']",scarlett
Scarlett Whitening Eau De Parfum Bundle 30 ML Parfum Wangi Soft Tahan Lama Best Seller - Dreamy / Sweet Memories / Euphoria / Velvet Rouge / Biru Samudra / Banana Fusion / Caramel Latte / Garden of Whisper / Jolly / Wanita / Pria / Unisex - DELIGHT PACKAGE,Rp129.000,"Scarlett Whitening Eau De Parfum 30ml

Scarlett Whitening Eau De Parfum a Perfection untuk berikan kesegaran dan keharuman mewah dalam setiap semprotan dengan kemasan yang Ready To Go cocok untuk temani harimu, mudah dibawa kemana pun dan kapan pun tanpa takut pecah! dengan wangi yang mewah

Scarlett Whitening EDP Purple Kiss
Scarlett Whitening EDP Garden Of Whisper
Scarlett Whitening EDP Dreamy
Scarlett Whitening EDP Sweet Memories
Scarlett Whitening EDP Euphoria
Scarlett Whitening EDP Passionate
Scarlett Whitening EDP Wonderland
Scarlett Whitening EDP La Foret Fairy
Scarlett Whitening EDP Golden Elixir
Scarlett Whitening EDP Velvet Rouge
Scarlett Whitening EDP Biru Samudra
Scarlett Whitening EDP Kilau Samudra
Scarlett Whitening EDP Banana Fusion
Scarlett Whitening EDP Caramel Latte
Luxurious Scent with Affordable Price.

Semprotkan Scarlett Whitening Eau De Parfum di area titik nadi dan area leher agar wangi tahan lebih lama.",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/edd25fbf599d44ad9bac160c5fe94bf8~.jpeg.webp?ect=4g,https://tk.tokopedia.com/ZSBtkDVeK/,"['Home', 'Perawatan Tubuh', 'Parfum, Cologne, & Fragrance', 'Parfum & Cologne Wanita']",scarlett
Scarlett Whitening Eau De Parfum Sweet Memories 30ml Perfume Wangi,Rp59.900,"Scarlett Whitening Eau De Parfum Sweet Memories 30ml

Scarlett Whitening Eau De Parfum Sweet Memories Untuk berikan kesegaran dan keharuman mewah dalam setiap semprotan dengan kemasan yang Ready To Go cocok untuk temani harimu, mudah dibawa kemana pun dan kapan pun tanpa takut pecah! dengan wangi Amber Fougere yang menjadikan parfum ini mempunyai wangi yang mewah.

Luxurious Scent with Affordable Price.

Size - 30ml
Gender - Unisex | Woman
Top Notes - Egyptian Balsam, Grapefruit, Damask Rose
Middle Notes - Vanilla, Honeysuckle, Jasmine, Peach
Base Notes - Musky, Cashmeran, Amber

Semprotkan Scarlett Whitening Eau De Parfum Sweet Memories di area titik nadi dan area leher agar wangi tahan lebih lama.",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/854b0f9e4d814a9dbe129ac842fa9594~.jpeg.webp?ect=4g,https://tk.tokopedia.com/ZSBtkUqJ4/,"['Home', 'Perawatan Tubuh', 'Parfum, Cologne, & Fragrance', 'Parfum & Cologne Unisex']",scarlett
Scarlett Whitening Peeling Gel Peeling So Good + 7x Ceramide Moisturizer Acid Extract Exfoliating Wajah Mencerahkan [sensitive skin] - Peeling Gel + 7X Ceramide Moisturizer,Rp113.499,"Scarlett Whitening Peeling So Good

Hero Ingredients :

>> AHA + BHA + PHA

Mengangkat sel-sel kulit mati pada wajah
Menjadikan kulit tampak lembut, halus dan bercahaya
Mencerahkan dan meratakan warna kulit wajah
Menyamarkan noda hitam pada wajah
Menyamarkan tanda-tanda penuaan, seperti garis halus dan kerutan
Membantu melawan bakteri penyebab jerawat

>> Galactomyces Ferment Filtrate

Menyamarkan tampilan pori-pori pada wajah
Mencerahkan dan meratakan warna kulit wajah
Membantu memperlambat munculnya tanda-tanda penuaan
>> Centella Asiatica Extract

Menenangkan kulit yang teriritasi ringan
Menjaga kelembapan kulit wajah
Menjaga elastisitas kulit wajah
Membantu memperlambat tanda-tanda penuaan dini
>> Aloe Vera Extract

Membantu merawat elastisitas kulit wajah
Membantu menjaga kelebapan kulit wajah
Cara Pakai :

Aplikasikan Scarlett Peeling Gel secara merata pada wajah yang telah dibersihkan dan dikeringkan
Pijat dengan gerakan melingkar secara lembut hingga terbentuk bulir halus
Bilas dengan air bersih
Gunakan 1-2 kali dalam seminggu

Scarlett Whitening 7X Ceramide Moisturizer

Size: 20 Gram

Manfaat :
- Membantu menjaga kelembapan pada kulit
- Membantu merawat skin barrier
- Membantu merawat kulit agar tetap halus dan lembut
- Membantu mencerahkan kulit dan merawat warna kulit


Kandungan :
- 7X Ceramide
- 4D Hyaluronic Acid
- Acetyl Hexapeptide-8
- Camelia Leaf Extract


Cara Pakai :
1. Gunakan cream pada wajah yang bersih dan kering
2. Ambil cream secukupnya pada ujung jari
3. Pijat lembut sampai merata ke seluruh wajah


Digunakan secara rutin pagi dan malam hari",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/b9ad370a6d00455e96e8e660c3d4e416~.jpeg.webp?ect=4g,https://tk.tokopedia.com/ZSBtk5RyU/,"['Home', 'Kecantikan', 'Masker Kecantikan', 'Masker Wajah']",scarlett
Scarlett Whitening Peeling Gel Peeling So Good Perawatan Wajah Exfoliating [sensitive skin] Scrub Muka - Peeling So Good,Rp57.000,"Scarlett Whitening Peeling So Good

✨ Hero Ingredients :

>> AHA + BHA + PHA

Mengangkat sel-sel kulit mati pada wajah
Menjadikan kulit tampak lembut, halus dan bercahaya
Mencerahkan dan meratakan warna kulit wajah
Menyamarkan noda hitam pada wajah
Menyamarkan tanda-tanda penuaan, seperti garis halus dan kerutan
Membantu melawan bakteri penyebab jerawat

>> Galactomyces Ferment Filtrate

Menyamarkan tampilan pori-pori pada wajah
Mencerahkan dan meratakan warna kulit wajah
Membantu memperlambat munculnya tanda-tanda penuaan
>> Centella Asiatica Extract

Menenangkan kulit yang teriritasi ringan
Menjaga kelembapan kulit wajah
Menjaga elastisitas kulit wajah
Membantu memperlambat tanda-tanda penuaan dini
>> Aloe Vera Extract

Membantu merawat elastisitas kulit wajah
Membantu menjaga kelebapan kulit wajah
✨ Cara Pakai :

Aplikasikan Scarlett Peeling Gel secara merata pada wajah yang telah dibersihkan dan dikeringkan
Pijat dengan gerakan melingkar secara lembut hingga terbentuk bulir halus
Bilas dengan air bersih
Gunakan 1-2 kali dalam seminggu",https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/dfbd150016724c98ace556d5ac6fec19~.jpeg.webp?ect=4g,https://tk.tokopedia.com/ZSBtkfArK/,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Scrub Wajah']",scarlett
Scarlett Whitening Brightly Kit Package 3 Pcs Mencerahkan Wajah,Rp183.500,"Scarlett Whitening Brightly Kit Package terdiri dari
1) Scarlett Whitening Facial Wash
Kandungan :
Gluthatione
• Membantu mencerahkan kulit
Vitamin E
• Membantu menjaga kelembapan kulit
Rose Petal
• Membantu menyegarkan kulit wajah
Aloevera
• Membantu merawat kekencangan kulit
Cara Pemakaian :
• Tuangkan secukupnya facial wash ke telapak tangan
• Pijat pada area wajah dengan gerakan melingkar
• Bilas dengan air hingga bersih
• Digunakan secara rutin setiap hari pagi & malam
Manfaat :
• Membantu membersihkan kulit wajah
• Membantu menjaga kelembapan kulit dan elastisitas kulit wajah
• Membantu menyejukan kulit yan teriritasi ringan

2) Scarlett Whitening Essence Toner Brightly
Kandungan :
Gluthatione
• Membantu mencerahkan kulit
Vitamin C
• Membantu meratakan warna kulit
Witch Hazel Extract
• Membantu menyejukkan kulit yang teriritasi dan meringkas pori-pori
Jeju Propolis Extract
• Membantu merawat keremajaan kulit
• Merawat kulit agar tetap halus dan tidak kering
Allantoin
• Membantu melembapkan kulit dan membantu menyejukkan kulit yang
teriritasi ringan
Niacinamide
• Membantu mencerahkan kulit secara merata
Grape Water
• Membantu melembapkan dan menyejukkan kulit
Cara Pemakaian :
- aplikasikan essence toner ke telapak tangan
- tekan dengan lembut dan tepuk-tepuk perlahan ke kulit untuk penyerapan yang sempurna
Manfaat :
- membantu menghidrasi serta memberikan kesegaran pada kulit
- membantu mencerahkan kulit wajah

3) Scarlett Whitening Brightly Ever After Serum
Kandungan :
Glutathione
• Membantu mencerahkan kulit
Vitamin C
• Membantu meratakan warna kulit
Lavender Water
• Membantu mencerahkan kulit wajah
Niacinamide
• Membantu mencerahkan kulit secara merata",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/84c92bfb78ec4107a73309b8dc24d1d0~.jpeg.webp?ect=4g,https://tk.tokopedia.com/ZSBtkbPGa/,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Paket Perawatan Wajah']",scarlett
Scarlett Whitening Sunscreen Sun Bright Daily SPF 50 PA+++ Sunblock Wajah Facial,Rp75.000,"Notes : Setiap pembelian produk Scarlett minimal 5 item akan mendapatkan Box Exclusive yang dikirimkan secara random, sesuai persediaan yang masih ada.

Scarlett Whitening Sunscreen Sun Bright Daily SPF 50 PA+++

✨ Kandungan :
>> Bisabolol
>> Allantoin
>> Aloe Barbadensis Leaf Extract
>> Vitamin E
>> Phyto Whitening
>> Pro Vitamin B5
>> Glycine Soja Oil

✨ Manfaat :
>> Melindungi kulit dari efek buruk radiasi blue light
>> Melindungi kulit terhadap efek buruk sinar matahari ( sinar UVA & UVB )
>> Menjaga kelembapan kulit
>> Melindungi kulit dari penuaan dini yang disebabkan oleh efek buruk sinar matahari
>> Membantu mencerahkan kulit

✨ Cara Pakai :
>> Oleskan sunscreen pada wajah dan leher secukupnya sebelum melakukan aktivitas di pagi dan siang hari
>> Hindari penggunaan di area sekitar mata
>> Digunakan secara rutin setiap pagi dan siang hari",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/9c03a5b5a7c344c1bae1675b417ebb75~.jpeg.webp?ect=4g,https://tk.tokopedia.com/ZSBtkCN2L/,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Sunblock wajah']",scarlett
Scarlett Whitening - Phyto Biotics Renewing Moisturizer Pelembab Wajah Ceramide - All Skin Type,Rp57.000,"Moisturizer dengan tekstur yang ringan diperkaya dengan Lactobacillus Ferment, Hexapeptide-8, Cherry Blossom Extract, Seven Berry Extracts & Jeju Aloe Vera Extracts untuk membantu menjaga kesehatan microbiome kulit dan memberikan efek menenangkan, membuat kulit akan tampak lebih sehat dan cerah, serta mampu menyamarkan tampilan garis halus dan kerutan pada kulit.

Kandungan :
• Lactobacillus Ferment
Merawat elastisitas kulit
Menyamarkan garis halus pada kulit
Menghidrasi kulit dan membantu menyejukkan kulit teriritasi ringan

• Hexapeptide-8
Menyamarkan tampilan kerutan dan garis halus
Menjaga kelembapan kulit

• Cherry Blossom Extract
Melindungi kulit dari efek buruk radikal bebas
Mencegah terjadinya tanda-tanda penuaan

• Seven Berry Extracts
Membantu menghidrasi kulit dan merawat elastisitas kulit
Melindungi kulit dari efek buruk radikal bebas
Mencegah terjadinya tanda-tanda penuaan

• Jeju Aloe Vera Extracts
Merawat kulit jerawat dan menyejukkan kulit yang teriritasi ringan
Menyamarkan kerutan halus dan merawat elastisitas kulit
Menjaga kelembapan kulit",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/7b09abd1416b4a63adbdcde86a9ef19a~.jpeg.webp?ect=4g,https://tk.tokopedia.com/ZSBtkxgyc/,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Krim Wajah']",scarlett
