Title,Price,Description,Image URL,Link,Type,Brand
The Originote Hyalucera Gel Sunscreen SPF 40 PA+++ - Sunscreen Gel,Rp35.000,"The Originote Hyalucera Gel Sunscreen SPF 40 PA+++
Netto 30ml
Purchase Limit: 5

MANFAAT

Melindungi dari sinar matahari
Melembapkan dan menenangkan kulit wajah

CARA PENGGUNAAN

Oleskan secara merata di langkah terakhir dalam step skincare, sebelum makeup dan 15 menit sebelum terkena paparan sinar matahari. Oleskan kembali setidaknya setiap dua jam saat terkena paparan sinar matahari",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/e511f5795b9f4475839510d328a3cafa~.jpeg.webp?ect=4g,https://www.tokopedia.com/theoriginote/the-originote-hyalucera-gel-sunscreen-spf-40-pa-1729778470708938184?extParam=src%3Dshop%26whid%3D18663745&aff_unique_id=&channel=others&chain_key=,Home,the originote
The Originote Acne B5 Serum - treatment Serum membantu Memudarkan wajah berjerawat with Salicylic acid tamanu oil Tetes Ceramide - AcneB5 7611,Rp35.000,"[READY STOCK]
The Originote Acne B5 Serum
Netto 20ml
Purchase Limit: 5
Acne serum yang diformulasikan dengan salicylic acid, panthenol, dan Tamanu Oil untuk kulit berjerawat. The Originote Acne B5 Serum berfungsi untuk melawan bakteri penyebab jerawat dan merawat kulit berjerawat. Acne B5 Serum ini dapat dikombinasikan dengan serum Ceratides untuk wajah yang bebas jerawat serta skin barrier yang lebih kuat. 
MANFAAT

Merawat kulit berjerawat 
Melawan bakteri penyebab jerawat
CARA PENGGUNAAN
Setelah menggunakan toner, teteskan 2-3 tetes serum pada tangan lalu aplikasikan secara merata pada wajah dan leher yang sudah bersih, tepuk wajah secara lembut. Biarkan serum menyerap secara sempurna sebelum menggunakan produk skincare lainnya.
INGREDIENTS 
Water, butylene glycol, glycerin, panthenol, niacinamide, salicylic acid, 1,2-hexanediol, hydroxyacetophenone, propanediol, zinc pca, hydroxyethylcellulose, alcohol, allantoin, salix alba (willow) bark extract, peg-40 hydrogenated castor oil, sodium hyaluronate, dextrin, iris florentina root extract, stephania tetrandra extract, pelargonium graveolens oil, centella asiatica extract, zinc sulfate, retinyl palmitate, artemisia argyi leaf extract, calophyllum inophyllum seed oil, caprylhydroxamic acid, CI 74260",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/96c5abf9c5fe4c76a33c0a347d013c3f~.jpeg.webp?ect=4g,https://www.tokopedia.com/theoriginote/the-originote-acne-b5-serum-treatment-serum-membantu-memudarkan-wajah-berjerawat-with-salicylic-acid-tamanu-oil-tetes-ceramide-1729417210443237832?extParam=whid%3D18663745%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,Home,the originote
Bundle Make Up Essential - Hyalucera Moisturizer Gel + High Cover Serum Cushion + Micellar Water - High Cover Serum Cushion - Fair,Rp146.000,"[Ready stock]
Purchase Limit: 2
Bundle Perfect Complexion - Hyalucera Moisturizer Gel + High Cover Serum Cushion
 
Hyalucera Moisturizer Gel
Moisturizer yang dapat membantu merawat skin barrier, serta menjaga keremajaan kulit. Mengunci hidrasi pada kulit sehingga membuat kulit terasa kencang dan kekencangan kulit terjaga, mencegah tanda-tanda penuaan dini dengan menjaga kelembapan kulit.
Manfaat

Membantu merawat skin barrier
Mengunci hidrasi pada kulit
Merawat keremajaan kulit
Cara penggunaaan
Setelah membersihkan muka, menggunakan toner dan serum, ambil moisturizer secukupnya dan pijat perlahan ke seluruh muka secara merata, tepuk perlahan dan biarkan hingga meresap sempurna pada kulit.
 
High Cover Serum Cushion
The Originote High Cover Serum Cushion terdiri dari 12 shade yaitu:

Fair
Fair Beige
Light Warm
Light Beige
Light Neutral
Medium Warm
Medium Neutral
Tan Neutral
Tan Warm
Deep Warm
Deep Neutral
Cool Deep
Manfaat

Cushion dengan tekstur ringan dan full coverage, velvet to matte finish for all skin type.
Menyamarkan noda dengan finish yang natural
Melindungi dari sinar UV dengan SPF 35 PA++
Skincare-Infused cushion: Niacinamide, Vitamin C, Rose Extract
Cara pemakaian:
1. Buka penutup cushion
2. Ambil secukupnya dengan menekan spons pada bagian dalam
3. Tap dan aplikasikan ke area wajah
4. Tutup cushion apabila telah selesai digunakan, agar cushion tidak kering
 
The Originote Hyalurose Micellar Water
Micellar water dengan kekuatan pembersihan yang baik untuk menghilangkan make up dan membersihkan kulit. Diperkaya dengan Rosa Damascena Flower Water yang memiliki sensasi unik dan menyegarkan sehingga memberikan rasa nyaman saat digunakan.
 
Manfaat

Menghilangkan make up dan membersihkan kulit.
Melembapkan dan hidrasi pada kulit.
Menyegarkan kulit.
 
Cara Penggunaan
Basahi kapas dengan Hyalurose Micellar Water. Sapukan kapas dengan lembut ke seluruh wajah, mata, dan bibir, tahan selama beberapa detik di area dengan banyak riasan. Jangan menggosok terlalu keras, atau menarik, ulangi jika perlu. Dapat juga digunakan kapan saja di sela-sela pembersihan wajah. Tidak perlu dibilas. Simpan pada suhu ruang dibawah suhu 30° dan jauhkan dari paparan sinar matahari langsung.",https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/f25fb08faae847b88d94c9123dfdf737~.jpeg.webp?ect=4g,https://www.tokopedia.com/theoriginote/bundle-make-up-essential-hyalucera-moisturizer-gel-high-cover-serum-cushion-micellar-water-1729619627674404296?extParam=src%3Dshop%26whid%3D18663745&aff_unique_id=&channel=others&chain_key=,Home,the originote
The Originote Ceraluronic Essence Toner - Toner hydrating Melembabkan wajah dan penyegar kulit with ceramide hyaluronic acid - Ceraluronic Essence Toner,Rp33.000,"[READY STOCK]
The Originote Ceraluronic Essence Toner
Purchase Limit: 5
Essence Toner yang diformulasikan dengan Ceramide, Hyaluron dan Heartleaf yang dapat membantu dalam merawat skin barrier, sebagai penyegar kulit dan membantu menenangkan kulit yang teriritasi secara ringan. Membantu menyejukkan kulit dan menjaga hidrasi pada wajah. 
MANFAAT

Membantu merawat skin barrier 
Membantu menenangkan iritasi ringan pada kulit 
CARA PENGGUNAAN
Setelah mencuci muka, tuangkan Ceraluronic Essence Toner pada kapas secukupnya. Aplikasikan pada wajah dan leher secara merata hingga menyerap sebelum menggunakan produk skincare selanjutnya, disarankan produk yang menghidrasi.  
INGREDIENTS 
Water, butylene glycol, glycerin, glycereth-26, erythritol, 1,2-hexanediol, hydroxyacetophenone, acrylates/c10-30 alkyl acrylate crosspolymer, hydroxyethylcellulose, triethanolamine, disodium EDTA, peg-40 hydrogenated, castor oil, stephania tetrandra extract, sodium hyaluronate, beta-glucan, propylene glycol, bisabolol, houttuynia cordata extract, caprylic/capric triglyceride, hydrogenated lecithin, hexylene glycol, stearic acid, cholesterol, zingiber officinale (ginger) root extract, ceramide NP",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/ca093368c3de44549f42d54b3be65e35~.jpeg.webp?ect=4g,https://www.tokopedia.com/theoriginote/the-originote-ceraluronic-essence-toner-toner-hydrating-melembabkan-wajah-dan-penyegar-kulit-with-ceramide-hyaluronic-acid-1729444694675589576?extParam=src%3Dshop%26whid%3D18663745&aff_unique_id=&channel=others&chain_key=,Home,the originote
The Originote Bundle Hyalu-C Serum + Ceramella Sunscreen SPF 50 PA+++ membantu mencerahkan wajah with vitamin C hyaluronic acid - Hyalu-C+Sunscreen,Rp72.000," 
The Originote Ceramella Sunscreen SPF 50 PA+++
Netto 50gr
BPOM NA18221701412
The Originote Ceramella Sunscreen merupakan sunscreen hybrid (chemical dan physical) dengan SPF 50 PA+++ dengan kandungan 3 jenis Ceramide, Tremella dan Vitamin C yang berfungsi untuk melindungi kulit terhadap efek buruk dari sinar matahari, melindungi kulit dari penuaan dini yang disebabkan oleh efek buruk dari sinar matahari dan sekaligus mebantu merawat skin barrier. 
MANFAAT

Melindungi kulit dari kerusakan akibat sinar matahari
Merawat skin barrier
The Originote Hyalu-C Serum
Netto 20ml
BPOM NA18222000545
Serum yang di formulasikan dengan 3 jenis vitamin C, 5 jenis Hyaluronic Acid dan Flower Blend (Daisy, Marigold dan Sunflower) yang berfungsi sebagai antioksidan dan mencerahkan kulit yang kusam. Menjaga kelembapan wajah serta merawat keremajaan kulit. 
MANFAAT

Mencerahkan kulit wajah 
Sebagai antioksidan 
Merawat keremajaan kulit ",https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/b7f58f5e238a4f7db1396bcfb2b7367f~.jpeg.webp?ect=4g,https://www.tokopedia.com/theoriginote/the-originote-bundle-hyalu-c-serum-ceramella-sunscreen-spf-50-pa-membantu-mencerahkan-wajah-with-vitamin-c-hyaluronic-acid-1729614633926625736?extParam=src%3Dshop%26whid%3D18663745&aff_unique_id=&channel=others&chain_key=,Home,the originote
"Special Bundle 7in1 Sunscreen Gel The Originote 7pcs KIT: ACNE KIT, GLOWING KIT, BARRIER KIT, ANTI AGING KIT, EXFOLIATING KIT, BRIGHTENING KIT Hyalucera Moisturizer Wajah - ACNE KIT",Rp226.000,"Special Bundle 7in1 The Originote
Purchase Limit: 2

The Originote Hyalucera Moisturizer
Membantu menjaga dan memperbaiki skin barrier
Membantu Mengunci hidrasi pada kulit
Membantu Menenangkan dan meredakan kemerahan
Membantu Menjaga elastisitas kulit dan sebagai antioksidan

The Originote Bright B3 Serum
Membantu Mencerahkan dan meratakan warna kulit wajah
Membantu Melembutkan dan membuat kulit kenyal
Membantu Melembabkan kulit wajah
 

The Originote Acne B5 Serum
 
Membantu Mencegah dan mengobati jerawat
Membantu Mengecilkan pori-pori penyebab minyak berlebih
Membantu Mencerahkan dan memudarkan bekas jerawat
 

The Originote Ceratides Serum
 
Membantu Menjaga dan memperbaiki skin barrier
Membantu Mengunci hidrasi pada kulit
Membantu Menenangkan dan meredakan kemerahan
Membantu Melindungi wajah dari bahaya sinar matahari, polusi, dan radiasi

The Originote Peeling Solution
Membantu Mengeksfoliasi kulit dari lapisan luar dan dalam
Membantu Membantu menyembuhkan jerawat
Membantu Memperbaiki tekstur wajah yang tidak rata

The Originote Retinol B3 Serum
Membantu Menunda tanda-tanda penuaan
Membantu Menyamarkan garis-garis halus pada wajah
Membantu Meratakan warna wajah

The Originote Hyalu-C Serum
Membantu Mencerahkan kulit wajah
Sebagai antioksidan
Membantu Merawat keremajaan kulit",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/af8c9fbc255e4342800cd48d1109a324~.jpeg.webp?ect=4g,https://www.tokopedia.com/theoriginote/special-bundle-7in1-sunscreen-gel-the-originote-7pcs-kit-acne-kit-glowing-kit-barrier-kit-anti-aging-kit-exfoliating-kit-brightening-kit-hyalucera-moisturizer-wajah-1730324020429424072?extParam=src%3Dshop%26whid%3D18663745&aff_unique_id=&channel=others&chain_key=,Home,the originote
The Originote Eye Serum - Eye treatment Eye Cream untuk Mencerahkan dan mengencangkan Area Mata with Peptides licorice - eye serum 7617,Rp25.000,"[READY STOCK]
The Originote Eye Serum
Netto 15gr
Purchase Limit: 5
Serum mata yang diformulasikan dengan dua jenis Peptides, Caffeine, dan Licorice dapat membantu dalam merawat daerah sekitar mata dengan melembapkan daerah sekitar mata sehingga area mata terlihat lebih kencang dan terawat.  
MANFAAT

Mengencangkan area mata 
Melembapkan area mata
CARA PENGGUNAAN
Tuangkan eye serum pada ujung jari secukupnya, aplikasikan pada area bawah dan kelopak mata. Gunakan jari untuk memijat secara perlahan dan biarkan hingga meresap sempurna.
\",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/66869880e5404d5689b031527c9d8cc1~.jpeg.webp?ect=4g,https://www.tokopedia.com/theoriginote/the-originote-eye-serum-eye-treatment-eye-cream-untuk-mencerahkan-dan-mengencangkan-area-mata-with-peptides-licorice-1729425785714805192?extParam=src%3Dshop%26whid%3D18663745&aff_unique_id=&channel=others&chain_key=,Home,the originote
The Originote Cicamide Facial Cleanser - Facial cleansing untuk muka berjerawat membersihkan dan mencerahkan wajah with ceramide niacinamide - Cicamide Facial Cleanser,Rp33.000,"[READY STOCK]
The Originote Cicamide Facial Cleanser
Netto 70gr
Purchase Limit: 5
Pembersih wajah dengan kandungan Ceramide, Niacinamide dan Centella Asiatica yang berfungsi untuk membantu menjaga dan merawat kelembapan kulit wajah, mengangkat dan membersihkan minyak berlebih serta membantu mencegah timbulnya jerawat dengan kandungan ringan yang membantu merawat skin barrier wajah. 
MANFAAT

Membersihkan wajah dari debu, minyak dan sisa makeup 
Mencegah timbulnya jerawat 
Membantu merawat skin barrier 
CARA PENGGUNAAN
Basahkan wajah dan tuangkan secukupnya Cicamide Facial Cleanser pada ujung jari, pijatkan perlahan dan secara rata ke seluruh area wajah. Bilas dengan air atau dengan lap yang bertekstur halus. Untuk hasil yang lebih maksimal, gunakan Cicamide Facial Cleanser dua kali dalam sehari pada pagi dan malam hari.    
INGREDIENTS 
Water, cocamidopropyl betaine, peg-90 glyceryl isostearate, sodium laureth sulfate, glycerin, sodium chloride, sodium methyl cocoyl taurate, phenoxyethanol, laureth-2, methylparaben, niacinamide, butylene glycol, ethylhexylglycerin, propylene glycol, centella asiatica extract, caprylic/capric triglyceride, hydrogenated lecithin, hexylene glycol, stearic acid, cholesterol, ceramide NP",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/f8b1e81649c54aae919419429d76bb65~.jpeg.webp?ect=4g,https://www.tokopedia.com/theoriginote/the-originote-cicamide-facial-cleanser-facial-cleansing-untuk-muka-berjerawat-membersihkan-dan-mencerahkan-wajah-with-ceramide-niacinamide-1729444699821738440?extParam=src%3Dshop%26whid%3D18663745&aff_unique_id=&channel=others&chain_key=,Home,the originote
The Originote Cica-B5 Soothing Essence Toner - Toner wajah kering berjerawat perawatan muka - soothing toner,Rp35.000,"[READY STOCK]
The Originote Cica-B5 Soothing Essence Toner
Netto 80ml
Purchase Limit: 5

MANFAAT

Menenangkan kulit yang berjerawat, iritasi maupun sensitif 
Membantu menenangkan kemerahan pada wajah
Menyegarkan kulit dan menghilangkan minyak berlebih
Membantu mengenyalkan kulit dan menjaga keremajaan kulit
Boleh dikombinasikan dengan seluruh produk The Originote
CARA PENGGUNAAN
Setelah mencuci muka, tuangkan Cica-B5 Soothing Essence Toner ke kapas atau telapak tangan secukupnya. Aplikasikan pada wajah dan leher secara merata hingga menyerap sebelum menggunakan produk skincare selanjutnya.

INGREDIENTS
Water, butylene glycol, glycerin, 1,2-hexanediol, hydroxyacetophenone, panthenol, diglycerin, paeonia suffruticosa root bark extract, glycyrrhiza uralensis (licorice) root extract, portulaca oleracea flower/leaf/stem extract, paeonia lactiflora extract, allantoin, adenosine, tremella fuciformis polysaccharide, propylene glycol, PEG-40 hydrogenated castor oil, sodium hyaluronate, maltodextrin, phenoxyethanol, centella asiatica extract, caprylic/capric triglyceride, madecassoside, hydrogenated lecithin, ethylhexylglycerin, hexylene glycol, stearic acid, cholesterol, ceramide NP, asiaticoside, ceramide EOP, ceramide AS, ceramide AP, ceramide NG, bisabolol, caramel, zingiber officinale (ginger) root extract, CI 19140, CI 42090",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/1a6441268e284fd7b50861b26c08bd65~.jpeg.webp?ect=4g,https://www.tokopedia.com/theoriginote/the-originote-cica-b5-soothing-essence-toner-toner-wajah-kering-berjerawat-perawatan-muka-1729641873499982280?extParam=src%3Dshop%26whid%3D18663745&aff_unique_id=&channel=others&chain_key=,Home,the originote
The Originote Bundle 2pcs Hyalucera Moisturizer - pelembab wajah Memperbaiki Skin Barrier muka dan Menghidrasi Kulit wajah with hyaluronic Acid ceramide - Moisturizer 2pcs 7618-02,Rp76.000,"[READY STOCK]
The Originote Hyalucera Moisturizer
Hyaluron + Ceramide + with Chlorelina
Netto 50ml
Purchase Limit: 2
 
Moisturizer yang diformulasikan dengan 2 jenis Hyaluron, Ceramide dan Chlorelina yang dapat membantu merawat skin barrier, serta menjaga keremajaan kulit. Mengunci hidrasi pada kulit sehingga membuat kulit terasa kencang dan kekencangan kulit terjaga, mencegah tanda-tanda penuaan dini dengan menjaga kelembapan kulit. 
MANFAAT

Membantu merawat skin barrier
Mengunci hidrasi pada kulit
Merawat keremajaan kulit  
CARA PENGGUNAAN
Setelah membersihkan muka, menggunakan toner dan serum, ambil moisturizer secukupnya dan pijat perlahan ke seluruh muka secara merata, tepuk perlahan dan biarkan hingga meresap sempurna pada kulit. 
INGREDIENTS 
Water, glycerin, butylene glycol, glycereth-26, 1,2-hexanediol, hydroxyacetophenone, acrylates/c10-30 alkyl acrylate crosspolymer, panthenol, hydroxyethylpiperazine ethane sulfonic acid, diglycerin, propylene glycol, triethanolamine, methylpropanediol, sodium hyaluronate, allantoin, glucose, sophora angustifolia root extract, stephania tetrandra extract, hydrolyzed hyaluronic acid, cnidium monnieri fruit extract, glycyrrhiza uralensis (licorice) root extract, phellodendron amurense bark extract, phenoxyethanol, caprylic/capric triglyceride, chlorella vulgaris extract, spirulina platensis extract, hydrogenated lecithin, chlorphenesin, hexylene glycol, stearic acid, cholesterol, ceramide NP",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/7b65ae07aeff4275b128bd8e2b1608db~.jpeg.webp?ect=4g,https://www.tokopedia.com/theoriginote/the-originote-bundle-2pcs-hyalucera-moisturizer-pelembab-wajah-memperbaiki-skin-barrier-muka-dan-menghidrasi-kulit-wajah-with-hyaluronic-acid-ceramide-1729431216840083912?extParam=src%3Dshop%26whid%3D18663745&aff_unique_id=&channel=others&chain_key=,Home,the originote
