Title,Price,Description,Image URL,Link,Type,Brand
WARDAH Paket Komplit Micellar Water 100 ml + Gel Cleanser - Untuk Kulit Wajah yang Lebih Bersih - Skincare - Acne Fighter,Rp106.150,"Paket ini terdiri dari :
Acne Fighter: Acnederm Acne Care Micellar Water + Acnederm Foaming Cleanser + UV Shield Airy Smooth Sunscreen Serum SPF 50 PA++++

Wardah Acnederm Acne Care Micellar Water, pembersih tanpa bilas dengan 3 Powerful Actions, membersihkan kotoran, minyak berlebih, dan sisa makeup, menenangkan kulit kemerahan, dan menjaga skin barrier.



Wardah Acnederm Foaming Cleanser, pembersih wajah tepat yang diformulasikan untuk bantu atasi masalah kulit berjerawat, mampu membersihkan debu, kotoran, dan minyak berlebih di wajah.



Wardah UV Shield Airy Smooth Sunscreen Serum SPF 50 PA++++ adalah sunscreen dengan hasil akhir powdery smooth matte, mudah meresap, nyaman dan ringan digunakan.



Rekomendasi pencarian produk / Product Keywords:

Wardah, Micellar, Face Wash, Pembersih Wajah, Sunscreen",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/56e11d0d8c9145f795c1bd8e198c78ef~.jpeg.webp?ect=4g,https://www.tokopedia.com/wardah-official/wardah-paket-komplit-micellar-water-100-ml-gel-cleanser-untuk-kulit-wajah-yang-lebih-bersih-skincare-1730195838089004951?extParam=whid%3D97508%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Paket Perawatan Wajah']",wardah
"[Gift Not For Sale] MICRO TWO WAY CARRY, tas multifungsi",Rp999.999,"Dapatkan Gift MICRO TWO WAY CARRY

Nikmati kesempatan untuk mendapatkan MICRO TWO WAY CARRY eksklusif dengan mengikuti mekanisme tertentu. Harap diperhatikan bahwa MICRO TWO WAY CARRY ini tidak tersedia untuk di-checkout secara langsung.


Jika kamu menerima pesanan yang tidak sesuai, pastikan untuk merekam video unboxing sebagai bukti komplain. Video ini akan membantu kami menangani masalah ketidaksesuaian dengan cepat dan efisien.",https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/2e280fa1127d4fdbb4f37d35c9b0f0d4~.jpeg.webp?ect=4g,https://www.tokopedia.com/wardah-official/gift-not-for-sale-micro-two-way-carry-tas-multifungsi-1731645394285266839?extParam=src%3Dshop%26whid%3D97508&aff_unique_id=&channel=others&chain_key=,"['Home', 'Perlengkapan Pesta', 'Hadiah', 'Miniatur & Karikatur']",wardah
[BUNDLE] WARDAH Paket Lightening Powder Foundation Light Feel + Matte Lip Cream - Makeup - 11C + MLC 20,Rp106.590,"Bundle ini terdiri dari :

Wardah Lightening Powder Foundation Light Feel dan Wardah Exclusive Matte Lip Cream





KINI HADIR!



The New Wardah Powder Foundation Light Feel



Makeup dengan kandungan Skincare yang dapat dipakai untuk segala aktivitas harianmu! Mampu memberi medium-buildable coverage yang instan dalam satu kali usap dengan tekstur ekstra ringan yang merata sempurna pada kulit tanpa terlihat dempul. Diformulasikan dengan teknologi Airy-Coated Particle™ infused with Advanced Niacinamide dan proteksi ekstra dari SPF 40 PA ++++ & Blue Light Protection yang menjaga kulit dari Sinar UV dan Blue Lights yang dapat membuat kulit kusam sehingga menghasilkan tampilan yang Flawless dan Fresh sepanjang hari!



Kata Kunci : Powder Foundation, Two Way Cake, Lip Cream",https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/34e38a27b9854005bf4610be1fe1c72c~.jpeg.webp?ect=4g,https://www.tokopedia.com/wardah-official/wardah-lightening-powder-foundation-light-feel-matte-lip-cream-11c-mlc-20-e6810?extParam=src%3Dshop%26whid%3D97508&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Make up Wajah', 'Bedak Wajah']",wardah
"WARDAH Lightening 5% Niacinamide Serum Ampoule - Dengan 10X Advanced Niacinamide + Bisabolol dan 0% Alkohol - Mencerahkan Kulit Kusam, Bekas Jerawat, Belang Tidak Merata, Mencegah Hiperpigmentasi - Bright, Glow, White - Semua Jenis Kulit - Symradiance",Rp88.900,"Wardah Lightening Serum Ampoule, Serum dengan 10X Advanced Niacinamide untuk cerahkan wajah 10x lebih kuat, menyamarkan bekas jerawat, dan melindungi dari paparan blue light.



Manfaat:

- 0% alkohol

- Mencerahkan dengan proses natural

- Menyamarkan bekas jerawat

- Meratakan warna kulit

- Meningkatkan kelembaban kulit

- Meningkatkan elastisitas kulit

- Mengurangi sebum


Jenis Kulit: Semua Jenis Kulit


Cara Pemakaian :

Oleskan lembut pada kulit yang telah dibersihkan, pagi dan malam hari sebelum menggunakan pelembab.


Penggunaan Rangkaian Produk Wardah Lightening Series Secara Lengkap Dan Rutin Akan memberikan Hasil Yang Lebih Optimal.

Langkah Pemakaian Pagi Hari:

1. Micellar Gentle Wash (Untuk Kulit Normal-Kering)/ Lightening Whip Facial Foam (Untuk Kulit Normal-Berminyak)

2. Face Toner

3. Serum Ampoule

4. Day Cream (Untuk Kulit Normal-Kering)/ Lightening Day Gel (Untuk Kulit Normal-Berminyak)

5. Bb Cream

6. Face Mist

7. Blue Clay Mask (1 Minggu Sekali)


Langkah Pemakaian Malam Hari:

1. Cleansing Milk (Untuk Sehari-Hari) / Lightening Cleansing Milk (Untuk Make Up)

2. Micellar Gentle Wash (Untuk Kulit Normal-Kering)/ Lightening Whip Facial Foam (Untuk Kulit Normal-Berminyak)

3. Gentle Exfoliator (2 Hari Sekali)

4. Face Toner

5. Serum Ampoule

6. Essence Sheet Mask

7. Night Cream


Ingredients:

Aqua, Butylene Glycol, Niacinamide, Cyclopentasiloxane, Glycerin, Biosaccharide Gum-1, Ammonium Acryloyldimethyltaurate/VP Copolymer, Phenoxyethanol, Bisabolol, Dimethicone, Chlorphenesin, Polyglyceryl-3 Methylglucose Distearate, Polysorbate 20, Disodium EDTA



Wardah, Symradiance, Symrad, Niacinamide, Mencerahkan, Meratakan warna kulit, Skin Barrier, Barrier Boost, Pelembab, Moisture Gel, Moisturizer, UV Shield, Sunscreen, Lightening, Facial Foam, Sabun Cuci Muka, #WardahSymradiance #BarrierandRepair #MencerahkanKulit",https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/0bf08d1ef45543c0b28e11371285b1cc~.jpeg.webp?ect=4g,https://www.tokopedia.com/wardah-official/wardah-lightening-5-niacinamide-serum-ampoule-dengan-10x-advanced-niacinamide-bisabolol-dan-0-alkohol-mencerahkan-kulit-kusam-bekas-jerawat-belang-tidak-merata-mencegah-hiperpigmentasi-bright-glow-white-semua-jenis-kulit-1731257170198366103?extParam=src%3Dshop%26whid%3D97508&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Serum Wajah']",wardah
[Gift Not For Sale] 2025 Wardah Tumblr Festive Deep Teal,Rp999.999,"Dapatkan Gift Wardah Tumblr Festive Deep Teal

Nikmati kesempatan untuk mendapatkan Wardah Tumblr Festive Deep Teal eksklusif dengan mengikuti mekanisme tertentu. Harap diperhatikan bahwa Wardah Tumblr Festive Deep Teal ini tidak tersedia untuk di-checkout secara langsung.

Jika kamu menerima pesanan yang tidak sesuai, pastikan untuk merekam video unboxing sebagai bukti komplain. Video ini akan membantu kami menangani masalah ketidaksesuaian dengan cepat dan efisien.",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/945d34245f664053a5bfee48ac2f590d~.jpeg.webp?ect=4g,https://www.tokopedia.com/wardah-official/gift-not-for-sale-2025-wardah-tumblr-festive-deep-teal-1731066716919924693?extParam=src%3Dshop%26whid%3D97508&aff_unique_id=&channel=others&chain_key=,"['Home', 'Buku', 'Buku Kewanitaan', 'Buku Kecantikan']",wardah
"WARDAH EyeXpert Eyeshadow - 3 Warna Intense Yang Tahan Lama - Makeup - Passionatte, Eyeshadow",Rp48.825,"Sapuan pigmen halus untuk memberikan kesan warna natural bagi kelopak mata. Memberikan aksen bagi bentuk terbaik dari keindahan tersembunyi dari matamu. Tersedia dalam 2 kombinasi warna untuk tunjukkan kecantikan natural matamu.
- Nyaman dan lembut saat diaplikasikan
How to Use :
1. Aplikasikan produk pada kelopak mata dengan menggunakan tap brush.
2. Ratakan produk dengan menggunakan blendable brush.",https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/3ed02df193e149f583bf28f798160bf1~.jpeg.webp?ect=4g,https://www.tokopedia.com/wardah-official/wardah-eyexpert-eyeshadow-3-warna-intense-yang-tahan-lama-makeup-1729588511129832343?extParam=src%3Dshop%26whid%3D97508&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Make up Mata', 'Eyeshadow']",wardah
[Gift Not For Sale] Wardah Eyexpert Sharperner,Rp999.999,"Dapatkan Gift Wardah Eyexpert Sharperner


Nikmati kesempatan untuk mendapatkan Wardah Eyexpert Sharperner eksklusif dengan mengikuti mekanisme tertentu. Harap diperhatikan bahwa Wardah Eyexpert Sharperner ini tidak tersedia untuk di-checkout secara langsung.


Jika kamu menerima pesanan yang tidak sesuai, pastikan untuk merekam video unboxing sebagai bukti komplain. Video ini akan membantu kami menangani masalah ketidaksesuaian dengan cepat dan efisien.",https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/6809b772431b4fcfb1604687854af178~.jpeg.webp?ect=4g,https://www.tokopedia.com/wardah-official/gift-not-for-sale-wardah-eyexpert-sharperner-1731229983661066135?extParam=src%3Dshop%26whid%3D97508&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Eyebrow Kit', 'Pensil Alis']",wardah
[Gift Not For Sale] Wardah UV Shield Aqua Fresh Sunscreen Serum SPF 50 PA++++ 30 ml,Rp999.999,"Dapatkan Gift Wardah UV Shield Aqua Fresh Sunscreen Serum SPF 50 PA++++ 30 ml


Nikmati kesempatan untuk mendapatkan Wardah UV Shield Aqua Fresh Sunscreen Serum SPF 50 PA++++ 30 ml eksklusif dengan mengikuti mekanisme tertentu. Harap diperhatikan bahwa Wardah UV Shield Aqua Fresh Sunscreen Serum SPF 50 PA++++ 30 ml ini tidak tersedia untuk di-checkout secara langsung.


Jika kamu menerima pesanan yang tidak sesuai, pastikan untuk merekam video unboxing sebagai bukti komplain. Video ini akan membantu kami menangani masalah ketidaksesuaian dengan cepat dan efisien.",https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/653142af92e947bf9acbc7941c975973~.jpeg.webp?ect=4g,https://www.tokopedia.com/wardah-official/gift-not-for-sale-wardah-uv-shield-aqua-fresh-sunscreen-serum-spf-50-pa-30-ml-1730859890435327957?extParam=whid%3D97508%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Sunblock wajah']",wardah
"NEW! WARDAH Colorfit 5D Blur Cloud Cushion Matte Finish Tahan Lama Hingga 18 Jam - SPF 50 PA+, Nano-Hyaluron, dan CICA | Menyamarkan Pori dan Tekstur Wajah | Menyatu Dengan Warna Kulit Seharian | Non-Comedogenic dan Non-Acnegenic - High Coverage - Makeup - 21C Shell",Rp127.000,"NEW! Wardah Colorfit 5D Blur Cloud Cushion

More than just coverage, it’s 5D Seamless Blurred Skin, Auto-Fit, and Lightweight for your skin!

Wardah Colorfit 5D Blur Cloud Cushion adalah cushion dengan tampilan soft-matte yang diformulasikan

dengan 5D Pore-Blurring Powder untuk menyamarkan tampilan pori-pori dan tekstur wajah, serta

nano-Hyaluron + CICA yang menyerap ke dalam kulit untuk menjaga kelembapan dan kenyamanan.

Memberikan coverage yang tinggi, namun tetap terasa nyaman dan ringan di wajah yang tahan hingga

18 jam. Cocok digunakan untuk kulit normal to oily.

Dilengkapi dengan teknologi COLORFIT untuk warna yang menyatu dengan kulit seharian.

Hadir dalam 8 warna yang sudah dikurasi berdasarkan studi pada warna kulit wanita Indonesia.

READY STOCK:
1. Wardah Colorfit 5D Blur Cloud Cushion 21C Shell 15 g - Light skin tone with Cool undertone.
2. Wardah Colorfit 5D Blur Cloud Cushion 22N Light Ivory 15 g - Light skin tone with Neutral undertone.
3. Wardah Colorfit 5D Blur Cloud Cushion 23W Warm Ivory 15 g - Light skin tone with Warm Golden undertone.
4. Wardah Colorfit 5D Blur Cloud Cushion 32N Neutral Beige 15 g - Light Medium skin tone with Neutral undertone.
5. Wardah Colorfit 5D Blur Cloud Cushion 31W Crème Beige 15 g - Light Medium skin tone with Warm to Olive undertone.
6. Wardah Colorfit 5D Blur Cloud Cushion 33W Olive Beige 15 g - Light Medium skin tone with Olive undertone.
7. Wardah Colorfit 5D Blur Cloud Cushion 21W Linen 15 g - Light skin tone with Warm undertone.
8. Wardah Colorfit 5D Blur Cloud Cushion 42N Neutral Sand 15 g - Medium Tan skin tone with Neutral undertone.

Keunggulan

- Seamless, Pore-Blurred Skin

- High Cover with Cotton-Light Layer

- Long-lasting up to 18 Hours

- Cloud-Matte Finish with Adv. Hydration

- Mengandung nano-Hyaluron dan CICA

- SPF 50 PA++++

- Halal

- Vegan

- Cruelty Free

- Dermatology Tested

- Non-Comedogenic

- Non-Acnegenic",https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/27dea95584ae4c24b602f28cad715372~.jpeg.webp?ect=4g,https://www.tokopedia.com/wardah-official/new-wardah-colorfit-5d-blur-cloud-cushion-matte-finish-tahan-lama-hingga-18-jam-spf-50-pa-nano-hyaluron-dan-cica-menyamarkan-pori-dan-tekstur-wajah-menyatu-dengan-warna-kulit-seharian-non-comedogenic-dan-non-acnegenic-high-coverage-makeup-1730605673450014615?extParam=src%3Dshop%26whid%3D97508&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Make up Wajah', 'Bedak Wajah']",wardah
[GIFT NOT FOR SALE] SEGITIGA MINI POUCH BIRU,Rp999.999,"Dapatkan Gift SEGITIGA MINI POUCH BIRU



Nikmati kesempatan untuk mendapatkan SEGITIGA MINI POUCH BIRU eksklusif dengan mengikuti mekanisme tertentu. Harap diperhatikan bahwa SEGITIGA MINI POUCH BIRU ini tidak tersedia untuk di-checkout secara langsung.



Jika kamu menerima pesanan yang tidak sesuai, pastikan untuk merekam video unboxing sebagai bukti komplain. Video ini akan membantu kami menangani masalah ketidaksesuaian dengan cepat dan efisien.",https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/fc7b4f51d84f486295c0cf68a10eb2a1~.jpeg.webp?ect=4g,https://www.tokopedia.com/wardah-official/gift-not-for-sale-segitiga-mini-pouch-biru-1730880932414982101?extParam=src%3Dshop%26whid%3D97508&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Make up Tools', 'Tas Kosmetik']",wardah
