Title,Price,Description,Image URL,Link,Type,Brand
[FLASHSALE] [NEW FORMULA] WHITELAB N-DOSE+ 2.0 INTENSIVE BRIGHTENING FACIAL WASH - SABUN PEMBERSIH MUKA PENCERAH DENGAN AMINO CLEANSER GENTLE ANTI IRITASI [BPOM] | Membersihkan kulit Wajah secara gentle & membantu Mencerahkan kulit | Cleansing - Facial Wash New Packaging,Rp76.000,"Whitelab N-Dose+ Intensive Brightening Facial Wash

Facial wash NON-SLS yang diformulasikan khusus dengan Amino Acid Cleanser yang efektif membersihkan kulit wajah secara gentle, Niacinamide yang dapat membantu mencerahkan kulit, dan OXY229 kombinasi asam amino dan postbiotics bekerja sinergis membantu proses pengangkatan sel kulit mati sekaligus memberi nutrisi pada kulit wajah.


Powerful Ingredients:
- Amino Cleanser: sebagai gentle surfactant untuk membersihkan kulit secara menyeluruh yang cocok untuk kulit sensitif
- Oxy229: Oxy229: Meningkatkan kemampuan sel kulit untuk meningkatkan supply oksigen sehingga menghasilkan energi untuk tampilan kulit lebih sehat, cerah, dan glowing
- Hyalucomplex-10: Kombinasi 10 molekul Hyaluron yang dapat meningkatkan dan mempertahankan level hidrasi pada lapisan kulit yang berbeda.

Benefits:
- Membersihkan kulit wajah secara gentle
- Membantu mencerahkan kulit
- Membantu proses pengangkatan sel kulit mati

Cara Pakai:
Basahi wajah, busakan facial wash pada tangan, pijat lembut pada wajah, dan bilas hingga bersih

Dermatologically Tested.
Dapat digunakan untuk semua jenis kulit.
Boleh dipakai dari umur 12 tahun keatas.
Bisa digunakan oleh ibu hamil & menyusui.

Isi: 100gr
BPOM :
BARCODE:",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/296962b1b87e4b9d977e670ddec7d05b~.jpeg.webp?ect=4g,https://www.tokopedia.com/whitelab/flashsale-new-formula-whitelab-n-dose-2-0-intensive-brightening-facial-wash-sabun-pembersih-muka-pencerah-dengan-amino-cleanser-gentle-anti-iritasi-bpom-membersihkan-kulit-wajah-secara-gentle-membantu-mencerahkan-kulit-cleansing-1729589041574217360?extParam=src%3Dshop%26whid%3D8408040&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Cleanser Wajah']",whitelab
[FLASHSALE] Whitelab Bakuchiol Treatment Serum - Atasi Jerawat Dan Bruntusan Alternatif Retinol Dengan Bakuchiol & Hyaglutamic [BPOM] Perawatan Muka,Rp192.000,"Whitelab Bakuchiol Treatment Serum

Powerful Ingredients:
- Bakuchiol 1%: sebagai alternatif Retinol yang dapat meremajakan kulit dan menyamarkan tanda penuaan
- Willow Bark Extract: membersihkan pori dari komedo & sebum berlebih pemicu timbulnya jerawat
- Hyaglutamic 10000 : kombinasi inovasi gabungan Hyaluron dan Polyglutamic Acid 10000 ppm yang dapat meningkatkan kelembapan kulit, serta merawat kekencangan dan kekenyalan kulit.

Benefits:
- Merawat tekstur serta mempertahankan elastisitas kulit
- Merawat kulit berjerawat, bruntusan & berminyak
- Menyamarkan garis halus, kerutan & bekas jerawat
- Membantu melembapkan & menghidrasi kulit

Cara pakai:
Tuangkan 2-4 tetes serum dan oleskan ke kulit wajah secara merata. Gunakan pada pagi dan malam hari.

Dermatologically Tested.
Dapat digunakan untuk semua jenis kulit.
Boleh dipakai dari umur 12 tahun keatas.
Bisa digunakan oleh ibu hamil & menyusui.

Isi: 20 ml
BPOM : NA18242000741
HALAL Certified",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/eaf9e18590ef4074840f45f98d84b705~.jpeg.webp?ect=4g,https://www.tokopedia.com/whitelab/flashsale-whitelab-bakuchiol-treatment-serum-atasi-jerawat-dan-bruntusan-alternatif-retinol-dengan-bakuchiol-hyaglutamic-bpom-perawatan-muka-1730496842904209040?extParam=src%3Dshop%26whid%3D8408040&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Serum Wajah']",whitelab
"Whitelab 4pcs Paket Acne Tanpa Acne Cream - Cleanser, Toner, Serum, Moisturizer Paket Skincare Treatment Perawatan Wajah Berjerawat - Acne Care Facial Wash",Rp219.000,"Whitelab Paket Wajah - Acne

Isi:
1. Whitelab Acne Facial Wash
2. Whitelab Acne Toner
3. Whitelab Acne Serum
4. Whitelab Acne Moisturizer

Powerful Ingredients:
- Mugwort 5%: kandungan yang sangat populer di Korea yang kaya akan antioksidan dan bermanfaat untuk menenangkan kulit yang kemerahan / iritasi, mengontrol produksi minyak berlebih, melembapkan kulit, serta membantu merawat kulit yang berjerawat
- BHA: merawat kulit berjerawat dan membantu melawan bakteri penyebab jerawat
- Tea Tree: membantu mengurangi jerawat dan minyak berlebih pada kulit

Benefits:
- Merawat kulit berjerawat & melawan bakteri penyebab jerawat
- Menenangkan kulit kemerahan karena iritasi dan jerawat
- Membantu mengurangi minyak berlebih pada wajah
- Merawat kelembapan dan kehalusan kulit

Cara pakai:
1. Cuci muka dengan Whitelab Acne Care Facial Wash dan bilas hingga bersih
2. Aplikasikan Whitelab Acne Toner menggunakan telapak tangan / kapas
3. Aplikasikan 2 - 4 tetes Whitelab Acne Calming Serum dan oleskan ke kulit wajah secara merata
4. Aplikasikan Acne Moisturizer pada pagi & malam hari

Dermatologically Tested.
HALAL Certified
Dapat digunakan untuk semua jenis kulit.
Ibu hamil & ibu menyusui harap dikonsultasikan terlebih dahulu khusus untuk Acne Serum & Acne Moisturizer",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/08bbeef364b3460bb70f42479c313b35~.jpeg.webp?ect=4g,https://www.tokopedia.com/whitelab/whitelab-4pcs-paket-acne-tanpa-acne-cream-cleanser-toner-serum-moisturizer-paket-skincare-treatment-perawatan-wajah-berjerawat-1729625132373214864?extParam=src%3Dshop%26whid%3D8408040&aff_unique_id=&channel=others&chain_key=,"['Home', 'Perawatan Tubuh', 'Perawatan Kulit', 'Penghilang Bekas Jerawat']",whitelab
[NEW FORMULA] WHITELAB N-DOSE+ 2.0 INTENSIVE BRIGHTENING ESSENCE TONER - TONER PENCERAH WAJAH ANTI KUSAM & MELEMBAPKAN DENGAN AHA [BPOM] - Brightening Toner,Rp39.400,"Whitelab N-Dose+ Intense Brightening Essence Toner

Toner untuk membantu mengembalikan kesegaran dan kelembapan dan ph kulit alami, mengeskfoliasi secara gentle, merawat kelembapan, dan kehalusan kulit wajah, sekaligus menutrisi kulit wajah sehingga kulit tampak cerah dan sehat.

Powerful Ingredients:
- Niacinamide 99.9% (Highest Grade): menggunakan Niacinamide dengan grade terbaik yang memiliki kemurnian tinggi sehingga dapat bekerja lebih efektif untuk mencerahkan kulit, merawat skin barrier, dan membantu mengurangi minyak berlebih pada wajah
- Oxy229: Meningkatkan kemampuan sel kulit untuk meningkatkan supply oksigen sehingga menghasilkan energi untuk tampilan kulit lebih sehat, cerah, dan glowing
- AHA: Membantu mengangkat sel kulit mati, mencerahkan, dan memudarkan hiperpigmentasi kulit

Benefits:
- Membersihkan sisa debu dan kotoran
- Menutrisi kulit wajah sehingga kulit wajah tampak cerah dan sehat
- Merawat kelembapan & kehalusan kulit wajah.

Cara Pakai:
Tuangkan toner secukupnya ke telapak tangan / kapas, usap lembut ke seluruh permukaan wajah dan leher yang telah dibersihkan.

Dermatologist Tested
Dapat digunakan untuk semua jenis kulit.
Boleh dipakai dari umur 12 tahun keatas.
Bisa digunakan oleh ibu hamil & menyusui.

Isi 100 ml
BPOM:
BARCODE:",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/e9542334fc204cd5892ace1403c78b99~.jpeg.webp?ect=4g,https://www.tokopedia.com/whitelab/new-formula-whitelab-n-dose-2-0-intensive-brightening-essence-toner-toner-pencerah-wajah-anti-kusam-melembapkan-dengan-aha-bpom-1729383096569005712?extParam=src%3Dshop%26whid%3D8408040&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Toner Wajah']",whitelab
[SPECIAL LUNACOSMETICSIND] - Whitelab [UPGRADE] N10-Dose+ 2.0 Brightening Serum Niacinamide 10% - Mencerahkan - Upgraded Formula,Rp75.800,"Whitelab N10-Dose+ Brightening Serum - Niacinamide 10%

Powerful Ingredients:
- Niacinamide 10% (Highest Grade): menggunakan Niacinamide dengan grade terbaik yang memiliki kemurnian tinggi sehingga dapat bekerja lebih efektif untuk mencerahkan kulit, membuat pori-pori tampak lebih kecil, dan sebagai oil control
- Oxy229: Meningkatkan kemampuan sel kulit untuk meningkatkan supply oksigen untuk tampilan kulit lebih sehat, cerah, dan glowing
- HyaluComplex-10: kombinasi dari 10 jenis molekul Hyaluron “low to middle weight molecule” yang dapat meningkatkan dan mempertahankan level hidrasi pada lapisan kulit yang berbeda sehingga dapat menjaga kelembapan wajah sepanjang hari

Benefits:
'- Mencerahkan kulit & menyamarkan noda hitam secara maksimal
- Membuat pori-pori tampak lebih kecil & oil control
- Melembapkan & merawat kehalusan kulit

Cara pakai:
Tuangkan 2-4 tetes serum dan oleskan ke kulit wajah secara merata. Gunakan pada pagi dan malam hari.

Dermatologically Tested.
Dapat digunakan untuk semua jenis kulit.
Boleh dipakai dari umur 12 tahun keatas.
Bisa digunakan oleh ibu hamil & menyusui.

Isi : 20 ml
BPOM: NA18241902430
HALAL Certified",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/fba733a5c0ed4dfdb2c02a43bd593b58~.jpeg.webp?ect=4g,https://www.tokopedia.com/whitelab/special-lunacosmeticsind-whitelab-upgrade-n10-dose-2-0-brightening-serum-niacinamide-10-mencerahkan-1729701078057715344?extParam=src%3Dshop%26whid%3D8408040&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Serum Wajah']",whitelab
"Whitelab Gentle Peeling Gel - Gel Pengangkat Sel Kulit Mati Untuk Kulit Normal, Kering, Sensitif Untuk Kulit Halus, Lembap, Dan Cerah Dengan AHA PHA [BPOM] Wajah Exfoliating Scrub, Mengangkat Kotoran, Perawatan Muka Berminyak - Whitelab Gentle Peeling Gel",Rp68.400,"Whitelab Gentle Peeling Gel

Exfoliation Level: Gentle / Low

Powerful Ingredients:
AHA (Lactic Acid): berfungsi untuk mengangkat sel kulit mati, membersihkan kotoran hingga ke pori sehingga kulit terasa lebih bersih dan halus.
PHA (Gluconolactone): merupakan gentle acid yang membantu mengeksfoliasi kulit tanpa membuat kulit iritasi, serta membantu menghidrasi kulit sehingga kulit tetap sehat dan lembap.
Multi-Fruit Enzyme: yang terdiri dari papain yang diekstrak dari buah pepaya dan bromelain yang diekstrak dari buah nanas bekerja sinergis untuk membantu mempercepat proses regenerasi kulit sehingga membuat kulit terasa cerah, halus, dan lembut.

Benefits:
- Mengangkat debu, kotoran, minyak berlebih, sel kulit mati yang menumpuk
- Membersihkan hingga ke pori kulit sehingga membantu mengurangi pembentukan komedo
- Membuat kulit tampak lebih halus, lembut, dan cerah
- Membantu menutrisi dan menghidrasi kulit sehingga tampak sehat dan terasa lembap

Cara pakai:
Oleskan Peeling Gel ke permukaan wajah yang telah dibersihkan dan dikeringkan. Pijat lembut kulit wajah hingga terbentuk bulir halus selama 30-60 detik, lalu bilas dan keringkan wajah. Untuk hasil maksimal, gunakan 2-3 kali seminggu.

Dermatologically Tested.
Dapat digunakan untuk semua jenis kulit.
Boleh dipakai dari umur 12 tahun keatas.
Bisa digunakan oleh ibu hamil & menyusui.

Isi: 50 g
BPOM : NA18220200491
HALAL Certified",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/fd4c4894aad243af9898f2f0a6cc86bf~.jpeg.webp?ect=4g,https://www.tokopedia.com/whitelab/whitelab-gentle-peeling-gel-gel-pengangkat-sel-kulit-mati-untuk-kulit-normal-kering-sensitif-untuk-kulit-halus-lembap-dan-cerah-dengan-aha-pha-bpom-wajah-exfoliating-scrub-mengangkat-kotoran-perawatan-muka-berminyak-1730758800576251536?extParam=whid%3D8408040%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Scrub Wajah']",whitelab
[TIDAK DIJUAL] Free Gift Bonavie Body Lotion - Marie Antoinette Travel Size 30gr,Rp999.999,[TIDAK DIJUAL] Free Gift Bonavie Body Lotion - Marie Antoinette Travel Size 30gr,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/477975d25fbf49ff8febc9cfd477695b~.jpeg.webp?ect=4g,https://www.tokopedia.com/whitelab/tidak-dijual-free-gift-bonavie-body-lotion-marie-antoinette-travel-size-30gr-1730683987307169424?extParam=src%3Dshop%26whid%3D8408040&aff_unique_id=&channel=others&chain_key=,"['Home', 'Perawatan Tubuh', 'Perawatan Kulit', 'Body butter']",whitelab
"[FLASHSALE] Whitelab 4pcs Paket Acne Tanpa Acne Cream - Cleanser, Toner, Serum, Moisturizer Paket Skincare Treatment Perawatan Wajah Berjerawat - Acne Care Facial Wash",Rp514.000,"Whitelab Paket Wajah - Acne

Isi:
1. Whitelab Acne Facial Wash
2. Whitelab Acne Toner
3. Whitelab Acne Serum
4. Whitelab Acne Moisturizer

Powerful Ingredients:
- Mugwort 5%: kandungan yang sangat populer di Korea yang kaya akan antioksidan dan bermanfaat untuk menenangkan kulit yang kemerahan / iritasi, mengontrol produksi minyak berlebih, melembapkan kulit, serta membantu merawat kulit yang berjerawat
- BHA: merawat kulit berjerawat dan membantu melawan bakteri penyebab jerawat
- Tea Tree: membantu mengurangi jerawat dan minyak berlebih pada kulit

Benefits:
- Merawat kulit berjerawat & melawan bakteri penyebab jerawat
- Menenangkan kulit kemerahan karena iritasi dan jerawat
- Membantu mengurangi minyak berlebih pada wajah
- Merawat kelembapan dan kehalusan kulit

Cara pakai:
1. Cuci muka dengan Whitelab Acne Care Facial Wash dan bilas hingga bersih
2. Aplikasikan Whitelab Acne Toner menggunakan telapak tangan / kapas
3. Aplikasikan 2 - 4 tetes Whitelab Acne Calming Serum dan oleskan ke kulit wajah secara merata
4. Aplikasikan Acne Moisturizer pada pagi & malam hari

Dermatologically Tested.
HALAL Certified
Dapat digunakan untuk semua jenis kulit.
Ibu hamil & ibu menyusui harap dikonsultasikan terlebih dahulu khusus untuk Acne Serum & Acne Moisturizer",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/08bbeef364b3460bb70f42479c313b35~.jpeg.webp?ect=4g,https://www.tokopedia.com/whitelab/flashsale-whitelab-4pcs-paket-acne-tanpa-acne-cream-cleanser-toner-serum-moisturizer-paket-skincare-treatment-perawatan-wajah-berjerawat-1731160357109270160?extParam=src%3Dshop%26whid%3D8408040&aff_unique_id=&channel=others&chain_key=,"['Home', 'Perawatan Tubuh', 'Perawatan Kulit', 'Penghilang Bekas Jerawat']",whitelab
"Whitelab 6pcs Glow Booster C-Dose+ Brightening Paket Wajah - N10-Dose+ Serum, Brightening Facial Wash",Rp335.000,"Whitelab Glow Booster C-Dose+ Day Cream

Moisturizer dengan fungsi unik menyamarkan pori, menahan kilap minyak dengan matte effect technology, dan membuat kulit tampak lebih halus dan lembut. Kandungan EAA, NioVCS, dan Niacinamide mencerahkan, menyamarkan noda bekas jerawat dan merawat fungsi skin barrier. Ditambah dengan UV Filter yang mampu melindungi kulit dari sinar UV.

Powerful Ingredients:
- EAA 2%: Antioksidan sebagai lapisan skin barrier pada kulit untuk memberi perlindungan ekstra terhadap paparan sinar UVA dan UVB
- Nio-VCS 1.5%: 3-O Asam Etil Askorbat yang sudah terenkapsulasi dengan Teknologi Hybrid Niosome sehingga sangat stabil dan mampu terserap kulit dalam konsentrasi tinggi. Terbukti secara klinis memberikan efek mencerahkan 10x lebih baik dari Vitamin C reguler.
- Niacinamide: Membantu mencerahkan kulit, menyamarkan noda gelap, dan membantu mengurangi minyak berlebih pada wajah

Benefits:
- Mencerahkan kulit kusam
- Membantu menyerap Sebum & menyamarkan pori-pori
- Membantu mempertahankan kelembapan kulit

Cara Pakai:
Oleskan Day Cream pada siang hari ke kulit wajah dan leher secara merata. Untuk hasil yang lebih optimal, gunakan bersama rangkaian Whitelab lainnya.

--------------------------------------------------------
Whitelab Glow Booster C-Dose+ Facial Wash
Diformulasikan dengan Amino Acid Cleanser yang dapat melakukan deep cleansing kulit wajah dari kotoran, polusi dan minyak berlebih pada wajah secara gentle sekaligus mencerahkan.

Powerful Ingredients:
- Amino Cleanser: Deep cleanser kulit wajah dari kotoran, polusi dan minyak berlebih pada wajah secara gentle sekaligus mencerahkan.
- EAA 2%: Antioksidan sebagai lapisan skin barrier pada kulit untuk memberi perlindungan ekstra terhadap paparan sinar UVA dan UVB
- Nio-VCS 1.5%: 3-O Asam Etil Askorbat yang sudah terenkapsulasi dengan Teknologi Hybrid Niosome sehingga sangat stabil dan mampu terserap kulit dalam konsentrasi tinggi. Terbukti secara klinis memberikan efek mencerahkan 10x lebih baik dari Vitamin C reguler.

Benefits:
- Membersihkan kulit dengan lembut secara menyeluruh
- Meningkatkan kecerahan kulit
- Membuat kulit lerasa lebih lembut, halus, dan segar

Cara Pakai:
Basahi wajah, busakan facial wash pada tangan, pijat lembut pada wajah, dan bilas hingga bersih

----------------------------------------------------------------------------------------
Whitelab Glow Booster C-Dose+ Essence Toner
Toner untuk membantu mengembalikan kesegaran dan kelembapan dan ph kulit alami, mengeskfoliasi secara gentle, merawat kelembapan, dan kehalusan kulit wajah, sekaligus menutrisi kulit wajah sehingga kulit tampak cerah dan sehat.

Powerful Ingredients:
- EAA 2%: Antioksidan sebagai lapisan skin barrier pada kulit untuk memberi perlindungan ekstra terhadap paparan sinar UVA dan UVB
- Nio-VCS 1.5%: 3-O Asam Etil Askorbat yang sudah terenkapsulasi dengan Teknologi Hybrid Niosome sehingga sangat stabil dan mampu terserap kulit dalam konsentrasi tinggi. Terbukti secara klinis memberikan efek mencerahkan 10x lebih baik dari Vitamin C reguler.
- AHA: Membantu mengangkat sel kulit mati, mencerahkan, dan memudarkan hiperpigmentasi kulit

Benefits:
- Membuat kulit kebih segar & bercahaya
- Membantu mengeksfoliasi secara lembut untuk kulit lebih halus
- Membantu penyerapan produk lebih baik ke dalam kulit

Cara Pakai:
Tuangkan toner secukupnya ke telapak tangan / kapas, usap lembut ke seluruh permukaan wajah dan leher yang telah dibersihkan.
-----------------------------------------------------------------------------
Whitelab Glow Booster C-Dose+ Water Moisturizer

Moisturizer dengan tekstur watery gel ringan, cepat meresap, tanpa rasa lengket, namun tetap lembap overnight maupun saat pagi hari. Kandungan EAA, NioVCS, dan Hyalucomplex-10 mencerahkan, menyamarkan noda bekas jerawat dan merawat fungsi skin barrier.

Powerful Ingredients:
- EAA 2%: Antioksidan sebagai lapisan skin barrier pada kulit untuk memberi perlindungan ekstra terhadap paparan sinar UVA dan UVB
- Nio-VCS 1.5%: 3-O Asam Etil Askorbat yang sudah terenkapsulasi dengan Teknologi Hybrid Niosome sehingga sangat stabil dan mampu terserap kulit dalam konsentrasi tinggi. Terbukti secara klinis memberikan efek mencerahkan 10x lebih baik dari Vitamin C reguler.
- Hyalucomplex-10: Kombinasi 10 molekul Hyaluron yang dapat meningkatkan dan mempertahankan level hidrasi pada lapisan kulit yang berbeda.

Benefits:
- Membuat kulit tampak lebih cerah dan bercahaya
- Merawat elastisitas kulit
- Melembabkan dan menutrisi kulit secara mendalam

Cara Pakai:
Oleskan Water Moisturizer pada pagi atau malam hari ke kulit wajah dan leher secara merata. Untuk hasil yang lebih optimal, gunakan bersama rangkaian Whitelab lainnya

Dermatologically Tested.
Dapat digunakan untuk semua jenis kulit.
Boleh dipakai dari umur 12 tahun keatas.
Bisa digunakan oleh ibu hamil & menyusui.",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/096a60c81818482ea541188e1fe030f8~.jpeg.webp?ect=4g,https://www.tokopedia.com/whitelab/whitelab-6pcs-glow-booster-c-dose-brightening-paket-wajah-1730934435609413264?extParam=src%3Dshop%26whid%3D8408040&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Paket Perawatan Wajah']",whitelab
[FREE GIFT] Whitelab Brightening Facial Wash 30gr Membersihkan Mencerahkan,Rp999.999,"Whitelab Brightening Facial Wash

Powerful Ingredients:
- Niacinamide: membantu mencerahkan kulit, menyamarkan noda gelap, dan membantu mengurangi minyak berlebih pada wajah
- HyaluComplex-10: kombinasi dari 10 jenis molekul Hyaluron “low to middle weight molecule” yang dapat meningkatkan dan mempertahankan level hidrasi pada lapisan kulit yang berbeda sehingga dapat menjaga kelembapan wajah sepanjang hari
- Marine Collagen: Collagen yang bersumber dari laut dengan kemurnian tinggi yang membantu merawat kehalusan, kelembutan, dan kekenyalan kulit

Benefits:
- Mencerahkan kulit secara maksimal
- Membersihkan wajah dari kotoran, minyak, dan debu
- Mengangkat minyak berlebih

Cara Pakai:
Basahi wajah, busakan facial wash pada tangan, pijat lembut pada wajah, dan bilas hingga bersih

Dermatologically Tested.
Dapat digunakan untuk semua jenis kulit.
Boleh dipakai dari umur 12 tahun keatas.
Bisa digunakan oleh ibu hamil & menyusui.

Isi: 30gr
BPOM : NA18221205552
HALAL Certified",https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/bbb17fe83ecf4d92b7cbf96e7ed281e3~.jpeg.webp?ect=4g,https://www.tokopedia.com/whitelab/free-gift-whitelab-brightening-facial-wash-30gr?extParam=whid%3D8408040%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"['Home', 'Kecantikan', 'Perawatan Wajah', 'Cleanser Wajah']",whitelab
