web-scraper-order,web-scraper-start-url,linklistProduk,linklistProduk-href,LinkProduk,LinkProduk-href,NamaProduk,HargaPoduk,DeskripsiProduk
"1750671463-1","https://www.tokopedia.com/avoskinofficial/product","","",">36%Avoskin Best Seller Serum (30 ml) - Your Skin Bae Serum - Essence MencerahkanRp95.900Rp149.000Hemat s.d. 5% Pakai Bonus4.910rb+ terjual","https://www.tokopedia.com/avoskinofficial/avoskin-best-seller-serum-30-ml-your-skin-bae-serum-essence-mencerahkan-1729652205476480012?extParam=src%3Dshop%26whid%3D2812268&aff_unique_id=&channel=others&chain_key=","Avoskin Best Seller Serum (30 ml) - Your Skin Bae Serum - Essence Mencerahkan - LACTIC ACID","Rp95.900","Avoskin Best Seller Serum 

Your Skin Bae Lactic Acid 10% + Kiwi Fruit 5% + Niacinamide 2,5% High Dose Serum (30 ml)
Serum Avoskin dari Your Skin Bae Series yang berfungsi sebagai mild exfoliating serum dan cocok untuk kulit kering. Mengandung Lactic Acid yang sifatnya lebih ringan dibandingkan golongan AHA lainnya, dipadukan dengan Niacinamide dan Kiwi Extract. Bermanfaat untuk membantu mengangkat sel kulit mati, memicu proses regenerasi kulit, membantu mencerahkan kulit, menyamarkan tampilan garis halus, menyamarkan pigmentasi termasuk noda bekas jerawat, dan melembapkan kulit sehingga pori-pori tampak lebih tersamarkan. Memiliki kandungan antioksidan yang tinggi sehingga kulit akan lebih terawat.

Your Skin Bae Vitamin C 3% + Niacinamide 2% + Mandarin Orange Fruit Extract Serum (30 ml)
Serum Avoskin dari Your Skin Bae Series yang berfungsi sebagai brightening serum. Mengandung perpaduan brightening kompleks yaitu vitamin C, Niacinamide, dan Mandarin Orange Extract yang efektif untuk mencerahkan kulit, menyamarkan noda bekas jerawat, melembapkan kulit, menyamarkan tampilan pori-pori, sebagai antioksidan, merawat kulit agar tampak lebih sehat. Vitamin C bekerja dengan cara menghambat produksi melanin dan akumulasi melanin pada kulit, sehingga efektif untuk mencerahkan kulit secara maksimal.


BPOM, Halal, Cruelty Free, Green and Clean Beauty Concept."
"1750671465-2","https://www.tokopedia.com/avoskinofficial/product","","",">1%[NFS] [CLEARANCE SALE] Toner Avoskin Your Skin Bae Salicylic Acid 100mlRp986.999Rp999.999Hemat s.d. 5% Pakai Bonus5.08rb+ terjual","https://www.tokopedia.com/avoskinofficial/nfs-clearance-sale-toner-avoskin-your-skin-bae-salicylic-acid-100ml-1730187164495610892?extParam=src%3Dshop%26whid%3D2812268&aff_unique_id=&channel=others&chain_key=","[NFS] [CLEARANCE SALE] Toner Avoskin Your Skin Bae Salicylic Acid 100ml","Rp986.999","Avoskin Your Skin Bae Salicylic Acid 1% + Zinc + Tea Tree Water Toner 100 ml - ED 09/25

Toner Avoskin dari Your Skin Bae Series yang merupakan anti acne dan exfoliating toner dengan kandungan utama Salicylic Acid 1% yang berfungsi untuk mengeksfoliasi hingga dalam pori-pori. Dipadukan dengan Zinc dan Tea Tree untuk mengatasi kulit yang berjerawat, mengurangi tampilan minyak berlebih, serta menyamarkan komedo.

Dapat digunakan untuk semua jenis kulit, terutama kulit berminyak dan bisa dipakai untuk usia mulai dari 15 tahun.

Cara Penggunaan:
- Setelah mencuci muka, tuangkan beberapa tetes toner ke kapas dan usap secara perlahan di seluruh area wajah dan leher. Tidak perlu dibilas.
- Gunakan serum sesuai kebutuhan dan jenis kulitmu, serta moisturizer untuk memberikan hidrasi ekstra.
- Untuk perlindungan kulit, akhiri rutinitas skincare pagi dengan sunscreen.
- Toner ini bisa digunakan di pagi atau di malam hari.

Kandungan utama:
Salicylic Acid 1%, Zinc, dan Tea Tree Water

Bahan-bahan:
Aqua, Propylene Glycol, Glycerin, Salicylic Acid, Phenoxyethanol, Zinc PCA, Melaleuca Alternifolia Leaf Water, Chlorphenesin, Disodium EDTA, Xanthan Gum, Sodium Bisulfite"
"1750671468-3","https://www.tokopedia.com/avoskinofficial/product","","",">1%[NFS] Moisturizer Avoskin Your Skin Bae GCT Polypeptide 15ml-Anti AgingRp986.999Rp999.999Hemat s.d. 5% Pakai Bonus5.0100+ terjual","https://www.tokopedia.com/avoskinofficial/nfs-moisturizer-avoskin-your-skin-bae-gct-polypeptide-15ml-anti-aging-1731340482171470860?extParam=whid%3D2812268%26src%3Dshop&aff_unique_id=&channel=others&chain_key=","[NFS] Moisturizer Avoskin Your Skin Bae GCT Polypeptide 15ml-Anti Aging","Rp986.999","Avoskin Your Skin Bae Glow Concentrate Treatment Polypeptide + Multi Probiome + Acetyl Glucosamine + Red Algae 15 ml
 
 
Glow Concentrate Treatment kini hadir juga dalam ukuran mini size yang mempermudah Sahabat AVO untuk menggunakannya di mana dan kapan saja. Produk ini merupakan moisturizer water based dengan tekstur gel ringan dan mudah menyerap. Selain menjaga kelembapan kulit wajah, moisturizer ini mengandung Polypeptide yang efektif untuk membantu menyamarkan garis halus dan kerutan, serta membuat permukaan kulit tampak lebih halus. Dipadukan dengan Acetyl Glucosamine, salah satu asam amino yang juga terdapat secara alami pada kulit yang berperan untuk membantu menjaga kesehatan dan tekstur kulit. Dilengkapi dengan kandungan ekstrak Red Algae yang memiliki sifat film-forming pada permukaan kulit sehingga dapat membantu menjaga kelembapan kulit sekaligus membuat kulit tampak lebih halus dan sehat.
 
 
Dapat digunakan untuk semua jenis kulit dan bisa dipakai untuk usia mulai dari 15 tahun.
 
 
Cara Penggunaan:
- Setelah mencuci muka, menggunakan essence/toner, dan serum favoritmu, lanjut gunakan glow concentrate treatment untuk memberikan hidrasi ekstra.
- Untuk perlindungan kulit, akhiri rutinitas skincare pagi dengan sunscreen.
- Moisturizer ini bisa digunakan di pagi dan malam hari.
 
 
Kandungan utama:
Polypeptide, Multi Probiome, Acetyl Glucosamine, dan Red Algae
 
 
Bahan-bahan:
Water, Glycerin, Propanediol, 1,2-Hexanediol, Pentylene Glycol, Dicaprylyl Carbonate, Butylene Glycol, Glyceryl Acrylate/Acrylic Acid Copolymer, Acetyl Glucosamine, Leuconostoc/Radish Root Ferment Filtrate, Lactobacillus/Soybean Ferment Extract, Lactobacillus Ferment, Lactobacillus/Acerola Cherry Ferment, Lactococcus Ferment, Bifida Ferment Filtrate, Lactococcus Ferment Lysate, Lactobacillus/Punica Granatum Fruit Ferment Extract, Lactobacillus Ferment Lysate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tromethamine, Glucose, Chlorella Vulgaris Extract, Chondrus Crispus Extract, Sodium Polyglutamate, Fructose, Fructooligosaccharides, Saccharum Officinarum (Sugarcane) Extract, Ethylhexylglycerin, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Sodium Phytate, Tocopherol, Copper Tripeptide-1, Acetyl Hexapeptide-8.

NOMOR BPOM : NA18210108700"
"1750671471-4","https://www.tokopedia.com/avoskinofficial/product","","",">8%[FS] [NFS] Toner Avoskin Perfect Hydrating Treatment Essence 30ml-Kulit Glowing Perawatan Wajah  Pencerah Acid Mencerahkan Aging Hyaluronic HitamRp156.000Rp169.000Hemat s.d. 5% Pakai Bonus5.019 terjual","https://www.tokopedia.com/avoskinofficial/fs-nfs-toner-avoskin-perfect-hydrating-treatment-essence-30ml-kulit-glowing-perawatan-wajah-pencerah-acid-mencerahkan-aging-hyaluronic-hitam-1731035353352602636?extParam=src%3Dshop%26whid%3D2812268&aff_unique_id=&channel=others&chain_key=","[FS] [NFS] Toner Avoskin Perfect Hydrating Treatment Essence 30ml-Kulit Glowing Perawatan Wajah  Pencerah Acid Mencerahkan Aging Hyaluronic Hitam","Rp156.000","Avoskin Perfect Hydrating Treatment Essence 30ml
 
 
Avoskin Perfect Hydrating Treatment Essence juga hadir dengan ukuran mini yang mudah digunakan di mana dan kapan saja. Seperti fullsizenya, formula andalan dari produk ini yaitu Chamomile oil dan ET-VC. Kedua kandungan tersebut bermanfaat untuk melembapkan kulit, menjaga elastisitas kulit, membantu kulit agar tampak lebih cerah, merawat kulit berjerawat, membantu menenangkan kulit, sebagai antioksidan, dan menyiapkan kulit untuk menyerap skincare berikutnya agar dapat bekerja lebih maksimal. Produk ini merupakan salah satu produk Avoskin yang minimal ingredients dan mengandung fatty alcohol. Kandungan alcohol jenis fatty ini berfungsi sebagai carrying agent yang membantu penyerapan kandungan lainnya serta efektif untuk melembutkan kulit.
 
 
Dapat digunakan untuk semua jenis kulit dan bisa dipakai untuk usia mulai dari 15 tahun.
 
 
Cara Penggunaan:
- Tuangkan sedikit Perfect Hydrating Treatment Essence ke telapak tangan.
- Usap dan tepuk-tepuk secara merata ke seluruh wajah hingga meresap dengan sempurna.
- Gunakan setiap pagi dan malam setelah mencuci wajah atau setelah menggunakan toner.
- Untuk ekstra hidrasi, gunakan juga serum dan moisturizer yang sesuai kebutuhan dan jenis kulitmu.
- Akhiri dengan sunscreen, untuk perlindungan di pagi hari.
- Perfect Hydrating Treatment Essence juga bisa digunakan sebagai pelembap atau primer sebelum bermakeup.
 
 
Kandungan utama:
Chamomile oil dan ET-VC
 
 
Bahan-bahan:
Aqua, Ethyl Ascorbic Acid, Propylene Glycol, Glycerin, Chamomile (Anthemis Nobilis) Extract, Carrot (Carota Sativa) Oil, Rosa Canina (Rosehip) Oil, Carbomer, Triethanolamine, Alcohol.

Nomor BPOM : NA18200105520"
"1750671474-5","https://www.tokopedia.com/avoskinofficial/product","","",">43%Paket Skincare Eksfoliasi-Avoskin Miraculous Refining SeriesRp291.000Rp508.000Hemat s.d. 5% Pakai Bonus5.03rb+ terjual","https://www.tokopedia.com/avoskinofficial/paket-skincare-eksfoliasi-avoskin-miraculous-refining-series-1729433186313406476?extParam=whid%3D2812268%26src%3Dshop&aff_unique_id=&channel=others&chain_key=","Paket Skincare Eksfoliasi-Avoskin Miraculous Refining Series - .","Rp291.000","Avoskin Miraculous Refining Series
 
Dua produk eksfoliasi kulit dengan AHA, BHA, dan PHA serta Niacinamide, Ceramide, dan ekstrak natural. Membantu mencerahkan kulit dengan mengurangi sel kulit mati. Dikombinasikan dari AHA-BHA-PHA+ Niacinamide + 2% Tea Tree + Witch Hazel dan Aloe Vera yang bekerja secara efektif sebagai eksfoliator kulit dan mencerahkan kulit. Dapat digunakan untuk usia mulai dari 15 tahun.
Cara pemakain:
Setelah membersihkan wajah, tuang secukupnya Miraculous Refining Toner pada kapas, usap dari area tengah wajah ke arah luar dengan gerakan ke atas dan biarkan menyerap.
Selanjutnya, aplikasikan Miraculous Refining Serum secara merata pada kulit wajah dan leher menggunakan ujung jari, hindari daerah dekat mata. Note: - Bila terjadi iritasi maka hentikan penggunaan sementara dan disarankan untuk berkonsultasi dengan ahlinya.
- Gunakan produk sesuai dengan yang disarankan.
- Mencoba menggunakan produk terlebih dulu pada bagian tertentu di wajah disarankan untuk pemilik kulit sensitif."
"1750671478-6","https://www.tokopedia.com/avoskinofficial/product","","",">30%Facial Cleanser Avoskin Your Skin Bae Spirulina 100ml-Kulit Berjerawat acid glycolic membersihkan  cleansing  kotoran  wajah  muka Mencerahkan BerminyakRp90.000Rp129.000Hemat s.d. 5% Pakai Bonus4.92rb+ terjual","https://www.tokopedia.com/avoskinofficial/facial-cleanser-avoskin-your-skin-bae-spirulina-100ml-kulit-berjerawat-acid-glycolic-membersihkan-cleansing-kotoran-wajah-muka-mencerahkan-berminyak-1729606090131146764?extParam=src%3Dshop%26whid%3D2812268&aff_unique_id=&channel=others&chain_key=","Facial Cleanser Avoskin Your Skin Bae Spirulina 100ml-Kulit Berjerawat acid glycolic membersihkan  cleansing  kotoran  wajah  muka Mencerahkan Berminyak","Rp90.000","Facial Cleanser Avoskin Your Skin Bae Spirulina 100ml-Kulit Berjerawat
Daily facial cleanser dengan tekstur gel lembut yang membantu membersihkan wajah dari debu, kotoran, minyak, dan sisa make up. Produk ini dilengkapi dengan serum serta active ingredient yaitu Kojic Acid, Glycolic Acid, Licorice, Sodium Hyaluronate yang berfungsi untuk membersihkan pori-pori kulit, membantu menyamarkan tampilan kulit kusam, membantu menyamarkan noda hitam, dan menenangkan kulit.
 
 
- Dapat digunakan usia mulai dari 15 tahun.
- Dapat digunakan untuk semua jenis kulit.
- Dapat digunakan untuk ibu hamil dan menyusui. Konsultasikan ke dokter terkait jika terdapat keraguan.
 
 
Cara Penggunaan:
- Basahi kulit wajah dengan air dan tuangkan YSB Serum Infused Cleanser
Kojic Acid + Glycolic Acid + Licorice + Allantoin + Sodium Hyaluronate di telapak tangan secukupnya.
- Baurkan dengan sedikit air dan aplikasikan pada seluruh bagian kulit wajah dengan pijatan lembut.
- Bilas dengan air bersih (disarankan air hangat) dan kini kulitmu siap untuk tahap skincare berikutnya.
 
 
Note:
Hindari area mata. Mengandung kojic acid, jika terpapar sinar matahari dan suhu tinggi dapat menyebabkan perubahan warna pada sediaan produk. Simpan di tempat yang sejuk dan terlindung dari sinar matahari.
 
 
Kandungan Utama:
Kojic Acid, Glycolic Acid, Licorice, Allantoin, dan Sodium Hyaluronate
 
 
Bahan-bahan:
Aqua, Glycerin, Butylene Glycol, Sodium Cocoamphoacetate, Acrylates Copolymer, Cocamidopropyl Betaine, Sodium Cocoyl Glycinate, Sodium Chloride, Propanediol, Glycolic Acid, Sodium Hydroxide, 1,2-Hexanediol, Glycyrrhiza Uralensis Root Extract, Xanthan Gum, Coconut Acid, Sodium Cocoate, Sodium Bisulfite, Allantoin, Kojic Acid, Sodium PCA, Caprylhydroxamic Acid, Disodium EDTA, Sodium Hyaluronate.

NO BPOM : NA18221207034"
"1750671481-7","https://www.tokopedia.com/avoskinofficial/product","","",">6%Avoskin Miraculous LSRiddle+ Shot AmpouleRp196.000Rp209.000Hemat s.d. 5% Pakai Bonus1 terjual","https://www.tokopedia.com/avoskinofficial/avoskin-miraculous-lsriddle-shot-ampoule-1731490186753180684?extParam=whid%3D2812268%26src%3Dshop&aff_unique_id=&channel=others&chain_key=","Avoskin Miraculous LSRiddle+ Shot Ampoule - Miraculous LSRiddle+ Shot Ampoule (10 ml)","Rp196.000","Miraculous LSRiddle+ Shot Ampoule (10 ml) NA18240115523
Miraculous Advanced LSRiddle+ Shot Ampoule (10 ml) NA18240115522

Miraculous LSRiddle+ Shot Ampoule (10 ml) 
Revolusi perawatan kulit di rumah serasa hasil perawatan microneedle di klinik! LSR menggambarkan Luminous Skin Radiance. Sedangkan Riddle+ menggambarkan mekanisme Spicule (Hydrolyzed Sponge) sebagai bahan aktif utama yang meresap ke dalam kulit dan memberikan sensasi seperti “jaring mikro” sehingga meningkatkan penyerapan bahan aktif lainnya. Dilengkapi Niacinamide 2% agar kulit tampak lebih cerah dan glowing. Serta mengandung bahan aktif lain seperti, Panthenol 1%, Madecassoside, dan Allantoin yang dapat membantu menenangkan kulit dan merawat skin barrier.
Dengan 4 smart tecnologies:
Precision delivery boosters: Mengandung spicule alami yang membawa bahan aktif ke lapisan kulit lebih dalam dan presisi
Smart texture system: Tekstur berubah dari gel ke serum, memberikan sensasi ringan, cepat meresap, dan tidak lengket di kulit
Triple lock system: Sistem 3 lapis untuk menjaga stabilitas dan efektivitas bahan aktif
SmartCalm-Healing Matrix: Mengandung kombinasi bahan yang menenangkan kulit, menjaga kelembapan serta merawat skin barrier

Miraculous Advanced LSRiddle+ Shot Ampoule (10 ml)
Revolusi perawatan advanced di rumah serasa hasil perawatan microneedle di klinik! LSR menggambarkan Luminous Skin Radiance. Sedangkan Riddle+ menggambarkan mekanisme Spicule (Hydrolyzed Sponge) sebagai bahan aktif utama yang meresap ke dalam kulit dan memberikan sensasi seperti “jaring mikro” sehingga meningkatkan penyerapan bahan aktif lainnya. Dilengkapi Vitamin C 10%, Vitamin E 1%, dan Ferulic Acid 0.5% agar kulit tampak lebih cerah, noda hitam tersamarkan, dan kulit tampak lebih halus.
Dengan 4 smart tecnologies:
Precision delivery boosters: Mengandung spicule alami yang membawa bahan aktif ke lapisan kulit lebih dalam dan presisi
Smart texture system: Tekstur berubah dari gel ke serum, memberikan sensasi ringan, cepat meresap, dan tidak lengket di kulit
Triple lock system: Sistem 3 lapis untuk menjaga stabilitas dan efektivitas bahan aktif
SmartCalm-Healing Matrix: Mengandung kombinasi bahan yang menenangkan kulit, menjaga kelembapan serta merawat skin barrier"
"1750671483-8","https://www.tokopedia.com/avoskinofficial/product","","",">1%[NFS] Toner Avoskin Miraculous Retinol 100mlRp986.999Rp999.999Hemat s.d. 5% Pakai Bonus100+ terjual","https://www.tokopedia.com/avoskinofficial/nfs-toner-avoskin-miraculous-retinol-100ml-1730326367431656460?extParam=src%3Dshop%26whid%3D2812268&aff_unique_id=&channel=others&chain_key=","[NFS] Toner Avoskin Miraculous Retinol 100ml - Red","Rp986.999","Avoskin Miraculous Retinol Toner 100 ml
 
 
Avoskin Miraculous Retinol Toner memiliki kandungan Actosome Retinol, Niacinamide, Peptide, serta diperkaya dengan Ekstrak Pomegranate yang efektif untuk membantu memicu proses regenerasi sel kulit, menyamarkan tampilan garis halus, membantu menghaluskan tekstur kulit, membantu mencerahkan kulit, merawat kulit agar tampak lebih sehat, dan membantu menyamarkan munculnya tanda-tanda penuaan dini.
 
 
Dapat digunakan untuk semua jenis kulit dan bisa dipakai untuk usia mulai dari 20 tahun ke atas.
 
 
Cara Penggunaan:
- Setelah mencuci muka, tuangkan beberapa tetes toner ke telapak tangan, usap dan tepuk-tepuk secara perlahan di seluruh area wajah dan leher. Tidak perlu dibilas.
- Untuk hasil yang optimal, gunakan juga Miraculous Retinol Ampoule dan tambahkan moisturizer untuk memberikan hidrasi ekstra.
- Toner ini bisa digunakan di malam hari.
- Gunakan sunscreen di pagi hari, untuk melindungi kulit.
- Pada awal pemakaian, disarankan untuk frekuensi pemakaian maksimal 3 kali seminggu.
- Bila terjadi iritasi maka hentikan penggunaan sementara dan disarankan untuk segera konsultasi dengan ahlinya.
 
 
Kandungan utama:
Actosome Retinol, Niacinamide, Peptide, dan Ekstrak Pomegranate
 
 
Bahan-bahan:
Water, Propylene Glycol, Niacinamide, Glycerin, Polysorbate 20, Phenoxyethanol, PEG-40 Hydrogenated Castor Oil, Polyglyceryl-2 Stearate, Caprylic/Capric Triglyceride, Glyceryl Stearate, Stearyl Alcohol, Camellia Sinensis (Green Tea) Leaf Extract, Methyl Methacrylate Crosspolymer, Polyglutamic Acid, Tetrasodium EDTA, Retinol, Hydrogenated Lecithin, Ethylhexylglycerin, Cholesterol, Xanthan Gum, Tocopheryl Acetate, Rubus Idaeus (Raspberry) Fruit Extract, BHT, Punica Granatum (Pomegranate) Fruit Extract, Butylene Glycol, Phaseolus Radiatus Seed Extract, BHA, Avena Sativa (Oat) Meal Extract, Palmitoyl Hexapeptide-12"
"1750671486-9","https://www.tokopedia.com/avoskinofficial/product","","",">1%[NFS] Toner Avoskin Your Skin Bae Niacinamide 100ml-Kulit Lembap & CerahRp986.999Rp999.999Hemat s.d. 5% Pakai Bonus5.0500+ terjual","https://www.tokopedia.com/avoskinofficial/nfs-toner-avoskin-your-skin-bae-niacinamide-100ml-kulit-lembap-cerah-1731532603928314892?extParam=src%3Dshop%26whid%3D2812268&aff_unique_id=&channel=others&chain_key=","[NFS] Toner Avoskin Your Skin Bae Niacinamide 100ml-Kulit Lembap & Cerah - green","Rp986.999","Avoskin Your Skin Bae Niacinamide 7% + Alpha Arbutin 1% + Kale Toner 100 ml
 
 
Toner Avoskin dari Your Skin Bae Series dengan kandungan Niacinamide 7% dipadukan oleh Alpha Arbutin 1% dan Kale yang bermanfaat untuk mencerahkan kulit, menjaga kulit agar tampak lebih sehat, merawat kulit pasca jerawat, menghidrasi kulit secara optimal, serta menyamarkan kemerahan dan tampilan pori-pori.
 
 
Dapat digunakan untuk semua jenis kulit dan bisa dipakai untuk usia mulai dari 15 tahun.
 
 
Cara Penggunaan:
- Setelah mencuci muka, tuangkan beberapa tetes toner ke telapak tangan, usap dan tepuk-tepuk secara perlahan di seluruh area wajah dan leher. Tidak perlu dibilas.
- Gunakan serum sesuai kebutuhan dan jenis kulitmu, serta moisturizer untuk memberikan hidrasi ekstra.
- Untuk perlindungan kulit, akhiri rutinitas skincare pagi dengan sunscreen.
- Toner ini bisa digunakan di pagi dan malam hari.
 
 
Kandungan utama:
Niacinamide 7%, Alpha Arbutin 1%, dan Kale
 
 
Bahan-bahan:
Aqua, Niacinamide, Propylene Glycol, Glycerin, Alpha-Arbutin, Phenoxyethanol, Chlorphenesin, Sodium Bisulfite, Xanthan Gum, Tetrasodium EDTA, Hydrolyzed Vegetable Protein, Citric Acid, Leuconostoc/Radish Root Ferment Filtrate, Sodium Hydroxide"
"1750671489-10","https://www.tokopedia.com/avoskinofficial/product","","",">1%[NFS] Headband papipustudio - Special MerchRp986.999Rp999.999Hemat s.d. 5% Pakai Bonus5.0250+ terjual","https://www.tokopedia.com/avoskinofficial/nfs-headband-papipustudio-special-merch-1730856201906586636?extParam=src%3Dshop%26whid%3D2812268&aff_unique_id=&channel=others&chain_key=","[NFS] Headband papipustudio - Special Merch","Rp986.999",""
